original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 13, ""sheet"": ""Iran""}",Shamoon,al_Networks https://www.verfassungsschutz.de/download/broschuere-2016-10-bfv-cyber-brief-2016-04.pdf https://securelist.com/blog/software/74503/freezer-paper-around-free-meat/ https://securelist.com/files/2017/03/Report_Shamoon_StoneDrill_final.pdf https://cryptome.org/2012/11/parastoo-hacks-iaea.htm https://www.forbes.com/sites/thomasbrewster/2017/07/27/iran-hackers-oilrig-use-fake-personas-on-facebook-linkedin-for-cyberespionage/ http://www.
APT Groups and Operations.xlsx,"{""row"": 4, ""sheet"": ""Iran""}",Shamoon,"Shamoon Volatile Kitten S0140 Shamoon / Disttrack This threat actor targets energy sector, oil and gas industry as well as transportation and telecommunication services. wiper https://en.wikipedia.org/wiki/Shamoon http://www.ny"
APT Groups and Operations.xlsx,"{""row"": 4, ""sheet"": ""Iran""}",Shamoon,"Shamoon Volatile Kitten S0140 Shamoon / Disttrack This threat actor targets energy sector, oil and gas industry as well as transportation and telecommunication services. wiper https://en.wikipedia.org/wiki/Shamoon http://www.nytimes.com/2012/10/24/business/"
APT Groups and Operations.xlsx,"{""row"": 4, ""sheet"": ""Iran""}",Shamoon,"Shamoon Volatile Kitten S0140 Shamoon / Disttrack This threat actor targets energy sector, oil and gas industry as well as transportation and telecommunication services. wiper https://en.wikipedia.org/wiki/Shamoon http://www.nytimes.com/2012/10/24/business/global/cyberattack-on-saudi-oil-firm-disquiets-us.html"
APT Groups and Operations.xlsx,"{""row"": 4, ""sheet"": ""Iran""}",Volatile Kitten,"Shamoon Volatile Kitten S0140 Shamoon / Disttrack This threat actor targets energy sector, oil and gas industry as well as transportation and telecommunication services. wiper https://en.wikipedia.org/wiki/Shamoon http://www.nytimes.com/2012/1"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 169}",Shamoon,"certutil, DistTrack, Fox Panel, Glimpse, GoogleDrive RAT, Helminth, HighShell, HyperShell, IRN2, ISMAgent, ISMDoor, ISMInjector, Jason, LaZagne, Mimikatz, OopsIE, PoisonFrog, POWRUNER, QUADAGENT, RGDoor, SEASHARPEE, Shamoon, SpyNote, StoneDrill, Systeminfo, Tasklist, TwoFace and Webmask. Operations performed Aug 2012 Shamoon Attacks W32.Disttrack is a new threat that is being used in specific targeted attacks against at least one org"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 169}",Shamoon,", ISMDoor, ISMInjector, Jason, LaZagne, Mimikatz, OopsIE, PoisonFrog, POWRUNER, QUADAGENT, RGDoor, SEASHARPEE, Shamoon, SpyNote, StoneDrill, Systeminfo, Tasklist, TwoFace and Webmask. Operations performed Aug 2012 Shamoon Attacks W32.Disttrack is a new threat that is being used in specific targeted attacks against at least one organization in the energy sector. It is a destructive malware that corrupts files on a compromised computer"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 169}",shamoon,"malware that corrupts files on a compromised computer and overwrites the MBR (Master Boot Record) in an effort to render a computer unusable. Target: Saudi Aramco and Rasgas. <https://www.symantec.com/connect/blogs/shamoon-attacks> May 2016 Targeted Attacks against Banks in the Middle East In the first week of May 2016, FireEye’s DTI identified a wave of emails containing malicious attachments being sent to multiple banks in the Middl"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 33}",SHAMOON,"n theft, espionage and sabotage Description (FireEye) When discussing suspected Middle Eastern hacker groups with destructive capabilities, many automatically think of the suspected Iranian group that previously used SHAMOON – aka Disttrack – to target organizations in the Persian Gulf. However, over the past few years, we have been tracking a separate, less widely known suspected Iranian group with potential destructive capabilities, wh"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 33}",Shamoon,". Countries: Saudi Arabia, South Korea and USA. Tools used AutoIt backdoor, DarkComet, DROPSHOT, Empire, LaZagne, Mimikatz, NanoCore RAT, NETWIRE RC, PoshC2, PowerSploit, POWERTON, PupyRAT, QuasarRAT, Remcos, Ruler, Shamoon, SHAPESHIFT and TURNEDUP. Mar 2019 Attacks on Multiple Organizations in Saudi Arabia and U.S. The Elfin espionage group (aka APT33) has remained highly active over the past three years, attacking at least 50 organiz"
