original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 11, ""sheet"": ""Iran""}",zerocleare,sec0wn.blogspot.com/2018/05/prb-backdoor-fully-loaded-powershell.html https://www.ncsc.gov.uk/news/turla-group-exploits-iran-apt-to-expand-coverage-of-victims https://securityintelligence.com/posts/new-destructive-wiper-zerocleare-targets-energy-sector-in-the-middle-east/ https://www.clearskysec.com/powdesk-apt34/ https://unit42.paloaltonetworks.com/oilrig-novel-c2-channel-steganography/ https://blog.talosintelligence.com/2018/11/dnspionage-campa
APT Groups and Operations.xlsx,"{""row"": 28, ""sheet"": ""Iran""}",Zerocleare,"? Bapco Attack Zerocleare, DUSTMAN Oil companies in the middle east https://www.ibm.com/downloads/cas/OAJ4VZNJ?_ga=2.162718588.1703640646.1575470035-355468858.1568634484&cm_mc_uid=62832336079115590460108&cm_mc_sid_50200000=12616311575470030712 h"
International Strategic/Iran/ClearSky-Fox-Kitten-Campaign-v1.pdf,"{""page"": 2}",ZeroCleare,"and fully access the targets chosen by the Iranians. The revealed campaign was used as reconnaissance infrastructure; however, it can also be used as a platform for spreading and activating destructive malware such as ZeroCleare and Dustman, tied to APT34. During our analysis, we have found an overlap, with medium -high probability, between this campaign’s infrastructure and the activity of an Iranian offensive group APT34-OilRig. Additional"
International Strategic/Iran/ClearSky-Fox-Kitten-Campaign-v1.pdf,"{""page"": 31}",ZeroCleare,"ign and the Iranian attack group APT33, also called Elfin. We didn’t identify destructive malware in this campaign. Also, in this campaign, similar to the Dustman 16 malware event, which is considered a variant of the ZeroCleare 17 destructive malware, vulnerabilities were exploited in VPN services such as Pulse Secure Connect, Fortinet VPN, and Palo Alto Networks’ Global Protect. IBM has attributed the ZeroCleare distribution campaign to APT"
International Strategic/Iran/ClearSky-Fox-Kitten-Campaign-v1.pdf,"{""page"": 31}",ZeroCleare,"considered a variant of the ZeroCleare 17 destructive malware, vulnerabilities were exploited in VPN services such as Pulse Secure Connect, Fortinet VPN, and Palo Alto Networks’ Global Protect. IBM has attributed the ZeroCleare distribution campaign to APT34 with an additional Iranian group known for 16 zdnet.com/article/new-iranian-data-wiper-malware-hits-bapco-bahrains-national-oil-company/ 17 ibm.com/downloads/cas/OAJ4VZNJ scribd.com/d"
International Strategic/Iran/ClearSky-Fox-Kitten-Campaign-v1.pdf,"{""page"": 32}",ZeroCleare,"l try to explain the connection between the APT34-APT33 cooperation and the “Fox Kitten” campaign. In January 2020, IBM and the Saudi National Cybersecurity Authority published reports on destructive malwares called “ZeroCleare” and “Dustman”, which were spread in the Middle East and specifically in the Gulf. These malwares resemble the APT33-attributed Shamoon malware. In IBM’s report it was mentioned that the attack was divided into two ma"
International Strategic/Iran/ClearSky-Fox-Kitten-Campaign-v1.pdf,"{""page"": 34}",ZeroCleare,"and espionage, and even sabotage, while emphasizing each group’s specialty. We assess such recon campaigns to be conv ertible to disseminate destructive attacks after studying the target organization, similar to the “ZeroCleare” events in the Gulf. The Attack Infrastructure • VPN systems which allow remote access to corporate systems comprise a significant risk, because they essentially bypass all defense systems deployed vis -à-vis the in"
International Strategic/Iran/Raport-analize-Teknikat-Taktikat-Procedurat-per-sulmuesit-Iraniane.pdf,"{""page"": 32}",ZeroCleare,"nimin e interesave shtetërore të vendit. Malware-t e lidhura me aktorët: Pupy RAT, Liderc, LittleLooter, BONDUPDATER, Saitama, DNSpionage, Helminth, Jason, Marlin Backdoor, OopsIE, PowerExchange, SideTwist, TriFive, ZeroCleare, Aleta Ransomware, AnubisSpy, Atmos, BankBot, Catelites Bot, Cryptolocker, DanBot, Disdain Exploit Kit, Dustman, DustySky, ELVENDOOR, Executioner Ransomware, FastPOS, GozNym, Gugi Botnet, Infy, Ismdoor, ISMInjector, I"
International Strategic/Iran/Saudi-Arabia-CNA-report.pdf,"{""page"": 4}",ZeroCleare,"driver “Eldos RawDisk”. Furthermore, “DUSTMAN” varies in terms of techniques and capability when compared to “Shamoon” and from the observed behavior and capabilities, “DUSTMAN” can be considered as a new variant of “ZeroCleare” malware, published in December 2019(1). This report will shed the light on the attack life cycle, technical analysis of the malware, and the preventive recommendation with the Yara rules. It is worth mentioning tha"
International Strategic/Iran/Saudi-Arabia-CNA-report.pdf,"{""page"": 4}",ZeroCleare,"ive recommendation with the Yara rules. It is worth mentioning that NCSC is still coordinating all efforts in understanding the extent of the attack, malware and attribution. (1): New Destructive Wiper “ZeroCleare” Targets Energy Sector in the Middle East, December 2019, IBM X-Force."
International Strategic/Iran/Saudi-Arabia-CNA-report.pdf,"{""page"": 8}",ZeroCleare,"forcement (DSE)” that prevents loading unsigned drivers such as the raw disk driver utilized by the threat actor destructive malware samples. 2. In September 2019, IBM posted an alert on its intelligence portal about “ZeroCleare” attacks as it responded to incidents occurred to organizations within the Middle East. 3. In early December 2019, IBM published a detailed analysis report about “ZeroCleare”. 4. On December 29, 2019, NCSC identified"
International Strategic/Iran/Saudi-Arabia-CNA-report.pdf,"{""page"": 8}",ZeroCleare,"an alert on its intelligence portal about “ZeroCleare” attacks as it responded to incidents occurred to organizations within the Middle East. 3. In early December 2019, IBM published a detailed analysis report about “ZeroCleare”. 4. On December 29, 2019, NCSC identified “DUSTMAN” that was used by an adversary, that shares similarities with “ZeroCleare”. 3.1. DUSTMAN vs ZeroCleare DUSTMAN seems to be a new variant of “ZeroCleare” as the raw"
International Strategic/Iran/Saudi-Arabia-CNA-report.pdf,"{""page"": 8}",ZeroCleare,"he Middle East. 3. In early December 2019, IBM published a detailed analysis report about “ZeroCleare”. 4. On December 29, 2019, NCSC identified “DUSTMAN” that was used by an adversary, that shares similarities with “ZeroCleare”. 3.1. DUSTMAN vs ZeroCleare DUSTMAN seems to be a new variant of “ZeroCleare” as the raw disk driver used by it shares the same exact digital fingerprint as the one utilized by “ZeroCleare”. Furthermore, both “DUST"
Threat_Group_Cards_v2.0.pdf,"{""page"": 222}",ZeroCleare,", LaZagne, LONGWATCH, Mimikatz, Nautilus, Neuron, OilRig, OopsIE, PICKPOCKET, POWBAT, POWRUNER, PsList, QUADAGENT, RGDoor, SpyNote RAT, StoneDrill, ThreeDollars, TONEDEAF, TONEDEAF 2.0, TwoFace, VALUEVAULT, Webmask, ZeroCleare and Living off the Land. Operations performed Aug 2012 Shamoon Attacks W32.Disttrack is a new threat that is being used in specific targeted attacks against at least one organization in the energy sector. It is a"
Threat_Group_Cards_v2.0.pdf,"{""page"": 225}",ZeroCleare,"nt capabilities, as well as trying their hand at Golang. <https://www.fireeye.com/blog/threat-research/2019/07/hard-pass- declining-apt34-invite-to-join-their-professional-network.html> Dec 2019 New Destructive Wiper ZeroCleare Targets Energy Sector in the Middle East <https://securityintelligence.com/posts/new-destructive-wiper- zerocleare-targets-energy-sector-in-the-middle-east/> Jan 2020 Our researchers Paul Litvak and Michael Kajilolti"
Threat_Group_Cards_v2.0.pdf,"{""page"": 225}",zerocleare,-pass- declining-apt34-invite-to-join-their-professional-network.html> Dec 2019 New Destructive Wiper ZeroCleare Targets Energy Sector in the Middle East <https://securityintelligence.com/posts/new-destructive-wiper- zerocleare-targets-energy-sector-in-the-middle-east/> Jan 2020 Our researchers Paul Litvak and Michael Kajilolti have discovered a new campaign conducted by APT34 employing an updated toolset. Based on uncovered phishing docume
cybercrime/2025/Virtual-Routes-Pharos-Report-Series-No.-3.pdf,"{""page"": 32}",ZeroCleare,"Pharos Series: Report No. 3 Ransomware’s New Masters: How States Are Hijacking Cybercrime31 2019 Malware Type: Wiper Malware: ZeroCleare Attribution: APT34, xHunt Target Geography: Arabian Peninsula 2020 Malware Type: Pseudo-ransomware Malware: Thanos Ransomware Attribution: MuddyWater Target Geography: Israel 2021 Malware Type: Ransomware Malware: N3t"
cybercrime/2025/Virtual-Routes-Pharos-Report-Series-No.-3.pdf,"{""page"": 33}",ZeroCleare,"-linked groups began pursuing their goals through cyber operations. However, three notable trends have been observed over the years: First, these groups appear to have shifted away from using wipers, such as Shamoon, ZeroCleare, or Dustman, as their primary tools for disruption and destruction, instead favoring ransomware or pseudo-ransomware, likely to preserve plausible deniability. Second, groups like Pioneer Kitten and Fox Kitten have in"
microsoft-threat-actor-list.xlsx,"{""row"": 4, ""sheet"": ""alphabetical""}",DEV-0146,"ACTINIUM Aqua Blizzard Russia UNC530, Primitive Bear, Gamaredon DEV-0146 Pumpkin Sandstorm Iran ZeroCleare"
microsoft-threat-actor-list.xlsx,"{""row"": 4, ""sheet"": ""alphabetical""}",Pumpkin Sandstorm,"ACTINIUM Aqua Blizzard Russia UNC530, Primitive Bear, Gamaredon DEV-0146 Pumpkin Sandstorm Iran ZeroCleare"
microsoft-threat-actor-list.xlsx,"{""row"": 4, ""sheet"": ""alphabetical""}",ZeroCleare,"ACTINIUM Aqua Blizzard Russia UNC530, Primitive Bear, Gamaredon DEV-0146 Pumpkin Sandstorm Iran ZeroCleare"
summary/2020/PWC-cyber-threats-2019-retrospect.pdf,"{""page"": 26}",ZeroCleare,"lity contained in three different implants. 10% of Saipem’s systems were infected, the vast majority of which were located in the Middle East. In late 2019, researchers identified a new wiper malware family called ZeroCleare in open-source reporting. Similarly to Shamoon, ZeroCleare was deployed against targets in the Middle East, and exploited a specific unsigned system driver to load wiper code on victim systems. 91 Information oper"
summary/2020/PWC-cyber-threats-2019-retrospect.pdf,"{""page"": 26}",ZeroCleare,"systems were infected, the vast majority of which were located in the Middle East. In late 2019, researchers identified a new wiper malware family called ZeroCleare in open-source reporting. Similarly to Shamoon, ZeroCleare was deployed against targets in the Middle East, and exploited a specific unsigned system driver to load wiper code on victim systems. 91 Information operations Information operations – i.e. attempts to ‘influence,"
summary/2020/PWC-cyber-threats-2019-retrospect.pdf,"{""page"": 31}",ZeroCleare,"r and destructive malware have continued posing a threat to organisations – specifically in the Middle East and United States – between December 2018’s third wave of Shamoon attacks and destructive activity using ZeroCleare malware in late December 2019. Yet also in 2019, sabotage operations exhibited a more subtle, treacherous side that has been on the rise for the past few years: that of causing disruption through information ope"
summary/2020/PWC-cyber-threats-2019-retrospect.pdf,"{""page"": 37}",ZeroCleare,"PwC | Cyber Threats 2019: A Year in Retrospect | 37 Term Definition TrickBot Trojanised (program) UAC UAC bypass WhiteShadow Winnti backdoor ZeroCleare Watering hole Vishing First seen in 2016, TrickBot is a modular banking trojan and credential stealer designed to steal banking and other online account details. It is often delivered after an initial Emotet infection"
summary/2020/PWC-cyber-threats-2019-retrospect.pdf,"{""page"": 3}",ZeroCleare,"ations. This report considers the incumbent leaders on the cyber crime scene, as well as the new players and diversification of revenue. In terms of sabotage attacks, the end of 2019 saw a new form of wiper named ZeroCleare – with links to Shamoon malware – target organisations in the Middle East. Throughout 2019, DDoS attacks remained a steady trend in the background of other cyber operations. Election interference via information"
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 4}",ZeroCleare,，委内瑞拉再度因网络攻击而导致大规模停 电，首都亦未能幸免，全境陷入“末日”般的悲惨世界； 10 月，乌克兰外交官、政府和军 事官员以及执法部门人员，遭遇 APT 组织 Gamaredon 的武器化文件定向打击；11 月，印度 独立网络核电站 Kudankulam 遭遇疑似朝鲜 APT 组织 Lazarus 的攻击，据传攻击已渗透至核 心系统；12 月，IBM 披露中东工业和能源行业，遭伊朗 APT34（Oilrig）恶意数据擦除软件 ZeroCleare 的摧毁性攻击。 APT 攻击有着复杂度高、对抗性强、特征隐蔽等特点，通常由有国家背景的相关攻击组 织发起，实施窃取国家机密、重要企业的有价值商业信息、破坏网络基础设施等活动，具有 强烈的政治和经济目的。网络空间安全的格局虽不断变化，但隐藏在迷雾背后的，是国家间 的博弈与较量。随着我国国际地位不断崛起，各种与我国有关的政治、经济、军事、科技情 报搜集对专业黑客组织有极大吸引力，使我国成为全球网络攻击的主要受害国之一。实际上， 自 201
summary/2023/MDDR_FINAL_2023_1004.pdf,"{""page"": 12}",Pumpkin Sandstorm,y motivated Strawberry Tempest Lebanon Plaid Rain Russia Seashell Blizzard Midnight Blizzard Star Blizzard Aqua Blizzard Cadet Blizzard Iran Mango Sandstorm Cotton Sandstorm Peach Sandstorm Mint Sandstorm Pumpkin Sandstorm China Volt Typhoon Raspberry Typhoon Flax Typhoon Circle Typhoon Mulberry Typhoon North K orea Jade Sleet Diamond Sleet Citrine Sleet Emerald Sleet Sapphire Sleet Ruby Sleet Onyx Sleet Opal Sleet
summary/2023/MDDR_FINAL_2023_1004.pdf,"{""page"": 67}",Pumpkin Sandstorm,"Middle East. The group used remote monitoring and management tools to retain access to compromised environments. In at least one case, they used a custom credential stealer to siphon users’ credentials. • In June, Pumpkin Sandstorm used the custom dropper BellaCiao to deliver tools to organizations. Because BellaCiao can be used to deliver various tools, post-compromise activity varies based on the operators’ decisions. In at least one intrus"
