original_source_path,original_source_location,matched_name,context_excerpt
AISecurity/Claude Mythos Preview System Card.pdf,"{""page"": 245}",Karma,"ebug.test.js diegomura__react-pdf-433 (1 / 22): tests/font.test.js For chartjs/Chart.js, processing/p5.js, and markedjs/marked, the harness rewrites the JavaScript test-framework conﬁguration (Karma, Grunt, Jasmine respectively) to emit machine-parseable output rather than the default formatted reporter. This changes only the output format, not which tests run or th"
APT Groups and Operations.xlsx,"{""row"": 37, ""sheet"": ""Iran""}",HomeLand Justice,HomeLand Justice https://www.cisa.gov/uscert/ncas/alerts/aa22-264a
Anonymous/the-rise-of-state-sponsored-hacktivism.pdf,"{""page"": 6}",Karma,"A notable early example is “Predatory Sparrow,” a group that presents itself as a dissident force opposing the Iranian government, but is widely believed to be affiliated with Israel. Similarly, Iranian groups such as “Karma Power” and “The Malek Team” have conducted cyberattacks on Israeli critical infrastructure and are suspected of ties to Iran’s Ministry of Intelligence or the Islamic Revolutionary Guard Corps (IRGC). This evolution h"
International Strategic/Canada/Public Report_EN_2025_DIGITAL.pdf,"{""page"": 15}",Handala Hack,"ondemning “the attempts of Iranian intelligence services to kill, kidnap, and harass people in Europe and North America in clear violation of our sovereignty.” For example, in July 2025, alleged “hacktivist” group “Handala Hack Team” claimed to have hacked the “systems, servers, and communication infrastructure” of Iran International, a Farsi- language satellite television channel with English, Arabic, and Farsi online news operations based"
International Strategic/Canada/Public Report_EN_2025_DIGITAL.pdf,"{""page"": 15}",Handala Hack,"London, United Kingdom (UK), and Washington, D.C. Iran International maintains a highly critical reporting line vis-à-vis the Iranian regime, and several online security and threat intelligence firms have linked the Handala Hack Team to the Iranian Intelligence Services. The Handala Hack Team subsequently doxed* several Iran International- linked journalists, including a Canadian resident. The Canadian’s photos, provincial driver’s license,"
International Strategic/Canada/Public Report_EN_2025_DIGITAL.pdf,"{""page"": 15}",Handala Hack,"national maintains a highly critical reporting line vis-à-vis the Iranian regime, and several online security and threat intelligence firms have linked the Handala Hack Team to the Iranian Intelligence Services. The Handala Hack Team subsequently doxed* several Iran International- linked journalists, including a Canadian resident. The Canadian’s photos, provincial driver’s license, permanent resident card, and Iranian passport details were"
NSOGroup/VB2022-Exploit-archaeology-a-forensic-history-of-in-the-wild-NSO-Group-exploits.pdf,"{""page"": 3}",KARMA,"hacking campaign linked to the UAE government that made use of zero-click exploits. Project Raven exploited at least two iPhone zero-click vulnerabilities, incorporated into spyware tools that the threat actors named KARMA and KARMA2. The vulnerability exploited by KARMA likely targeted iOS 9 1 We located what appears to be a 2010 NSO Group Pegasus brochure on VirusTotal, SHA256: 8d7226d501d3964c9a51742a0ac3783f122bb0003c7 d8822e2373b27f"
NSOGroup/VB2022-Exploit-archaeology-a-forensic-history-of-in-the-wild-NSO-Group-exploits.pdf,"{""page"": 3}",KARMA,"at made use of zero-click exploits. Project Raven exploited at least two iPhone zero-click vulnerabilities, incorporated into spyware tools that the threat actors named KARMA and KARMA2. The vulnerability exploited by KARMA likely targeted iOS 9 1 We located what appears to be a 2010 NSO Group Pegasus brochure on VirusTotal, SHA256: 8d7226d501d3964c9a51742a0ac3783f122bb0003c7 d8822e2373b27fc8367bc. 2 Some Pegasus samples for Android conta"
NSOGroup/VB2022-Exploit-archaeology-a-forensic-history-of-in-the-wild-NSO-Group-exploits.pdf,"{""page"": 4}",KARMA,"as said to be patched around August 2017 [11], though we cannot identify any iOS update released in the month of August. One of the exploits used was reportedly developed and sold by a US-based company, Accuvant [12]. KARMA and KARMA2’s reported targets included journalists at the BBC and Al Jazeera [13]. NSO Group’s first post-W AP zero-click offering appears to have been its ‘Pegasus 3’ system, released in 2017 [14]. Subsequent NSO Gro"
cybercrime/2024/Semiannual+Ransomware+Report+-+H1+2024.pdf,"{""page"": 9}",Homeland Justice,"eting high-profile researchers from European and American organizations and universities with spear phishing attacks, deploying two new backdoor malwares, MediaPl and MischiefTut.1 In February 2024, a group called Homeland Justice claimed to have access to 100 terabytes of geographic information system and population data from Albania’s Institute of Statistics (INSTAT). Neither INSTAT nor Albanian cyber officials confirmed Homeland Justice's in"
cybercrime/2024/Semiannual+Ransomware+Report+-+H1+2024.pdf,"{""page"": 9}",Homeland Justice,"lled Homeland Justice claimed to have access to 100 terabytes of geographic information system and population data from Albania’s Institute of Statistics (INSTAT). Neither INSTAT nor Albanian cyber officials confirmed Homeland Justice's involvement in the attack, though Albania’s cyber agency (AKCESK) reached out to experts and collaborated with state police to help INSTAT recover the affected systems.2 This incident is reminiscent of the attack on"
cybercrime/2024/Semiannual+Ransomware+Report+-+H1+2024.pdf,"{""page"": 9}",Homeland Justice,"ed with state police to help INSTAT recover the affected systems.2 This incident is reminiscent of the attack on Albanian government networks conducted by the threat group between May and June 2022. In that instance, Homeland Justice launched ransomware on the networks, leaving an anti-Mujahideen E-Khalq (MEK) message on desktops.3 The same month as the Homeland Justice attack, Crimson Sandstorm (also known as TA456 or Imperial Kitten), also l"
cybercrime/2024/Semiannual+Ransomware+Report+-+H1+2024.pdf,"{""page"": 9}",Homeland Justice,"conducted by the threat group between May and June 2022. In that instance, Homeland Justice launched ransomware on the networks, leaving an anti-Mujahideen E-Khalq (MEK) message on desktops.3 The same month as the Homeland Justice attack, Crimson Sandstorm (also known as TA456 or Imperial Kitten), also linked to IRGC, was observed targeting critical sectors with malware, weaponizing generative AI to improve the quality of phishing emails, devel"
cybercrime/2025/Virtual-Routes-Pharos-Report-Series-No.-3.pdf,"{""page"": 31}",HomeLand Justice,"s’ souls).’90 Israel’s National Cyber Directorate later attributed the attack to MuddyWater.91 State-linked Iranian groups have also used ransomware tactics in response to geopolitical events. In July 2022, the group HomeLand Justice – believed to be a collaboration between multiple Iran-linked actors – conducted an attack against the government of Albania.92 During the operation, the group deployed a ransomware-style file encryptor alongside disk"
