original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 25, ""sheet"": ""China""}",Scarlet Mimic,"Scarlet Mimic Scarlet Mimic G0029 FakeM, Psylo, MobileOrder Uyghur and Tibetan activists as well as those who are interested in their causes http://researchcenter.paloaltonetworks.com/2016/01/scarlet-mimic-years-long-espionage-target"
APT Groups and Operations.xlsx,"{""row"": 25, ""sheet"": ""China""}",Scarlet Mimic,"Scarlet Mimic Scarlet Mimic G0029 FakeM, Psylo, MobileOrder Uyghur and Tibetan activists as well as those who are interested in their causes http://researchcenter.paloaltonetworks.com/2016/01/scarlet-mimic-years-long-espionage-targets-minority-act"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 200}",Scarlet Mimic,Threat Group Cards: A Threat Actor Encyclopedia 200 Scarlet Mimic Names Scarlet Mimic (Palo Alto) Country China Motivation Information theft and espionage Description Scarlet Mimic is a threat group that has targeted minority rights activists. This group has not been directly lin
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 200}",Scarlet Mimic,Threat Group Cards: A Threat Actor Encyclopedia 200 Scarlet Mimic Names Scarlet Mimic (Palo Alto) Country China Motivation Information theft and espionage Description Scarlet Mimic is a threat group that has targeted minority rights activists. This group has not been directly linked to a government s
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 200}",Scarlet Mimic,"Threat Group Cards: A Threat Actor Encyclopedia 200 Scarlet Mimic Names Scarlet Mimic (Palo Alto) Country China Motivation Information theft and espionage Description Scarlet Mimic is a threat group that has targeted minority rights activists. This group has not been directly linked to a government source, but the group’s motivations appear to overlap with those of the Chinese government. While"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 200}",Scarlet Mimic,"activists. This group has not been directly linked to a government source, but the group’s motivations appear to overlap with those of the Chinese government. While there is some overlap between IP addresses used by Scarlet Mimic and Putter Panda, APT 2, it has not been concluded that the groups are the same. (Palo Alto) The attacks began over four years ago and their targeting pattern suggests that this adversary’s primary mission is to ga"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 6}",Scarlet Mimic,hreat Actor Encyclopedia 6 ScarCruft ........................................................................................................................................................................ 198 Scarlet Mimic ................................................................................................................................................................. 200 Sea Turtle .........................................
Threat Group Cards.pdf,"{""page"": 200}",Scarlet Mimic,Threat Group Cards: A Threat Actor Encyclopedia 200 Scarlet Mimic Names Scarlet Mimic (Palo Alto) Country China Motivation Information theft and espionage Description Scarlet Mimic is a threat group that has targeted minority rights activists. This group has not been directly lin
Threat Group Cards.pdf,"{""page"": 200}",Scarlet Mimic,Threat Group Cards: A Threat Actor Encyclopedia 200 Scarlet Mimic Names Scarlet Mimic (Palo Alto) Country China Motivation Information theft and espionage Description Scarlet Mimic is a threat group that has targeted minority rights activists. This group has not been directly linked to a government s
Threat Group Cards.pdf,"{""page"": 200}",Scarlet Mimic,"Threat Group Cards: A Threat Actor Encyclopedia 200 Scarlet Mimic Names Scarlet Mimic (Palo Alto) Country China Motivation Information theft and espionage Description Scarlet Mimic is a threat group that has targeted minority rights activists. This group has not been directly linked to a government source, but the group’s motivations appear to overlap with those of the Chinese government. While"
Threat Group Cards.pdf,"{""page"": 200}",Scarlet Mimic,"activists. This group has not been directly linked to a government source, but the group’s motivations appear to overlap with those of the Chinese government. While there is some overlap between IP addresses used by Scarlet Mimic and Putter Panda, APT 2, it has not been concluded that the groups are the same. (Palo Alto) The attacks began over four years ago and their targeting pattern suggests that this adversary’s primary mission is to ga"
Threat Group Cards.pdf,"{""page"": 6}",Scarlet Mimic,........................................................ 197 ScarCruft .............................................................................................................................................. 198 Scarlet Mimic....................................................................................................................................... 200 Sea Turtle ....................................................................
Threat_Group_Cards_v2.0.pdf,"{""page"": 284}",Scarlet Mimic,Threat Group Cards: A Threat Actor Encyclopedia 284 Scarlet Mimic Names Scarlet Mimic (Palo Alto) Country China Motivation Information theft and espionage First seen 2015 Description Scarlet Mimic is a threat group that has targeted minority rights activists. This group has not
Threat_Group_Cards_v2.0.pdf,"{""page"": 284}",Scarlet Mimic,Threat Group Cards: A Threat Actor Encyclopedia 284 Scarlet Mimic Names Scarlet Mimic (Palo Alto) Country China Motivation Information theft and espionage First seen 2015 Description Scarlet Mimic is a threat group that has targeted minority rights activists. This group has not been directly linked
Threat_Group_Cards_v2.0.pdf,"{""page"": 284}",Scarlet Mimic,"Threat Group Cards: A Threat Actor Encyclopedia 284 Scarlet Mimic Names Scarlet Mimic (Palo Alto) Country China Motivation Information theft and espionage First seen 2015 Description Scarlet Mimic is a threat group that has targeted minority rights activists. This group has not been directly linked to a government source, but the group’s motivations appear to overlap with those of the Chinese government. While"
Threat_Group_Cards_v2.0.pdf,"{""page"": 284}",Scarlet Mimic,"activists. This group has not been directly linked to a government source, but the group’s motivations appear to overlap with those of the Chinese government. While there is some overlap between IP addresses used by Scarlet Mimic and Putter Panda, APT 2, it has not been concluded that the groups are the same. (Palo Alto) The attacks began over four years ago and their targeting pattern suggests that this adversary’s primary mission is to gath"
Threat_Group_Cards_v2.0.pdf,"{""page"": 7}",Scarlet Mimic,..................................... 281 Samurai Panda ............................................................................................................................................................. 283 Scarlet Mimic ................................................................................................................................................................. 284 Sea Turtle .........................................
summary/2020/APT-blackberry-mobile-malware-report.pdf,"{""page"": 12}",SCARLET MIMIC,". After further investigating the Citizen Lab report, BlackBerry researchers connected the 2012 mobile attacks on activists to several well-known, traditional desktop APT espionage groups including REAVER (aka SUTR), SCARLET MIMIC, and LOTUSBLOSSOM, whose tools notably do not typically include mobile malware . Instead, REAVER and LOTUSBLOSSOM are better known for Windows-based espionage campaigns linked to recent attacks on the automotive indus"
summary/2020/APT-blackberry-mobile-malware-report.pdf,"{""page"": 12}",SCARLET MIMIC,"which would indicate that iOS devices were likely targeted around the same timeframe . • Several other dynamic DNS domains linked to this early attack continued to resolve into the present and connect to REAVER/SUTR, SCARLET MIMIC, and even LOTUSBLOSSOM . This would again indicate either shared infrastructure among different APT groups with vastly different targeting priorities, which in the BlackBerry researcher’s estimation is rare, or a singl"
summary/2020/APT-blackberry-mobile-malware-report.pdf,"{""page"": 5}",SCARLET MIMIC,"a .k .a . SUTR), whose previously observed campaigns involve desktop malware and a range of Western economic and government espionage targets . Several other well-known Chinese APT groups, including LOTUS BLOSSOM and SCARLET MIMIC, are also linked to this activity . • Targets of interest are the focus of a cross-platform (mobile and desktop malware) espionage campaign utilizing newly identified malware families for Android and Windows that Blac"
