original_source_path,original_source_location,matched_name,context_excerpt
"International Strategic/Russia/Russian Cyber Operations Attack Automation, Espionage Against Defense Sector and New Tactics.pdf","{""page"": 19}",UNC4221,"class and imple- menting its call in the relevant code blocks. To track activity related to the modification of the ""Очі"" application, the identifier UAC-0210 has been created. ""CONFERENCE INVITATION"" FROM UAC-0185 (UNC4221) (CERT-UA#12414) The activity of the UAC-0185 (UNC4221) group has been ongoing since at least 2022. Cybercriminals specialize in stealing credentials from messengers such as ""Signal,"" ""Telegram,"" ""WhatsApp,"" and mili"
"International Strategic/Russia/Russian Cyber Operations Attack Automation, Espionage Against Defense Sector and New Tactics.pdf","{""page"": 19}",UNC4221,"blocks. To track activity related to the modification of the ""Очі"" application, the identifier UAC-0210 has been created. ""CONFERENCE INVITATION"" FROM UAC-0185 (UNC4221) (CERT-UA#12414) The activity of the UAC-0185 (UNC4221) group has been ongoing since at least 2022. Cybercriminals specialize in stealing credentials from messengers such as ""Signal,"" ""Telegram,"" ""WhatsApp,"" and military systems like ""DELTA,"" ""ТЕНЕТА,"" and ""Кропива."" At"
"International Strategic/Russia/Russian Cyber Operations Attack Automation, Espionage Against Defense Sector and New Tactics.pdf","{""page"": 2}",UNC4221,"180: ""Polyglots"" Attack Defense Industry Enterprises (CERT-UA#10375) ........................18 Mobile Implants Mimic 'Military' Program ...................................19 ""Conference Invitation"" from UAC-0185 (UNC4221) (CERT-UA#12414) ...............................19 UAC-0125 Cyberattack Leveraging the “Army+” Theme .........................................................................20 PREVIOUS REPORTS ...................."
parse-daily/.cache/tech-memo/daily-news/iocs/2026_04-06/20260629.md,"{""line"": 44}",UNC4221,- IC3アドバイザリはソーシャルエンジニアリング戦術の警告であり、技術的IOCは含まない。攻撃者UNC5792/UNC4221の識別名のみ言及。
parse-daily/.cache/tech-memo/daily-news/iocs/2026_04-06/20260629.md,"{""line"": 66}",UNC4221,"- 攻撃グループ識別名 UNC5792, UNC4221 - ioc_typeに該当しないため除外"
parse-daily/.cache/tech-memo/daily-news/news/2026_04-06/20260629.md,"{""line"": 53}",UNC4221,- 攻撃者はロシア情報機関関連のRISで、FSB国境警備隊に組み込まれたFSB職員やロシア軍のために活動する人物を含み、UNC5792およびUNC4221として追跡されている。
parse-daily/.cache/tech-memo/daily-news/news/2026_04-06/20260630.md,"{""line"": 101}",UNC4221,"- 米国務省は、UNC5792とUNC4221の特定・所在把握につながる情報に最大1,000万ドルの懸賞金を提示した。"
parse-daily/.cache/tech-memo/daily-news/news/2026_04-06/20260630.md,"{""line"": 112}",UNC4221,- 攻撃者はUNC5792とUNC4221で、UNC5792はロシア連邦保安庁FSB国境警備隊、UNC4221はロシア軍事機関のために活動すると記載されている。
parse-daily/AGENT.md,"{""line"": 112}",UNC4221,UNC4221、UAC-0099、UNC5342等、未帰属クラスタ指定子が一級プロファイルとして
parse-daily/review-decisions.json,"{""json_path"": ""$.unc4221|https://www.ic3.gov/PSA/2026/PSA260626.review_notes""}",UNC4221,tech-memo全履歴再監査: 記事要約の同一文で当該アクターが攻撃活動の実行主体として明記されている。攻撃期間は一次資料中の明示値を別途確認できていないためunknownとし、記事公開日はreported_atとして分離する。 根拠: - 攻撃者はロシア情報機関関連のRISで、FSB国境警備隊に組み込まれたFSB職員やロシア軍のために活動する人物を含み、UNC5792およびUNC4221として追跡されている。
