original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 37, ""sheet"": ""Unknown""}",GELSEMIUM,"Chimera GELSEMIUM OwlProxy, SessionManager Taiwan semiconductors Likely a Chinese group, inconclusive overlap w/Winnti https://cycraft.com/download/%5BTLP-White%5D20200415%20Chimera_V4.1.pdf https://blog.fox-it.com/2021/01/12/abusing-clo"
APT Groups and Operations.xlsx,"{""row"": 37, ""sheet"": ""Unknown""}",gelsemium,-20/Thursday/us-20-Chen-Operation-Chimera-APT-Operation-Targets-Semiconductor-Vendors.pdf https://lab52.io/blog/chimera-apt-updates-on-its-owlproxy-malware/ https://www.welivesecurity.com/wp-content/uploads/2021/06/eset_gelsemium.pdf https://securelist.com/owowa-credential-stealer-and-remote-access/105219/ https://securelist.com/the-sessionmanager-iis-backdoor/106868/ https://www.fortinet.com/blog/threat-research/pivnoxy-and-chinoxy-puppeteer-an
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 108}",Gelsemium,APT 组织情报研究年鉴 100 6.1.29 Gelsemium 组织名 Gelsemium 中文名 无 组织地理 未知 别名 无 历史目标 中国台湾，中国香港，斯里兰卡 目标行业 科技 发现时间 2021-02-01 最近活跃 2021-06-23 动机 潜伏控守 描述 Operation NightScout 是一个高度有针对性的 APT 组织。 受害者来自中国台湾、 中国香港和斯里兰卡。 Operation NightScout 新的供应链攻击损害了 NoxPlayer 的更新机制，NoxP
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 108}",Gelsemium,APT 组织情报研究年鉴 100 6.1.29 Gelsemium 组织名 Gelsemium 中文名 无 组织地理 未知 别名 无 历史目标 中国台湾，中国香港，斯里兰卡 目标行业 科技 发现时间 2021-02-01 最近活跃 2021-06-23 动机 潜伏控守 描述 Operation NightScout 是一个高度有针对性的 APT 组织。 受害者来自中国台湾、 中国香港和斯里兰卡。 Operation NightScout 新的供应链攻击损害了 NoxPlayer 的更新机制，NoxPlayer 是用于 PC 和
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 108}",Gelsemium,害了 NoxPlayer 的更新机制，NoxPlayer 是用于 PC 和 Mac 的 Android 仿真器，也是 BigNox 产品系列的一部分，在全球拥有 1.5 亿多用户。攻击链中总共观察到三 种不同的恶意更新变体，每种变体都使用了不同的恶意软件。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 4 279 31 244 4 最近发布报告 2021-06-23 Threat intel || Gelsemium alienvault 2021-06-10 Gelsemium new campaign indicators alienvault 2021-06-09 Stealthy Gelsemium cyberspies linked to NoxPlayer supply-chain attack alienvault 2021-02-01 Operation NightScout: Supply?chain attack targets
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 108}",Gelsemium,PC 和 Mac 的 Android 仿真器，也是 BigNox 产品系列的一部分，在全球拥有 1.5 亿多用户。攻击链中总共观察到三 种不同的恶意更新变体，每种变体都使用了不同的恶意软件。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 4 279 31 244 4 最近发布报告 2021-06-23 Threat intel || Gelsemium alienvault 2021-06-10 Gelsemium new campaign indicators alienvault 2021-06-09 Stealthy Gelsemium cyberspies linked to NoxPlayer supply-chain attack alienvault 2021-02-01 Operation NightScout: Supply?chain attack targets online gaming in Asia ESET APT
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 108}",Gelsemium,观察到三 种不同的恶意更新变体，每种变体都使用了不同的恶意软件。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 4 279 31 244 4 最近发布报告 2021-06-23 Threat intel || Gelsemium alienvault 2021-06-10 Gelsemium new campaign indicators alienvault 2021-06-09 Stealthy Gelsemium cyberspies linked to NoxPlayer supply-chain attack alienvault 2021-02-01 Operation NightScout: Supply?chain attack targets online gaming in Asia ESET APT 组织画像
summary/2024/Qianxin 2023 APT Report.pdf,"{""page"": 113}",gelsemium,.https://www.ptsecurity.com/ww-en/analytics/pt-esc-threat-intelligence/space-pirates-a-look- into-the-group-s-unconventional-techniques-new-attack-vectors-and-tools/ 299.https://unit42.paloaltonetworks.com/rare-possible-gelsemium-attack-targets-se-asia/ 300.https://mp.weixin.qq.com/s/DZwbJ8-UTji29kH2on90fQ 301.https://mp.weixin.qq.com/s/dOQ5kA7MwQCDg2x_NgBoEA 302.https://www.barracuda.com/company/legal/esg-vulnerability 303.https://www.mandiant.
summary/2024/eset-apt-activity-report-q4-2023-q1-2024.pdf,"{""page"": 7}",Gelsemium,"t and VPN bridge, and establish a persistent VPN connection on compromised systems, allowing them to RDP directly to the compromised systems. ESET researchers also discovered two undocumented Linux backdoors used by Gelsemium (a group that we documented in a white paper on WeLiveSecurity) against Linux servers in Taiwan, probably exploiting an Apache Tomcat vulnerability. One of these backdoors, which we named WolfsBane, is a Linux varia"
summary/2024/eset-apt-activity-report-q4-2023-q1-2024.pdf,"{""page"": 7}",Gelsemium,"h we named WolfsBane, is a Linux variant of the Gelsevirine backdoor. The second backdoor, which we named FireWood, is connected to Project Wood (which we documented in a WeLiveSecurity blogpost), previously used by Gelsemium during Operation TooHash, as documented by G Data. Finally, considering Linux malware, we observed the tentative deployment of the Linux variant of the Winnti malware against a computer science department of a Taiwa"
