original_source_path,original_source_location,matched_name,context_excerpt
International Strategic/China/Autumn Dragon_ Group Target South East Asia.pdf,"{""page"": 29}",ta415,t in disrupting or attributing further malicious campaigns. 6 https://malpedia.caad.fkie.fraunhofer.de/actor/apt41 5 https://www.proofpoint.com/us/blog/threat-insight/going-underground-china-aligned-ta415-conducts-us-china-economic- relations 29
parse-daily/.cache/tech-memo/daily-news/news/2025_07-09/20250918.md,"{""line"": 110}",TA415,#### 中国系TA415、VS Code Remote Tunnelsを悪用し米経済政策専門家をスパイ
parse-daily/.cache/tech-memo/daily-news/news/2025_07-09/20250918.md,"{""line"": 111}",ta415,https://thehackernews.com/2025/09/chinese-ta415-uses-vs-code-remote.html
parse-daily/.cache/tech-memo/daily-news/news/2025_07-09/20250918.md,"{""line"": 114}",TA415,- 中国関与とされるTA415が、米政府・シンクタンク・大学の経済政策専門家を狙い、米中テーマで誘導して標的型攻撃を展開。
parse-daily/.cache/tech-memo/daily-news/news/2025_07-09/20250918.md,"{""line"": 124}",TA415,- 攻撃者属性: 中国関与の国家支援系TA415。APT41/Brass Typhoonとの重複が示唆。
parse-daily/review-decisions.json,"{""json_path"": ""$.ta415|https://thehackernews.com/2025/09/chinese-ta415-uses-vs-code-remote.html.review_notes""}",TA415,tech-memo全履歴再監査: 記事タイトルで当該アクターが攻撃活動の実行主体として明記されている。攻撃期間は一次資料中の明示値を別途確認できていないためunknownとし、記事公開日はreported_atとして分離する。 根拠: 中国系TA415、VS Code Remote Tunnelsを悪用し米経済政策専門家をスパイ
summary/2026/Cloudflare-2026-threat-report.pdf,"{""page"": 23}",TA415,"ators Global financial espionage and LotX stealth operations Aliases / AKAs: APT41, Amoeba, BARIUM, BRONZE ATLAS, BRONZE EXPORT, Blackfly, Brass Typhoon, Earth Baku, G0044, G0096, Grayfly, HOODOO, LEAD, Red Kelpie, TA415, WICKED PANDA, WICKED SPIDER Threat actor profile FrumpyToad Global financial sector and SaaS providers TOUGHPROGRESS, KEYPLUG, ShadowPad, DUSTTRAP, DUSTPAN, and Google Calendar-based C2 mechanisms Primary objec"
ui/api/v1/search.json,"{""json_path"": ""$.entities[1755].refs[35].target""}",ta415,actor:ta415
ui/api/v1/search.json,"{""json_path"": ""$.entities[450].attrs.概要""}",TA415,TA415の標準化プロファイル。リポジトリ内の専用資料1件とMITRE ATT&CK、アクターマッピング表を基礎情報としている。
ui/api/v1/search.json,"{""json_path"": ""$.entities[450].detail""}",ta415,ta415
ui/api/v1/search.json,"{""json_path"": ""$.entities[450].id""}",ta415,actor:ta415
ui/api/v1/search.json,"{""json_path"": ""$.entities[450].label""}",TA415,TA415
