original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 83, ""sheet"": ""Others""}",ModifiedElephant,"ModifiedElephant Activists, human rights defenders, journalists, academics, and law professionals in India ""ModifiedElephant activity aligns sharply with Indian state interests"" https://www.sentinelone.com/labs/modifiedelephant-apt-and-"
APT Groups and Operations.xlsx,"{""row"": 83, ""sheet"": ""Others""}",ModifiedElephant,"ModifiedElephant Activists, human rights defenders, journalists, academics, and law professionals in India ""ModifiedElephant activity aligns sharply with Indian state interests"" https://www.sentinelone.com/labs/modifiedelephant-apt-and-a-decade-of-fabricating-evidence/#report https://assets.sentinelone.com/sentinellabs-apt/modified-elephant-a"
APT Groups and Operations.xlsx,"{""row"": 83, ""sheet"": ""Others""}",modifiedelephant,"ModifiedElephant Activists, human rights defenders, journalists, academics, and law professionals in India ""ModifiedElephant activity aligns sharply with Indian state interests"" https://www.sentinelone.com/labs/modifiedelephant-apt-and-a-decade-of-fabricating-evidence/#report https://assets.sentinelone.com/sentinellabs-apt/modified-elephant-apt?lb-mode=overlay"
International Strategic/India/README.MD,"{""line"": 11}",ModifiedElephant,"ModifiedElephant is responsible for targeted attacks on human rights activists, human rights defenders, academics, and lawyers across India with the objective of planting incriminating digital evidence."
International Strategic/India/README.MD,"{""line"": 13}",modifiedelephant,https://www.sentinelone.com/labs/modifiedelephant-apt-and-a-decade-of-fabricating-evidence/
International Strategic/India/modified-elephant-apt.pdf,"{""page"": 1}",MODIFIEDELEPHANT,"1 MODIFIEDELEPHANT APT AND A DECADE OF FABRICATING EVIDENCE MODIFIED ELEPHANT APT AND A DECADE OF FABRICATING EVIDENCE Author: Tom Hegel, Juan Andres Guerrero-Saade February 2022 SentinelLABS Research Team"
International Strategic/India/modified-elephant-apt.pdf,"{""page"": 2}",MODIFIEDELEPHANT,2 MODIFIEDELEPHANT APT AND A DECADE OF FABRICATING EVIDENCE TABLE OF CONTENTS 3 EXECUTIVE SUMMMARY 4 BACKGROUND 5 TARGETS & OBJECTIVES 5 INFECTION ATTEMPTS 7 WEAPONS OF CHOICE 11 RELATIONS TO OTHER THREAT CLUSTERS 12 ATTRIBUTION
International Strategic/India/modified-elephant-apt.pdf,"{""page"": 3}",ModifiedElephant,"EXECUTIVE SUMMARY SentinelLabs Team • Our research attributes a decade of activity to a threat actor we call ModifiedElephant. • ModifiedElephant is responsible for targeted attacks on human rights activists, human rights defenders, academics, and lawyers across India with the objective of planting incriminating digital evidence. • ModifiedE"
International Strategic/India/modified-elephant-apt.pdf,"{""page"": 3}",ModifiedElephant,"EXECUTIVE SUMMARY SentinelLabs Team • Our research attributes a decade of activity to a threat actor we call ModifiedElephant. • ModifiedElephant is responsible for targeted attacks on human rights activists, human rights defenders, academics, and lawyers across India with the objective of planting incriminating digital evidence. • ModifiedElephant has been ope"
International Strategic/India/modified-elephant-apt.pdf,"{""page"": 3}",ModifiedElephant,"dElephant. • ModifiedElephant is responsible for targeted attacks on human rights activists, human rights defenders, academics, and lawyers across India with the objective of planting incriminating digital evidence. • ModifiedElephant has been operating since at least 2012, and has repeatedly targeted specific individuals. • ModifiedElephant operates through the use of commercially available remote access trojans (RATs) and has potential ties to th"
summary/2023/2022cyberComprehensiveSituationObservationManual.pdf,"{""page"": 1}",ModifiedElephant,- 005 - - 006 - 高级威胁篇 2022年高级威胁态势研究报告 本小节中，我们根据公开情报整理了2022年新披露的APT组织。南亚地区和中东地区仍然是较容易被研究人 员捕获恶意样本并披露威胁组织的地区。其中围绕南亚地区进行攻击活动的组织有：活跃长达十年的 ModifiedElephant（又名暗象、DarkElephant）组织、仿冒小众聊天软件针对Android平台的 VajraEleph（又名金刚象）组织，和针对印度国防部下发Python后门的APT-LY-1004组织。瞄准中东地 区进行攻击活动的组织有：来自黎巴嫩滥用OneDrive的POLONIUM组织、活动中使用远程代码执行漏洞的 Cunning Kitten组织、针对土耳其海军的MurenShark（又名OceanDoge）组织。此外，还有攻击目标为 非洲
