original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 10, ""sheet"": ""Iran""}",Sima,"Sima focus on dissidents, woman rights activists, human rights organizations https://iranthreats.github.io/"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 204}",Sima,"Threat Group Cards: A Threat Actor Encyclopedia 204 Sima Names Sima (Amnesty International) Country Iran Motivation Information theft and espionage Description In February 2016, Iran­focused individuals received messages purporting to be from Human RightsWatch's (HRW) Em"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 204}",Sima,"Threat Group Cards: A Threat Actor Encyclopedia 204 Sima Names Sima (Amnesty International) Country Iran Motivation Information theft and espionage Description In February 2016, Iran­focused individuals received messages purporting to be from Human RightsWatch's (HRW) Emergencies Di"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 204}",Sima,"ency amongst other groups to simply continually send different forms of generic malware or phishing, in the hopes that one would eventually be successful. Observed This group targets Iranians in diaspora. Tools used Sima. Information <https://www.blackhat.com/docs/us-16/materials/us-16-Guarnieri-Iran-And-The- Soft-War-For-Internet-Dominance-wp.pdf>"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 35}",Sima,"17. Later that month, the same tactics and patterns were seen in attempts against an Iranian women’s activist – an individual commonly targeted by Iranian actors, such as Charming Kitten, Newscaster, NewsBeef and the Sima campaign documented in our 2016 Black Hat talk. Recurrent patterns in hostnames, registrations, and phishing scripts provided a strong link between the two incidents, and older attempts were found that directly overl"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 6}",Sima,............................. 202 Silence ........................................................................................................................................................................... 203 Sima ............................................................................................................................................................................... 204 Slingshot ............................
Threat Group Cards.pdf,"{""page"": 204}",Sima,"Threat Group Cards: A Threat Actor Encyclopedia 204 Sima Names Sima (Amnesty International) Country Iran Motivation Information theft and espionage Description In February 2016, Iran­focused individuals received messages purporting to be from Human RightsWatch's (HRW) Em"
Threat Group Cards.pdf,"{""page"": 204}",Sima,"Threat Group Cards: A Threat Actor Encyclopedia 204 Sima Names Sima (Amnesty International) Country Iran Motivation Information theft and espionage Description In February 2016, Iran­focused individuals received messages purporting to be from Human RightsWatch's (HRW) Emergencies Di"
Threat Group Cards.pdf,"{""page"": 204}",Sima,"ency amongst other groups to simply continually send different forms of generic malware or phishing, in the hopes that one would eventually be successful. Observed This group targets Iranians in diaspora. Tools used Sima. Information <https://www.blackhat.com/docs/us-16/materials/us-16-Guarnieri-Iran-And-The- Soft-War-For-Internet-Dominance-wp.pdf>"
Threat Group Cards.pdf,"{""page"": 35}",Sima,"17. Later that month, the same tactics and patterns were seen in attempts against an Iranian women’s activist – an individual commonly targeted by Iranian actors, such as Charming Kitten, Newscaster, NewsBeef and the Sima campaign documented in our 2016 Black Hat talk. Recurrent patterns in hostnames, registrations, and phishing scripts provided a strong link between the two incidents, and older attempts were found that directly overl"
