original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 81, ""sheet"": ""Others""}",Higaisa,"DarkHotel Tardigrade Spider Luder Karba Tapaoux Nemim Dubnium (Microsoft) APT-C-06, SHADOW CRANE, T-APT-02, SIG25 (NSA), G0012 Daybreak? Fallout Team WizardOpium Inexsmar, Higaisa, Win32.Karba, Win32.Pioneer, CVE-2015-8651, Asruex, CVE-2012-0158, CVE-2010-2883, CVE-2016-4171 and CVE-2018-817 Japan, Taiwan, China, Russia, South Korea, North Korea Government, Utilities, High-Tech, Automotive Infor"
APT Groups and Operations.xlsx,"{""row"": 81, ""sheet"": ""Others""}",higaisa,=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FW87E6_v9YCnsmQWDd7NOHw&sandbox=1 https://s.tencent.com/research/report/836.html https://s.tencent.com/research/report/1000.html https://blog.malwarebytes.com/threat-analysis/2020/06/higaisa/ https://www.anomali.com/blog/covid-19-themes-are-being-utilized-by-threat-actors-of-varying-sophistication https://blog.malwarebytes.com/threat-analysis/2020/06/higaisa/ https://blog.prevailion.com/2020/06/the-gh0st-re
APT Groups and Operations.xlsx,"{""row"": 81, ""sheet"": ""Others""}",higaisa,s://blog.malwarebytes.com/threat-analysis/2020/06/higaisa/ https://www.anomali.com/blog/covid-19-themes-are-being-utilized-by-threat-actors-of-varying-sophistication https://blog.malwarebytes.com/threat-analysis/2020/06/higaisa/ https://blog.prevailion.com/2020/06/the-gh0st-remains-same8.html https://www.zscaler.com/blogs/research/return-higaisa-apt https://www.cfr.org/blog/questioning-chinas-politicization-cyber-intelligence-during-pandemic h
APT Groups and Operations.xlsx,"{""row"": 81, ""sheet"": ""Others""}",higaisa,ed-by-threat-actors-of-varying-sophistication https://blog.malwarebytes.com/threat-analysis/2020/06/higaisa/ https://blog.prevailion.com/2020/06/the-gh0st-remains-same8.html https://www.zscaler.com/blogs/research/return-higaisa-apt https://www.cfr.org/blog/questioning-chinas-politicization-cyber-intelligence-during-pandemic https://www.trellix.com/en-us/about/newsroom/stories/threat-labs/suspected-darkhotel-apt-activity-update.html https://ins
APT-hunting/hunting-cobaltstrike-beacons-in-the-dark.pdf,"{""page"": 96}",Higaisa,"e.” apt41 continued - gh0st in the machine In the Prevailion blog, we can find two IOCs that appear in the cluster above; the IP 149.28.78[.]89, and the domain mlcrosoft[.]site. That blog associated those IOCs with the Higaisa APT group, which oper- ates out of North Korea. The domain mlcrosoft[.]site also appears in a blog from Positive Technologies. That article has addition- al overlapping IOCs and talks about the same campaign as mention"
APT-hunting/hunting-cobaltstrike-beacons-in-the-dark.pdf,"{""page"": 96}",Higaisa,"itive Technologies. That article has addition- al overlapping IOCs and talks about the same campaign as mentioned in the Prevailion blog. However, it makes a strong argument that the activity is from APT41, rather than Higaisa APT. IP Domain 144.202.98[.]198 zalofilescdn[.]com 107.182.24[.]70 isbigfish[.]xyz 185.14.29[.]72 www[.]microsoftbooks.dns-dns[.]com 193.42.114[.]73 www[.]microsoftbooks.dns-dns[.]com 149.28.78[.]89 www[.]mlcrosoft[.]s"
APT-hunting/hunting-cobaltstrike-beacons-in-the-dark.pdf,"{""page"": 96}",Higaisa,"cdn.microsoftdocs.workers[.]dev ccdn.microsoftdocs.workers[.]dev Table 12 - APT41 phishing domains Prevalion The Gh0st Remains the Same https://www.prevailion.com/the-gh0st-remains-the-same-2/ Positive Technologies Higaisa or Winnti? APT41 backdoors, old and new https://www.ptsecurity.com/ww-en/analytics/pt-esc-threat-intelligence/higaisa-or-winnti-apt-41- backdoors-old-and-new/ 96"
APT-hunting/hunting-cobaltstrike-beacons-in-the-dark.pdf,"{""page"": 96}",higaisa,"Remains the Same https://www.prevailion.com/the-gh0st-remains-the-same-2/ Positive Technologies Higaisa or Winnti? APT41 backdoors, old and new https://www.ptsecurity.com/ww-en/analytics/pt-esc-threat-intelligence/higaisa-or-winnti-apt-41- backdoors-old-and-new/ 96"
Darkhotel/higaisa/README.MD,"{""line"": 1}",higaisa,higaisa_apt_report.pdf
Darkhotel/higaisa/higaisa_apt_report.pdf,"{""page"": 1}",Higaisa,腾讯安全 我警惕来自节假日的祝福 ——APT 攻击组织“黑格莎（Higaisa）” 攻击活动披露 腾讯安全御见威胁情报中心 2019.11
Darkhotel/higaisa/higaisa_apt_report.pdf,"{""page"": 3}",Higaisa,"析了大量样本，我们确信其来自于朝鲜半岛。对攻击背 景分析后，我们认为该组织为来自韩国的一个攻击组织。从样本的技术细节、基础设施等经 过详细分析后，我们尚无证据证明该组织跟韩国的另一攻击组织 DarkHotel（黑店）有关 联，即便是攻击对象、某些攻击手法跟 DarkHotel（黑店）有一些类似。因此我们决定把 该组织列为来自韩国的又一独立的攻击组织，取名为""黑格莎""（源于作者喜欢使用的 RC4 的解密密钥为 Higaisakora，取 Higaisa 的英译），目前尚不排除该组织为 DarkHotel 的 某一分支。由于受限于样本、受控机、基础设施等等客观情况，可能在组织归属上存在一些 细节的误判和遗漏，我们希望安全社区同仁来共同完善该组织的一些细节。 “黑格莎”组织攻击流程图："
