original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 6, ""sheet"": ""Russia""}",Crouching Yeti,"Energetic Bear Dragonfly Crouching Yeti Group 24 Koala Team Berserk Bear Anger Bear Dymalloy Havex PEACEPIPE Fertger TEMP.Isotope ALLANITE IRON LIBERTY Havex RAT, Oldrea, LightsOut ExploitKit, Inveigh, PsExec, Persistence through .LNK file manipulations, Nmap"
APT Groups and Operations.xlsx,"{""row"": 6, ""sheet"": ""Russia""}",Dragonfly,"Energetic Bear Dragonfly Crouching Yeti Group 24 Koala Team Berserk Bear Anger Bear Dymalloy Havex PEACEPIPE Fertger TEMP.Isotope ALLANITE IRON LIBERTY Havex RAT, Oldrea, LightsOut ExploitKit, Inveigh, PsExec, Persistence through .LNK file mani"
APT Groups and Operations.xlsx,"{""row"": 6, ""sheet"": ""Russia""}",Energetic Bear,"Energetic Bear Dragonfly Crouching Yeti Group 24 Koala Team Berserk Bear Anger Bear Dymalloy Havex PEACEPIPE Fertger TEMP.Isotope ALLANITE IRON LIBERTY Havex RAT, Oldrea, LightsOut ExploitKit, Inveigh, PsExec, Persistence through .LNK"
APT Groups and Operations.xlsx,"{""row"": 6, ""sheet"": ""Russia""}",Group 24,"Energetic Bear Dragonfly Crouching Yeti Group 24 Koala Team Berserk Bear Anger Bear Dymalloy Havex PEACEPIPE Fertger TEMP.Isotope ALLANITE IRON LIBERTY Havex RAT, Oldrea, LightsOut ExploitKit, Inveigh, PsExec, Persistence through .LNK file manipulations, Nmap, Dirsear"
APT Groups and Operations.xlsx,"{""row"": 71, ""sheet"": ""China""}",dragonfly,blogs.security.com/blogs/threat-intelligence/cicada-apt10-china-ngo-government-attacks https://www.dragos.com/blog/how-adversaries-use-spear-phishing-to-target-engineering-staff/ https://blog.sygnia.co/revealing-emperor-dragonfly-a-chinese-ransomware-group
APT-hunting/hunting-cobaltstrike-beacons-in-the-dark.pdf,"{""page"": 74}",havex,random base 10 digit): Figure 56 – Common SMB pipe names Pipe name Profi le \\.\pipe\MSSE-###-server Default \\.\pipe\msagent_## Default (SMB) \\.\pipe\status_## Default \\.\pipe\postex_#### Default \\.\pipe\mypipe-h## havex.profi le \\.\pipe\mypipe-f## havex.profi le \\.\pipe\interprocess_## gmail.profi le \\.\pipe\ntsvcs Many \\.\pipe\scerpc Many \\.\pipe\DserNamePipe## Many \\.\pipe\PGMessagePipe## Many \\.\pipe\MsFteWds## Many 74
APT-hunting/hunting-cobaltstrike-beacons-in-the-dark.pdf,"{""page"": 74}",havex,ommon SMB pipe names Pipe name Profi le \\.\pipe\MSSE-###-server Default \\.\pipe\msagent_## Default (SMB) \\.\pipe\status_## Default \\.\pipe\postex_#### Default \\.\pipe\mypipe-h## havex.profi le \\.\pipe\mypipe-f## havex.profi le \\.\pipe\interprocess_## gmail.profi le \\.\pipe\ntsvcs Many \\.\pipe\scerpc Many \\.\pipe\DserNamePipe## Many \\.\pipe\PGMessagePipe## Many \\.\pipe\MsFteWds## Many 74
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 2}",Allanite,"........................................... 10 Anchor Panda, APT 14 .................................................................................................................................................. 11 Allanite ............................................................................................................................................................................. 12 APT 3, Gothic Panda, Buckeye ............"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 2}",Berserk Bear,"............................. 35 Barium .............................................................................................................................................................................. 37 Berserk Bear, Dragonfly 2.0 ......................................................................................................................................... 39 Blackgear ...................................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 2}",Dragonfly,"............... 35 Barium .............................................................................................................................................................................. 37 Berserk Bear, Dragonfly 2.0 ......................................................................................................................................... 39 Blackgear ..............................................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 3}",Dragonfly,"................. 86 El Machete....................................................................................................................................................................... 88 Energetic Bear, Dragonfly ............................................................................................................................................. 89 Equation Group .........................................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 3}",Energetic Bear,"................................. 86 El Machete....................................................................................................................................................................... 88 Energetic Bear, Dragonfly ............................................................................................................................................. 89 Equation Group ..............................................."
International Strategic/Russia/Disjointed_Cyber_Warfare_Internal_Conflicts_among_.pdf,"{""page"": 24}",Dragonfly,"airs [ 59]. In recent years, the FSB has expanded its remit to include foreign intelligence gathering and OCOs. Today’s state-sponsored hacker groups linked to the FSB are Callisto, EnergeticBear, Gamaredon, TeamSpy, Dragonfly, Havex, CrouchingYeti, and Koala. SBU intelligence analysts say that the FSB has two primary centres overseeing information security and cyber operations. The first is the 16th Center, which houses most of the FSB’s"
International Strategic/Russia/Disjointed_Cyber_Warfare_Internal_Conflicts_among_.pdf,"{""page"": 24}",Havex,"In recent years, the FSB has expanded its remit to include foreign intelligence gathering and OCOs. Today’s state-sponsored hacker groups linked to the FSB are Callisto, EnergeticBear, Gamaredon, TeamSpy, Dragonfly, Havex, CrouchingYeti, and Koala. SBU intelligence analysts say that the FSB has two primary centres overseeing information security and cyber operations. The first is the 16th Center, which houses most of the FSB’s intell"
International Strategic/Russia/Disjointed_Cyber_Warfare_Internal_Conflicts_among_.pdf,"{""page"": 26}",Dragonfly,"competitive activity between this agency and the FSB. (2) Gamaredon: Gamaredon’s activity as an APT has been observed since 2013. It is believed to have ties with FSB, specifically Unit 71330. Although Gamaredon and Dragonfly are two separate APTs, both may be related to Unit 71330. While Gamaredon mainly focuses on cyber espionage and intelligence gathering, Dragonfly (also known as EnergeticBear or Crouching Yeti) is reportedly notoriou"
International Strategic/Russia/Disjointed_Cyber_Warfare_Internal_Conflicts_among_.pdf,"{""page"": 26}",Dragonfly,"to have ties with FSB, specifically Unit 71330. Although Gamaredon and Dragonfly are two separate APTs, both may be related to Unit 71330. While Gamaredon mainly focuses on cyber espionage and intelligence gathering, Dragonfly (also known as EnergeticBear or Crouching Yeti) is reportedly notorious for sophisticated and multi-stage attacks aimed at compromising"
International Strategic/Russia/Disjointed_Cyber_Warfare_Internal_Conflicts_among_.pdf,"{""page"": 9}",DRAGONFLY,aredon APT continues to target Ukraine • Russia-linked Turla APT sneakily Co-Opts ancient Andromedra USB infections • Russian Espionage APT Callisto focuses on Ukraine war support orgranizations APT29 APT28 GRU SVR DRAGONFLY FSB COORDINATION SANDWORM ARMAGEDDON ARMAGEDDON APT transfer to the GRU TURLA CALLISTO Figure 1. Coordination amongst Russian intelligence agencies and related APTs. 3. Factors Impacting Coordination Coordination betwe
