original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 30, ""sheet"": ""Unknown""}",Silence,"Silence Group Malicious CHM files, Truebot Targets are located in Eastern Europe and Russia https://reaqta.com/2019/01/silence-group-targeting-russian-banks/ https://www.group-ib.com/media/silence/ https://www.group-ib.com/reso"
APT28/APT28_CERTFR_2023_EN.pdf,"{""page"": 6}",Silence,"e subject of these emails are carried out through VPN services or the Tor anonymization network with infrastructures that can 3. Including CVE-2023-23397. is often built around a single term: “Silence. », “Celebration”, “Interest. ”, etc. ANSSI observes three main initial access methods used by the MOA since 2021: understand more than 1000 different IP addresses [16, 13].  sending phishing"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 203}",Silence,Threat Group Cards: A Threat Actor Encyclopedia 203 Silence Names Silence (Kaspersky) Country [Unknown] Motivation Financial gain Description (Group-IB) Group-IB has exposed the attacks committed by Silence cybercriminal group. While the gang had previously targeted Russian
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 203}",Silence,"Threat Group Cards: A Threat Actor Encyclopedia 203 Silence Names Silence (Kaspersky) Country [Unknown] Motivation Financial gain Description (Group-IB) Group-IB has exposed the attacks committed by Silence cybercriminal group. While the gang had previously targeted Russian banks, Group-I"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 203}",Silence,"Threat Group Cards: A Threat Actor Encyclopedia 203 Silence Names Silence (Kaspersky) Country [Unknown] Motivation Financial gain Description (Group-IB) Group-IB has exposed the attacks committed by Silence cybercriminal group. While the gang had previously targeted Russian banks, Group-IB experts also have discovered evidence of the group's activity in more than 25 countries worldwide. Group-IB has published its first"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 203}",Silence,"ly targeted Russian banks, Group-IB experts also have discovered evidence of the group's activity in more than 25 countries worldwide. Group-IB has published its first detailed report on tactics and tools employed by Silence. Group-IB security analysts' hypothesis is that at least one of the gang members appears to be a former or current employee of a cyber security company. The confirmed damage from Silence activity is estimated at 800 0"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 6}",Silence,....................................... 201 Shadow Network .......................................................................................................................................................... 202 Silence ........................................................................................................................................................................... 203 Sima .....................................
International Strategic/Canada/national-cyber-threat-assessment-2025-2026-e.pdf,"{""page"": 42}",Silence,"led 6 April 2023. https://www. justice.gov/d9/2023-04/squad_912_-_23-mj-0334_redacted_complaint_signed.pdf. United States House Select Committee on the CCP , HEARING: CCP Transnational Repression: The Party’s Effort to Silence and Coerce Critics Overseas, 13 December 2023. https://selectcommitteeontheccp.house.gov/media/witness-testimony/hearing-ccp-transnational-repression-partys-effort- silence-and-coerce. 21 Mike Dvilyanski, “Taking Actio"
README.md,"{""line"": 108}",Silence,"▶ Kimsuky Organization, Operation Stealth Power Silence Operation (April 3 , 2019)"
Threat Group Cards.pdf,"{""page"": 203}",Silence,Threat Group Cards: A Threat Actor Encyclopedia 203 Silence Names Silence (Kaspersky) Country [Unknown] Motivation Financial gain Description (Group-IB) Group-IB has exposed the attacks committed by Silence cybercriminal group. While the gang had previously targeted Russian
