original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 27, ""sheet"": ""Russia""}",Bleeding Bear,"Ember Bear UAC-0056 Lorec53 Lorec Bear Bleeding Bear Saint Bear UNC2589 TA471 DEV-0586 WhisperGate wiper, Elephant Framework Ukraine, limited evidence to suggest that the group has been involved in attacks on targets in Kyrgyzstan. Third-party reporting has also linked th"
APT Groups and Operations.xlsx,"{""row"": 27, ""sheet"": ""Russia""}",DEV-0586,"Ember Bear UAC-0056 Lorec53 Lorec Bear Bleeding Bear Saint Bear UNC2589 TA471 DEV-0586 WhisperGate wiper, Elephant Framework Ukraine, limited evidence to suggest that the group has been involved in attacks on targets in Kyrgyzstan. Third-party reporting has also linked the group to attacks on Georgia. htt"
APT Groups and Operations.xlsx,"{""row"": 27, ""sheet"": ""Russia""}",Ember Bear,"Ember Bear UAC-0056 Lorec53 Lorec Bear Bleeding Bear Saint Bear UNC2589 TA471 DEV-0586 WhisperGate wiper, Elephant Framework Ukraine, limited evidence to suggest that the group has been involved in attacks on targets in Kyrgyzstan"
APT Groups and Operations.xlsx,"{""row"": 27, ""sheet"": ""Russia""}",Lorec Bear,"Ember Bear UAC-0056 Lorec53 Lorec Bear Bleeding Bear Saint Bear UNC2589 TA471 DEV-0586 WhisperGate wiper, Elephant Framework Ukraine, limited evidence to suggest that the group has been involved in attacks on targets in Kyrgyzstan. Third-party reporting has"
APT Groups and Operations.xlsx,"{""row"": 27, ""sheet"": ""Russia""}",UNC2589,"Ember Bear UAC-0056 Lorec53 Lorec Bear Bleeding Bear Saint Bear UNC2589 TA471 DEV-0586 WhisperGate wiper, Elephant Framework Ukraine, limited evidence to suggest that the group has been involved in attacks on targets in Kyrgyzstan. Third-party reporting has also linked the group to attacks"
International Strategic/Russia/A_year_of_Russian_hybrid_warfare_in_Ukraine_MS_Threat_Intelligence.pdf,"{""page"": 14}",DEV-0586,"ws 10 to Ukrainian forums, exploiting demand for low-cost versions of the software to gain access to government and other sensitive organizations in Ukraine. Just before and early in the war, Microsoft observed that DEV-0586 exploited Confluence servers to gain access to Ukrainian organizations later impacted by Whispergate wiper malware or other operations. STRONTIUM has used public exploits to compromise on-premises Microsoft Exchange"
International Strategic/Russia/A_year_of_Russian_hybrid_warfare_in_Ukraine_MS_Threat_Intelligence.pdf,"{""page"": 5}",DEV-0586,"attacks did not appear to account for the rapid response by Ukrainian network defenders and the international technology community to identify and mitigate malicious activity. In January 2022, Russian military actor DEV-0586 deployed the WhisperGate wiper against a few Ukrainian organizations.5 Since that time, Russian threat actors have employed at least nine new wiper families and two types of ransomware against more than 100 Ukraini"
International Strategic/Russia/WhisperGate/aa24-249a-russian-military-cyber-actors-target-us-and-global-critical-infrastructure.pdf,"{""page"": 3}",Bleeding Bear,"he most notable threat group names related under MITRE ATT&CK G1003 and commonly used within the cybersecurity community.  Cadet Blizzard (formerly known as DEV-0586 by Microsoft)[1],[2]  Ember Bear (also known as Bleeding Bear by CrowdStrike)[3]  Frozenvista  UNC2589[4]  UAC-0056[5] Note: Cybersecurity companies have different methods of tracking and attributing cyber actors, and this may not be a 1:1 correlation to the U.S. Governmen"
International Strategic/Russia/WhisperGate/aa24-249a-russian-military-cyber-actors-target-us-and-global-critical-infrastructure.pdf,"{""page"": 3}",Cadet Blizzard,"endations related to Unit 29155 cyber actors. While not all encompassing, the following are the most notable threat group names related under MITRE ATT&CK G1003 and commonly used within the cybersecurity community.  Cadet Blizzard (formerly known as DEV-0586 by Microsoft)[1],[2]  Ember Bear (also known as Bleeding Bear by CrowdStrike)[3]  Frozenvista  UNC2589[4]  UAC-0056[5] Note: Cybersecurity companies have different methods of trackin"
International Strategic/Russia/WhisperGate/aa24-249a-russian-military-cyber-actors-target-us-and-global-critical-infrastructure.pdf,"{""page"": 3}",DEV-0586,"ber actors. While not all encompassing, the following are the most notable threat group names related under MITRE ATT&CK G1003 and commonly used within the cybersecurity community.  Cadet Blizzard (formerly known as DEV-0586 by Microsoft)[1],[2]  Ember Bear (also known as Bleeding Bear by CrowdStrike)[3]  Frozenvista  UNC2589[4]  UAC-0056[5] Note: Cybersecurity companies have different methods of tracking and attributing cyber acto"
International Strategic/Russia/WhisperGate/aa24-249a-russian-military-cyber-actors-target-us-and-global-critical-infrastructure.pdf,"{""page"": 3}",Ember Bear,"ssing, the following are the most notable threat group names related under MITRE ATT&CK G1003 and commonly used within the cybersecurity community.  Cadet Blizzard (formerly known as DEV-0586 by Microsoft)[1],[2]  Ember Bear (also known as Bleeding Bear by CrowdStrike)[3]  Frozenvista  UNC2589[4]  UAC-0056[5] Note: Cybersecurity companies have different methods of tracking and attributing cyber actors, and this may not be a 1:1 corr"
International Strategic/Russia/WhisperGate/aa24-249a-russian-military-cyber-actors-target-us-and-global-critical-infrastructure.pdf,"{""page"": 3}",Frozenvista,"related under MITRE ATT&CK G1003 and commonly used within the cybersecurity community.  Cadet Blizzard (formerly known as DEV-0586 by Microsoft)[1],[2]  Ember Bear (also known as Bleeding Bear by CrowdStrike)[3]  Frozenvista  UNC2589[4]  UAC-0056[5] Note: Cybersecurity companies have different methods of tracking and attributing cyber actors, and this may not be a 1:1 correlation to the U.S. Government’s understanding for all activity"
International Strategic/Russia/google_fog_of_war_research_report.pdf,"{""page"": 6}",UNC2589,8 9 — — — — — — — — — — — — — — — — — — — — — frOzeNvisTA Aliases UNC2589 ● — ● pushchA Aliases UNC1151 ● ● — frOzeNbAreNTs Aliases Sandworm Voodoo Bear IRIDIUM ● ● ● frOzeNlAke Aliases APT28 sOFACY Fancy Bear sTRONTIUM Sednit ● ● — summiT Aliases Turla Team Snak
International Strategic/Russia/google_fog_of_war_research_report.pdf,"{""page"": 6}",frOzeNvisTA,8 9 — — — — — — — — — — — — — — — — — — — — — frOzeNvisTA Aliases UNC2589 ● — ● pushchA Aliases UNC1151 ● ● — frOzeNbAreNTs Aliases Sandworm Voodoo Bear IRIDIUM ● ● ● frOzeNlAke Aliases APT28 sOFACY Fancy Bear sTRONTIUM Sednit ● ● — summiT Aliases
International Strategic/Russia/google_fog_of_war_research_report.pdf,"{""page"": 7}",FROZENVIsTA,"military entities, the campaigns we disrupted also show a strong targeting focus on critical infrastructure, utilities and public services, and the media and information space (FROZENBARENTs, FROZENLAKE, COLDRIVER, FROZENVIsTA). TOP TARGETED DOMAIN s PHI sHING CAMPAIGN s BY GOVERNMENT -BACKED ATTACKER s TOP 10 TARGET s — UKRAINIAN GOVERNMENT AND MILITARY 2021 2022 FEB FEBjAN jANMAR MARAPR APRMAY MAYjUN jUNjUL jULAUG AUGsEP sEPOCT OCTNOV NOVDE"
International Strategic/Russia/google_fog_of_war_research_report.pdf,"{""page"": 7}",FROZENVIsTA,"lobally February – October 2022 Multiple Russian groups continue elevated activity levels In the lulls between Russian activity, Belarusian-government backed PUsHCHA is more active April 2021 Phishing campaigns by FROZENVIsTA targeting Ukraine Figure 2 Figure 1 January 2022 Waves of FROZENVIsTA phishing targeting Ukraine February 24, 2022 Russia invades Ukraine targets"
International Strategic/Russia/google_fog_of_war_research_report.pdf,"{""page"": 7}",FROZENVIsTA,"d activity levels In the lulls between Russian activity, Belarusian-government backed PUsHCHA is more active April 2021 Phishing campaigns by FROZENVIsTA targeting Ukraine Figure 2 Figure 1 January 2022 Waves of FROZENVIsTA phishing targeting Ukraine February 24, 2022 Russia invades Ukraine targets"
International Strategic/Ukraine/Ukraine-Report-Q1_2023.pdf,"{""page"": 22}",Ember Bear,"ttps:/ /cert.gov.ua/article/3718487 (Accessed: 3 April 2023). 7 Alternative identifiers used by other organizations related to the activities of this threat actor: Lorec53, SaintBear, UAC-0056, Nodaria, UNC2589, TA471, Ember Bear. 8 Threat Hunter Team. (2023) ‘Graphiron: New Russian Information Stealing Malware Deployed Against Ukraine’. Symantec. Available at: https:/ /symantec-enterprise-blogs.security.com/blogs/threat-intelligence/nodaria-uk"
International Strategic/Ukraine/Ukraine-Report-Q1_2023.pdf,"{""page"": 22}",UNC2589,"Available at: https:/ /cert.gov.ua/article/3718487 (Accessed: 3 April 2023). 7 Alternative identifiers used by other organizations related to the activities of this threat actor: Lorec53, SaintBear, UAC-0056, Nodaria, UNC2589, TA471, Ember Bear. 8 Threat Hunter Team. (2023) ‘Graphiron: New Russian Information Stealing Malware Deployed Against Ukraine’. Symantec. Available at: https:/ /symantec-enterprise-blogs.security.com/blogs/threat-inte"
International Strategic/Ukraine/Ukraine-Report-Q1_2023.pdf,"{""page"": 3}",DEV-0586,"form1 #Ukraine. The threat actors that were the most active in targeting Ukrainian entities were the hacktivist collectives People’s CyberArmy (99), NoName057(16) (40) and Anonymous Russia (26). Sandworm (19) and DEV-0586 (12) have had the most attacks attributed to them among Russia’s state-sponsored threat actors. Top 5 targeted sectors: • Public administration (81) • Financial (43) • Media (34) • ICT (33) • Transportation (18"
microsoft-threat-actor-list.xlsx,"{""row"": 22, ""sheet"": ""alphabetical""}",Cadet Blizzard,IRIDIUM Seashell Blizzard Russia Sandworm DEV-0586 Cadet Blizzard Russia
microsoft-threat-actor-list.xlsx,"{""row"": 22, ""sheet"": ""alphabetical""}",DEV-0586,IRIDIUM Seashell Blizzard Russia Sandworm DEV-0586 Cadet Blizzard Russia
parse-daily/.cache/tech-memo/daily-news/news/2023_04-06/20230615.md,"{""line"": 134}",Cadet Blizzard,- マイクロソフトは、2023年4月以降に追跡している脅威グループ「Cadet Blizzard」をロシアのGRUと関連付けている。
parse-daily/.cache/tech-memo/daily-news/news/2023_04-06/20230615.md,"{""line"": 136}",Cadet Blizzard,- Cadet Blizzardは、ウクライナのウェブサイトの改ざんやいくつかのハック＆リーク作戦も行っていた。
parse-daily/.cache/tech-memo/daily-news/news/2023_04-06/20230615.md,"{""line"": 138}",Cadet Blizzard,"- Cadet Blizzardの攻撃は、APT28（Strontium, Fancy Bear）やSandworm（Iridium）などの他のGRU関連のハッキンググループと比較して、比較的成功率が低い。"
parse-daily/.cache/tech-memo/daily-news/news/2024_07-09/20240906.md,"{""line"": 39}",Cadet Blizzard,- 米国と同盟国が、重要インフラ攻撃を積極的に行っているロシアのハッカー集団(Cadet BlizzardおよびEmber Bearとして追跡)にロシアのGRU部隊のUnit29155が関与していると発表。
parse-daily/.cache/tech-memo/daily-news/news/2024_07-09/20240906.md,"{""line"": 39}",Ember Bear,- 米国と同盟国が、重要インフラ攻撃を積極的に行っているロシアのハッカー集団(Cadet BlizzardおよびEmber Bearとして追跡)にロシアのGRU部隊のUnit29155が関与していると発表。
parse-daily/.cache/tech-memo/daily-news/news/2025_01-03/20250128.md,"{""line"": 74}",Cadet Blizzard,- この攻撃グループは、Cadet Blizzard、Ember Bearという名前でも追跡されており、2020年以降、NATO加盟国や北米、ヨーロッパ、ラテンアメリカ、中央アジアの国々に対するサイバー攻撃を組織してきた。
parse-daily/.cache/tech-memo/daily-news/news/2025_01-03/20250128.md,"{""line"": 74}",Ember Bear,- この攻撃グループは、Cadet Blizzard、Ember Bearという名前でも追跡されており、2020年以降、NATO加盟国や北米、ヨーロッパ、ラテンアメリカ、中央アジアの国々に対するサイバー攻撃を組織してきた。
parse-daily/review-decisions.json,"{""json_path"": ""$.ember-bear|https://socradar.io/blog/operation-talked-russia-ukraine-defense-industry/.review_notes""}",Ember Bear,"原文(SOCRadar blog)を確認。Ember Bearへの言及はなく、UAC-0056/UAC-0114についても「SOCRadar attributes this activity to a Russia-nexus actor with high confidence, based on TTP overlap with UAC-0056 / UAC-0114」とTTP類似を根拠の一つに挙げるのみで、実行主体と明記していない。帰属自体は別途6項目の技術的指標(Cyrillicキーボード"
parse-daily/review-decisions.json,"{""json_path"": ""$.ember-bear|https://www.bleepingcomputer.com/news/security/us-and-allies-link-russian-military-hackers-behind-critical-infrastructure-attacks-to-gru-unit-29155/.review_notes""}",Cadet Blizzard,tech-memo全履歴再監査: 記事要約の同一文で当該アクターが攻撃活動の実行主体として明記されている。攻撃期間は一次資料中の明示値を別途確認できていないためunknownとし、記事公開日はreported_atとして分離する。 根拠: - 米国と同盟国が、重要インフラ攻撃を積極的に行っているロシアのハッカー集団(Cadet BlizzardおよびEmber Bearとして追跡)にロシアのGRU部隊のUnit29155が関与していると発表。
parse-daily/review-decisions.json,"{""json_path"": ""$.ember-bear|https://www.bleepingcomputer.com/news/security/us-and-allies-link-russian-military-hackers-behind-critical-infrastructure-attacks-to-gru-unit-29155/.review_notes""}",Ember Bear,tech-memo全履歴再監査: 記事要約の同一文で当該アクターが攻撃活動の実行主体として明記されている。攻撃期間は一次資料中の明示値を別途確認できていないためunknownとし、記事公開日はreported_atとして分離する。 根拠: - 米国と同盟国が、重要インフラ攻撃を積極的に行っているロシアのハッカー集団(Cadet BlizzardおよびEmber Bearとして追跡)にロシアのGRU部隊のUnit29155が関与していると発表。
parse-daily/state.json,"{""json_path"": ""$.incremental_scans[3].analyst_notes""}",Ember Bear,"level diamond models, 2046ファイル変更)がマージされたため、担当ブランチをorigin/mainへリベース(ローカル固有コミットなし、fast-forward相当)してからAGENT.mdの手順を再実行した。採用4件(APT38/SAPPHIRE SLEET、BlackTech、Contagious Interview、UNC5342)、不採用7件(BlackByte、Carbanak、Earth Lusca、Ember Bear、Hellsing APT×2、MuddyWater、Night Dragon)。Contagious Interview/UNC5342はallsecure.ioがJSレンダリングのSPAでWebFetch単体では本文取得不可だったため、r.jina.ai経由で本文を取得し直接確認した上で採用に切り替えた。APT38はSAPPHIRE SLEETのalias scopeがoverlappingのため断定的な同一視ではない旨をrevie"
parse-daily/state.json,"{""json_path"": ""$.incremental_scans[3].reviewed_non_matches[3].name""}",Ember Bear,Ember Bear
summary/2022/MS_UkraineSpecialReport.pdf,"{""page"": 5}",DEV-0586,"Sandworm Destruction: FoxBlade wiper; CaddyWiper, Industroyer2 Unit 74455 Russia IRIDIUM aka EnergeticBear Data theft Unit 71330 Russia BROMINE Destruction: WhisperGate wiper Data theft Influence operations Russia DEV-0586 * Suspected GRU affiliation aka Turla Reconnaissance Phishing Russia KRYPTON aka UNC2452/2652 Password spray, phishing (Ukrainian and NATO member diplomatic targets) Russia NOBELIUM Page 05 of 21"
summary/2022/MS_UkraineSpecialReport.pdf,"{""page"": 6}",DEV-0586,"own and suspected Russian threat actors separately targeting supply chain vendors in Ukraine and abroad to secure accesses and pre-position for future third-party intrusions against Ukraine and its partners in NATO. DEV-0586, a previously unknown group with suspected Russian military ties, had compromised the network of an IT firm that built resource management systems for Ukraine’s Ministry of Defense and organizations in the communicat"
summary/2022/MS_UkraineSpecialReport.pdf,"{""page"": 6}",DEV-0586,"ks. In late 2021, suspected Russian cyber actors positioned themselves in networks of Ukrainian energy and IT providers that were later targets of destructive attacks, including Kitsoft, the IT service provider that DEV-0586 compromised to facilitate destruction on the networks of several clients in January 2022.4 The chart above represents the geographic distribution of customers notified of all nation state threat activity, not just Ru"
summary/2022/MS_UkraineSpecialReport.pdf,"{""page"": 7}",DEV-0586,"wiper malware attacks against Ukrainian organizations with increasing intensity. These efforts signaled that Russian actions in Ukraine had entered a destructive phase that could escalate further. In early January, DEV-0586 launched WhisperGate5 malware which sought and deleted selected file extensions and then manipulated the Master Boot Record (MBR) to render targeted machines inoperable. This destructive malware impacted a limited n"
summary/2022/MS_UkraineSpecialReport.pdf,"{""page"": 7}",DEV-0586,"ussian demands. February 21 President Putin recognizes independence of Ukrainian separatist regions, nullifying terms of existing Minsk peace agreements with Ukraine. February 24 Russia invades Ukraine. January 13 DEV-0586 deploys WhisperGate wiper to limited number of Ukrainian government and IT sector systems. January 14 DEV-0586 defaces and an unknown actor starts a distributed denial of service (DDoS) attack on Ukrainian"
summary/2022/Microsoft Digital Defense Report 2022.pdf,"{""page"": 43}",DEV-0586,"ain to impact downstream customers In late 2021, Russian state actors compromised IT services providers and used the access to facilitate website defacements and the deployment of Whispergate destructive malware by DEV-0586 in January. 12 DEV-0586 also compromised the network of an IT firm that built resource management systems for Ukraine’s Ministry of Defense and other organizations in the communications and transportation sectors,"
summary/2022/Microsoft Digital Defense Report 2022.pdf,"{""page"": 43}",DEV-0586,"m customers In late 2021, Russian state actors compromised IT services providers and used the access to facilitate website defacements and the deployment of Whispergate destructive malware by DEV-0586 in January. 12 DEV-0586 also compromised the network of an IT firm that built resource management systems for Ukraine’s Ministry of Defense and other organizations in the communications and transportation sectors, indicating the group was"
summary/2022/Microsoft Digital Defense Report 2022.pdf,"{""page"": 44}",DEV-0586,"ian government accounts as well as military and defense industry-related organizations in the United States, Lebanon, Peru, and Romania, and other government agencies based in Armenia, Bosnia, Kosovo, and Malaysia. DEV-0586, also affiliated with the Russian military, exploited Confluence server vulnerabilities to gain initial access to government and IT sector organizations in Ukraine and other Eastern European countries. Russian stat"
summary/2022/Microsoft_Defending Ukraine_Early Lessons from the Cyber War.pdf,"{""page"": 7}",DEV-0586,"ding Ukraine: Early Lessons from the Cyber War Russian government entities responsible for cyberattacks STRONTIUM Data theft, phishing (military targets) IRIDIUM Destruction: FoxBlade wiper; CaddyWiper, Industroer2 DEV-0586 Destruction: WhisperGate wiper, data theft, influence operations NOBELIUM Password spray, phishing (Ukrainian and NATO member diplomatic targets) ACTINIUM Phishing, data theft BROMINE Data theft KRYPTON Reconnai"
summary/2023/2022cyberComprehensiveSituationObservationManual.pdf,"{""page"": 8}",UNC2589,攻击活动。其活动目标广泛，持续时间 较长。 2022年1月，UA-CERT将该组织命名为UAC-0056，并多次披露该组织的攻击活动，其诱饵文件包括仿冒 乌克兰政府DOCX/DOC文档、乌克兰语LNK文件、乌克兰语CPL文件等，并伪装成具有公信力的组织成员 分发诱饵文件。其在活动中使用的恶意软件包括LorecDocStealer（又名OutSteel）、LorecCPL、 SaintBot等。 2022年3月，Mandiant发布调查称UNC2589进行了以破坏为目的的攻击活动，在活动中部署了多种伪装成 勒索软件的文件擦除器WhisperGate、WhisperKill以及WhiteBlackCrypt，并认为该活动背后的组织 UNC2589与UAC-0056同源。同月，该组织向乌克兰国家机构投放大量网络钓鱼邮件，邮件中包含的下载 器将从Discord服务器下载新的基于Go语言的恶意软件GrimPlant和GraphSteel。该恶意软件活动中使用 的框架后被Malwarebyte
