original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 90, ""sheet"": ""China""}",APT-C-01,"APT-C-01 PoisonVine Poison Ivy, ZxShell, Kanbox RAT, CVE-2012-0158, CVE-2014-6352, CVE-2017-8759 government agencies, military individuals, research institutes, maritime agencies https://ti.qianxin.com/blog/articles/analysis-of-"
APT Groups and Operations.xlsx,"{""row"": 90, ""sheet"": ""China""}",PoisonVine,"APT-C-01 PoisonVine Poison Ivy, ZxShell, Kanbox RAT, CVE-2012-0158, CVE-2014-6352, CVE-2017-8759 government agencies, military individuals, research institutes, maritime agencies https://ti.qianxin.com/blog/articles/analysis-of-apt-c-01/ h"
APT Groups and Operations.xlsx,"{""row"": 90, ""sheet"": ""China""}",apt-c-01,"PoisonVine Poison Ivy, ZxShell, Kanbox RAT, CVE-2012-0158, CVE-2014-6352, CVE-2017-8759 government agencies, military individuals, research institutes, maritime agencies https://ti.qianxin.com/blog/articles/analysis-of-apt-c-01/ https://ti.qianxin.com/uploads/2018/09/20/6f8ad451646c9eda1f75c5d31f39f668.pdf http://blogs.360.cn/post/APT_C_01_en.html https://www.netscout.com/sites/default/files/2019-02/SECR_001_EN-1901%20-%20NETSCOUT%20Threat%20I"
International Strategic/China/Investigation_report_on_Cyberattacks_launched_by_Taiwan_ICEFCOM_EN.pdf,"{""page"": 3}",APT-C-01,"ration with 360 Digital Security Group, have conducted a long-term investigation into the T-APTs. The joint-team has identified five hacker groups supported by the DPP authorities and commanded by the ICEFCOM, which are APT-C-01 (Poison Vine), APT-C-62 (Viola Tricolor), APT-C-64 (Anonymous 64), APT-C-65 (Neon Pothos), and APT-C-67 (Ursa). 1.1 APT-C-01 APT-C-01, also known as "" Poison Vine "" and "" Green Spot "", targets key sectors of government"
International Strategic/China/Investigation_report_on_Cyberattacks_launched_by_Taiwan_ICEFCOM_EN.pdf,"{""page"": 3}",APT-C-01,"ed five hacker groups supported by the DPP authorities and commanded by the ICEFCOM, which are APT-C-01 (Poison Vine), APT-C-62 (Viola Tricolor), APT-C-64 (Anonymous 64), APT-C-65 (Neon Pothos), and APT-C-67 (Ursa). 1.1 APT-C-01 APT-C-01, also known as "" Poison Vine "" and "" Green Spot "", targets key sectors of government and public services, defense and military industries, scientific research, and education. APT-C-01 has close ties to the US C"
International Strategic/China/Investigation_report_on_Cyberattacks_launched_by_Taiwan_ICEFCOM_EN.pdf,"{""page"": 3}",APT-C-01,"acker groups supported by the DPP authorities and commanded by the ICEFCOM, which are APT-C-01 (Poison Vine), APT-C-62 (Viola Tricolor), APT-C-64 (Anonymous 64), APT-C-65 (Neon Pothos), and APT-C-67 (Ursa). 1.1 APT-C-01 APT-C-01, also known as "" Poison Vine "" and "" Green Spot "", targets key sectors of government and public services, defense and military industries, scientific research, and education. APT-C-01 has close ties to the US Cyber Comm"
International Strategic/China/Investigation_report_on_Cyberattacks_launched_by_Taiwan_ICEFCOM_EN.pdf,"{""page"": 3}",APT-C-01,", and APT-C-67 (Ursa). 1.1 APT-C-01 APT-C-01, also known as "" Poison Vine "" and "" Green Spot "", targets key sectors of government and public services, defense and military industries, scientific research, and education. APT-C-01 has close ties to the US Cyber Command and has long been involved in what the U.S. military calls "" Hunt Forward "" operations. It particularly focuses on the development of defense technology, China-US relations, cross-"
International Strategic/China/Investigation_report_on_Cyberattacks_launched_by_Taiwan_ICEFCOM_EN.pdf,"{""page"": 3}",APT-C-01,"hat the U.S. military calls "" Hunt Forward "" operations. It particularly focuses on the development of defense technology, China-US relations, cross-Strait relations, and maritime activities. As illustrated in Figure 1, APT-C-01 excels at using significant current political, economic, and social issues to create phishing websites or decoy documents. They usually using Phishing as their Initial Access technique, aiming to infiltrate high-value t"
summary/2021/Global APT Research Report for the first half of 2021-360.pdf,"{""page"": 15}",APT-C-01,而 Darkhotel 、 芜琼洞和伪猎者攻击活动并未像毒云藤那样频 繁， 但攻击更具集中针对性。 芜琼洞和伪猎者这两个组织是我们今年首次发现， 基于相关技战术和武器资 源我们初步判定是源于朝鲜半岛地区。 Lazarus 组织上半年的攻击活动依然积极活跃， 尤其是利用社交媒体针对安全研究人员的攻击。 Kimsuky 、Scarcruft 上半年的攻击也非常活跃， 主要围绕朝韩关系、 新冠疫情、 核问题等针对政府、 媒 体等目标。 01.APT-C-01（毒云藤） 毒云藤组织今年上半年的攻击异常活跃， 较去年明显上升， 是针对我国攻击活动最为频繁的组织。 该组织 长期针对国内政府、 军工、 教育等领域的重要机构实施网络间谍攻击活动的东亚 APT团 伙 ，且 攻 击 活 动 范 围 基 本 仅 限 于 我 国 ，其 最 早 的 攻 击 活 动 可 以 追 溯 到2007年。 上半年的攻击活动中， 该组织持续制造大量假 冒国内知名邮箱服务网站， 以及假冒受害目标单位邮箱系统网站， 围绕时事
summary/2023/2022_APT_TRENDS_INSIGHT_REPORT.pdf,"{""page"": 21}",APT-C-01,KONNI 是一类木马病毒，后被发现与东亚的 APT 组织存在一定的关系，此后被当作疑似具有东亚背景的 APT 组织的标识。 该组织同样利用疫情相关热点事件对亚洲多个国家进行鱼叉攻击。其外，还通过仿制 APP 针对移动平台用户开展攻击。 2022 年其攻击行动似乎并不是很活跃，主要针对目标为俄罗斯以及半岛地区相关国家，攻击方式没有多大变化，主要还 是通过鱼叉攻击对相关机构进行攻击。 KONNI 其在国内同时也被称为绿斑、穷奇、APT-C-01，该组织对我国国防、政府、科技、教育以及海事机构等重点单位和部门进 行了多年的网络间谍活动，其主要关注军工、中美关系、两岸关系和海洋相关领域。 毒云藤在初始攻击环节主要采用鱼叉式钓鱼邮件攻击，在进行攻击之前，其会对目标进行深入调研，开展信息搜集。通过 分析信息，仿冒国内最常使用的社交软件、邮箱系统（126、163 邮箱） 、政府机构网站、军工网站、高等院校等网站进行 大规模钓鱼，以此获取定向群体的精确情报。 毒云藤 在 2022 年，
summary/2025/2024 Global APT Research Report.pdf,"{""page"": 10}",APT-C-01,排名 TOP1 TOP2 TOP3 TOP4 TOP5 TOP6 TOP7 TOP8 TOP9 TOP10 组织名称 APT-C-01（毒云藤） APT-C-00（海莲花） APT-C-09（摩诃草） APT-C-08（蔓灵花） APT-C-48（CNC） APT-C-39（CIA） APT-C-06（Darkhotel） APT-C-60（伪猎者） APT-C-65（金叶萝） APT-C-70（独角犀） 归属地域 东亚 东南亚 南亚 南亚 南亚 北美 东亚 东亚 东亚 南亚 主要影响行业领域 政府机构、教育、交通运输等 政府机构、教育、科研等 教育、国防军工、科研等
summary/2025/2024 Global APT Research Report.pdf,"{""page"": 24}",APT-C-01,东亚-其他地区 2024年，归属东亚其他地区APT组织活跃度呈现上升态势。APT-C-01（毒云藤）组织持续针对 我国科研高校、交通运输、海事等领域目标展开鱼叉钓鱼邮件攻击。2024年360高级威胁研究院在威胁 狩猎分析中捕获到归属该地区的新APT组织：APTC-65（金叶萝）。 3 2024年全球高级持续性威胁（APT）研究报告 2024 GLOBAL ADVANCED PERSISTENT THREAT (APT) RESEARCH REPORT022 P
