original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 20, ""sheet"": ""Russia""}",TEMP.Veles,"TEMP.Veles Xenotime Triton Triton Oil refinery, other infrastructure https://www.fireeye.com/blog/threat-research/2018/10/triton-attribution-russian-government-owned-lab-most-likely-built-tools.html https://dragos.com/resource/xen"
APT Groups and Operations.xlsx,"{""row"": 20, ""sheet"": ""Russia""}",Triton,"TEMP.Veles Xenotime Triton Triton Oil refinery, other infrastructure https://www.fireeye.com/blog/threat-research/2018/10/triton-attribution-russian-government-owned-lab-most-likely-built-tools.html https://dragos.com/resource/xenotime/ https://d"
APT Groups and Operations.xlsx,"{""row"": 20, ""sheet"": ""Russia""}",Triton,"TEMP.Veles Xenotime Triton Triton Oil refinery, other infrastructure https://www.fireeye.com/blog/threat-research/2018/10/triton-attribution-russian-government-owned-lab-most-likely-built-tools.html https://dragos.com/resource/xenotime/ https://dragos.c"
APT Groups and Operations.xlsx,"{""row"": 20, ""sheet"": ""Russia""}",Xenotime,"TEMP.Veles Xenotime Triton Triton Oil refinery, other infrastructure https://www.fireeye.com/blog/threat-research/2018/10/triton-attribution-russian-government-owned-lab-most-likely-built-tools.html https://dragos.com/resource/xenotime/ ht"
APT Groups and Operations.xlsx,"{""row"": 20, ""sheet"": ""Russia""}",triton,"TEMP.Veles Xenotime Triton Triton Oil refinery, other infrastructure https://www.fireeye.com/blog/threat-research/2018/10/triton-attribution-russian-government-owned-lab-most-likely-built-tools.html https://dragos.com/resource/xenotime/ https://dragos.com/resource/trisis-analyzing-safety-system-targeting-malware/ https://www.fireeye.com/blog/thre"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 233}",TEMP.Veles,"Threat Group Cards: A Threat Actor Encyclopedia 233 TEMP.Veles Names TEMP.Veles (FireEye) Xenotime (Dragos) Country Russia Sponsor State-sponsored, Central Scientific Research Institute of Chemistry and Mechanics Motivation Sabotage and destruction Description TEMP.Veles is a"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 233}",TEMP.Veles,"Threat Group Cards: A Threat Actor Encyclopedia 233 TEMP.Veles Names TEMP.Veles (FireEye) Xenotime (Dragos) Country Russia Sponsor State-sponsored, Central Scientific Research Institute of Chemistry and Mechanics Motivation Sabotage and destruction Description TEMP.Veles is a Russia-based thre"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 233}",TEMP.Veles,"3 TEMP.Veles Names TEMP.Veles (FireEye) Xenotime (Dragos) Country Russia Sponsor State-sponsored, Central Scientific Research Institute of Chemistry and Mechanics Motivation Sabotage and destruction Description TEMP.Veles is a Russia-based threat group that has targeted critical infrastructure. The group has been observed utilizing TRITON, a malware framework designed to manipulate industrial safety systems. Observed Sectors: Critical"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 233}",Xenotime,"Threat Group Cards: A Threat Actor Encyclopedia 233 TEMP.Veles Names TEMP.Veles (FireEye) Xenotime (Dragos) Country Russia Sponsor State-sponsored, Central Scientific Research Institute of Chemistry and Mechanics Motivation Sabotage and destruction Description TEMP.Veles is a Russia-based threat group that has ta"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 6}",TEMP.Veles,".................................................. 230 Temper Panda, admin@338 ...................................................................................................................................... 232 TEMP.Veles .................................................................................................................................................................. 233 Terbium ..........................................."
