original_source_path,original_source_location,matched_name,context_excerpt
Spyware/Buying_Spying_-_Insights_into_Commercial_Surveillance_Vendors_-_TAG_report.pdf,"{""page"": 31}",DSIRF,"rnel, exploited against Android Samsung MFC charger driver, exploited against Android Arm Mali GPU, exploited against Android Qualcomm Adreno GPU, exploited against Android Qualcomm Adreno GPU, exploited against Android DSIRF Subzero CVE-2021-28550 CVE-2021-31199 CVE-2021-31201 CVE-2021-36948 CVE-2022-22047 Adobe Reader Microsoft Windows Microsoft Windows Microsoft Windows Microsoft Windows Intellexa Cytrox Nexa Technologies WiSpear Nova Tri"
microsoft-threat-actor-list.xlsx,"{""row"": 23, ""sheet"": ""alphabetical""}",DSIRF,KNOTWEED Denim Tsunami Private Sector Offensive Actor DSIRF DEV-0605 Wisteria Tsunami Private Sector Offensive Actor CyberRoot
microsoft-threat-actor-list.xlsx,"{""row"": 23, ""sheet"": ""alphabetical""}",Denim Tsunami,KNOTWEED Denim Tsunami Private Sector Offensive Actor DSIRF DEV-0605 Wisteria Tsunami Private Sector Offensive Actor CyberRoot
microsoft-threat-actor-list.xlsx,"{""row"": 23, ""sheet"": ""alphabetical""}",KNOTWEED,KNOTWEED Denim Tsunami Private Sector Offensive Actor DSIRF DEV-0605 Wisteria Tsunami Private Sector Offensive Actor CyberRoot
summary/2022/Global APT Mid-2022 Report-qianxin.pdf,"{""page"": 52}",KNOTWEED,4563 组织主要攻击目标是欧洲金融和投资实体， 尤其是那些支持外汇、 加密货币和去中心化金融 (DeFi) 的业务的实体，攻击特点是利用 lnk 加载器、javascript 和 powershell 脚本释放 EvilNum 后门组件， 用来窃取数据或加载额外的负载 [109] 。 2022 年全球安全厂商披露出多个具有高级攻击技术，并在本年度持续活跃的 APT 组织、以经济为目的 的网络犯罪组织（Hive0117）和网络军火商（KNOTWEED）。 2021 2022 2022 2022 2022 2022 Kasablanka Hive0117 POLONIUMTA4563 MURENSHARK KNOTWEED 最早活动时间：2021 公开披露时间：2021 最早活动时间：2022 公开披露时间：2022 最早活动时间：2022 公开披露时间：2022 最早活动时间：2021 公开披露时间：2022 最早活动时间：2021 公开披露时间：2022 最早活动时间：2021
summary/2022/Global APT Mid-2022 Report-qianxin.pdf,"{""page"": 52}",KNOTWEED,pt 和 powershell 脚本释放 EvilNum 后门组件， 用来窃取数据或加载额外的负载 [109] 。 2022 年全球安全厂商披露出多个具有高级攻击技术，并在本年度持续活跃的 APT 组织、以经济为目的 的网络犯罪组织（Hive0117）和网络军火商（KNOTWEED）。 2021 2022 2022 2022 2022 2022 Kasablanka Hive0117 POLONIUMTA4563 MURENSHARK KNOTWEED 最早活动时间：2021 公开披露时间：2021 最早活动时间：2022 公开披露时间：2022 最早活动时间：2022 公开披露时间：2022 最早活动时间：2021 公开披露时间：2022 最早活动时间：2021 公开披露时间：2022 最早活动时间：2021 公开披露时间：2022 通过 PDF 文诱饵文档和网站对金融、 政府组织进行网络钓鱼，主要进行信息 收集和间谍活动，其具备 Windows 和 Android 平台的恶意攻击
summary/2022/Global APT Mid-2022 Report-qianxin.pdf,"{""page"": 54}",KNOTWEED,全球高级持续性威胁（APT）2022 年中报告 47 2022-08-18 披露机构：绿盟 APT 组织：MURENSHARK 以土耳其为特定目标进行钓 鱼攻击 [111] 2022-07-27 披露机构：Microsoft APT 组织：KNOTWEED 通过 CVE-2022-22047 提 权 0day 进行攻击，之后 投递恶意软件 Subzero [114] 2022-04-26 披露机构：securityintelligence APT 组织：Hive0117 利用钓鱼邮件攻击立陶宛 的国有通信公司、爱沙尼 亚的知名工业企业以及位 于俄罗斯的多家电子和电 信企业 [113] 2022-08-17 披露机构： 360 APT 组织：Kasablanka 利用钓鱼网站等针对也 门政
summary/2022/Global APT Mid-2022 Report-qianxin.pdf,"{""page"": 54}",KNOTWEED,进行攻击 [112] 2022-07-21 披露机构：proofpoint APT 组织：TA4563 以欧洲金融和投资实体为 诱饵邮件，利用 OneDrive 下发 EvilNum 后门组件 [109] 表 5.16 2022 上半年其它地区 APT 组织热点攻击活动 Hive0117 善于利用网络钓鱼邮件下发 DarkWatchman 组件 ( 一种 JavaScript RAT)，通过 C2 机制实现 无文件持久化和其他功能。 KNOTWEED 是来自奥地利的网络军火商，主要针对欧洲、中美洲等地区的目标进行攻击活动。它曾 在 2021 年 通 过 Adobe 0day CVE-2021-28550 及 Windows 提 权 0day CVE-2021-31199 和 CVE-2021- 31201 进行攻击，在 2022 年利用 CVE-2022-22047 提权 0day 的攻击中投递了恶意软件 Subzero。 第五章 地缘下的 APT 组织、活动和趋势 / 全球高级
summary/2022/Global APT Mid-2022 Report-qianxin.pdf,"{""page"": 72}",knotweed,ark/ 112.https://mp.weixin.qq.com/s/mstwBMkS0G3Et4GOji2mwA 113.https://securityintelligence.com/posts/hive00117-fileless-malware-delivery-eastern-europe/ 114.https://www.microsoft.com/security/blog/2022/07/27/untangling-knotweed-european-private- sector-offensive-actor-using-0-day-exploits/
summary/2022/Microsoft Digital Defense Report 2022.pdf,"{""page"": 53}",DSIRF,"ero-click exploits that require no victim interaction at all, enabling surveillance as a service. Microsoft recently announced a European private sector offensive actor we call KNOTWEED, an Austria-based PSOA called DSIRF. Multiple news reports have linked the company to the development and attempted sale of a malware toolset called Subzero. 51 Victims include law firms, banks, and strategic consultancies in countries such as Austri"
summary/2022/Microsoft Digital Defense Report 2022.pdf,"{""page"": 53}",KNOTWEED,"oups using zero-day exploits and even zero-click exploits that require no victim interaction at all, enabling surveillance as a service. Microsoft recently announced a European private sector offensive actor we call KNOTWEED, an Austria-based PSOA called DSIRF. Multiple news reports have linked the company to the development and attempted sale of a malware toolset called Subzero. 51 Victims include law firms, banks, and strategic consu"
summary/2022/Microsoft Digital Defense Report 2022.pdf,"{""page"": 53}",KNOTWEED,"yment restrictions for former employees in this sector. 3 Aim to implement “know your customer” obligations and encourage companies to uphold their human rights commitments. Links to further information Untangling KNOTWEED: European private- sector offensive actor using 0-day exploits | Microsoft Threat Intelligence Center (MSTIC), Microsoft Security Response Center (MSRC), RiskIQ (Microsoft Defender Threat Intelligence) 52 Continuing"
summary/2022/Microsoft Digital Defense Report 2022.pdf,"{""page"": 56}",DSIRF,"org (2022), https://netzpolitik.org/2021/dsirf-wir-enthuellen-den-staatstrojaner-subzero-aus- oesterreich. 52 As noted in our technical blog, the identification of targets in a country does not necessarily mean that a DSIRF customer resides in the same country, as international targeting is common. 53 Home | Cybersecurity Tech Accord (cybertechaccord.org) 55 Microsoft Digital Defense Report 2022"
summary/2022/Microsoft Digital Defense Report 2022.pdf,"{""page"": 56}",dsirf,"ies (2021), https://europe-cities.com/2021/12/17/we-unveil-the-subzero-state-trojan- from-austria/; Andre Meister, We unveil the state Trojan “Subzero” from Austria, Netzpolitik. org (2022), https://netzpolitik.org/2021/dsirf-wir-enthuellen-den-staatstrojaner-subzero-aus- oesterreich. 52 As noted in our technical blog, the identification of targets in a country does not necessarily mean that a DSIRF customer resides in the same country, as"
summary/2023/Global APT 2022 Annual Report-qianxin.pdf,"{""page"": 65}",KNOTWEED,邮箱：ti_support@qianxin.com 电话：95015 官网：https://ti.qianxin.com 60 2022 年全球安全厂商披露出多个具有高级攻击技术、并在本年度持续活跃的 APT 组织，以及以经济为 目的的网络犯罪组织 Hive0117 和网络军火商 KNOTWEED，奇安信威胁情报中心整理上述组织的相关简 介，如下表所示。 组织名称 最早活动时间 公开披露时间 组织简介 TA4563 2021 2022 该攻击组织最早的攻击活动可以追溯到 2021 年 12 月。主要针对欧 洲金融和投资实体目标等进行攻击活动 [188] 。 POLONIUM 2022 2022 该攻击组织最早的攻击活动可以追溯到 2022 年。疑似来自地中海 东岸，主要针对以色列的关键制造业、信息技术、交通系统、国防 工业基地、
summary/2023/Global APT 2022 Annual Report-qianxin.pdf,"{""page"": 65}",KNOTWEED,er 生成的恶意文档投递 LetMeOut 木马 [24] 。 Kasablanka 2021 2021 通过 PDF 文诱饵文档和网站对金融、政府组织进行网络钓鱼，主要 进行信息收集和间谍活动，其具备 Windows 和 Android 平台的恶 意攻击能力 [190] 。 Hive0117 2022 2022 疑似来自东欧地区的出于经济动机的网络犯罪组织，主要针对立陶 宛、爱沙尼亚和俄罗斯电信、电子和工业部门的用户 [191] 。 KNOTWEED 2021 2022 来自欧洲某国的网络军火商， 善于利用 0day 进行网络攻击活动 [192] 。 TA2541 2017 2022 TA2541 是一个网络犯罪组织，主要针对航空、航天、运输和国防 等行业，攻击目标集中在北美、欧洲和中东，诱饵消息几乎都是英 文的。 Cunning Kitten 2021 2022 疑似中东地区的 APT 组织，主要进行信息窃取和间谍活动，其攻击 目标聚焦于世界各地的使用波斯语的相关人士。鱼叉式邮件
