original_source_path,original_source_location,matched_name,context_excerpt
microsoft-threat-actor-list.xlsx,"{""row"": 42, ""sheet"": ""alphabetical""}",Violet Typhoon,ZIRCONIUM Violet Typhoon China APT31
parse-daily/.cache/tech-memo/daily-news/news/2025_07-09/20250724.md,"{""line"": 138}",Violet Typhoon,- Microsoft/Googleは中国系Linen Typhoon・Violet Typhoon・Storm-2603の関与を指摘。
parse-daily/.cache/tech-memo/daily-news/news/2025_07-09/20250724.md,"{""line"": 146}",Violet Typhoon,- 攻撃者は中国国家支援とされるLinen Typhoon・Violet Typhoon・Storm-2603
parse-daily/.cache/tech-memo/daily-news/news/2025_07-09/20250805.md,"{""line"": 82}",Violet Typhoon,- Linen/Violet Typhoonなど中国国家系3グループが関与し、少なくとも148組織を侵害。
parse-daily/.cache/tech-memo/daily-news/news/2025_07-09/20250805.md,"{""line"": 90}",Violet Typhoon,"- 攻撃者は中国の国家系グループ（Linen Typhoon, Violet Typhoon, Storm-2603）でスパイ目的と推定。"
parse-daily/.cache/tech-memo/daily-news/news/2025_10-12/20251023.md,"{""line"": 130}",Violet Typhoon,- 攻撃者は中国関与が示唆され、Budworm/Linen Typhoon、Sheathminer/Violet Typhoon、Storm-2603/Warlockらの関与が過去報告に言及。
parse-daily/.cache/tech-memo/daily-news/news/2025_10-12/20251124.md,"{""line"": 124}",Violet Typhoon,- 攻撃者は中国系APT31（別名Altaire/Judgement Panda/Violet Typhoon等）、目的は政治・経済・軍事情報の収集。
parse-daily/review-decisions.json,"{""json_path"": ""$.judgement-panda|https://thehackernews.com/2025/11/china-linked-apt31-launches-stealthy.html.review_notes""}",Violet Typhoon,tech-memo全履歴再監査: 記事要約の同一文で当該アクターが攻撃活動の実行主体として明記されている。攻撃期間は一次資料中の明示値を別途確認できていないためunknownとし、記事公開日はreported_atとして分離する。 根拠: - 攻撃者は中国系APT31（別名Altaire/Judgement Panda/Violet Typhoon等）、目的は政治・経済・軍事情報の収集。
parse-daily/review-decisions.json,"{""json_path"": ""$.storm-2603|https://www.bleepingcomputer.com/news/security/ransomware-gangs-join-attacks-targeting-microsoft-sharepoint-servers/.review_notes""}",Violet Typhoon,"tech-memo全履歴再監査: 記事要約の同一文で当該アクターが攻撃活動の実行主体として明記されている。攻撃期間は一次資料中の明示値を別途確認できていないためunknownとし、記事公開日はreported_atとして分離する。 根拠: - 攻撃者は中国の国家系グループ（Linen Typhoon, Violet Typhoon, Storm-2603）でスパイ目的と推定。"
parse-daily/review-decisions.json,"{""json_path"": ""$.storm-2603|https://www.bleepingcomputer.com/news/security/us-nuclear-weapons-agency-hacked-in-microsoft-sharepoint-attacks/.review_notes""}",Violet Typhoon,tech-memo全履歴再監査: 記事要約の同一文で当該アクターが攻撃活動の実行主体として明記されている。攻撃期間は一次資料中の明示値を別途確認できていないためunknownとし、記事公開日はreported_atとして分離する。 根拠: - Microsoft/Googleは中国系Linen Typhoon・Violet Typhoon・Storm-2603の関与を指摘。
parse-daily/review-decisions.json,"{""json_path"": ""$.zirconium|https://thehackernews.com/2025/11/china-linked-apt31-launches-stealthy.html.review_notes""}",Violet Typhoon,tech-memo全履歴再監査: 記事要約の同一文で当該アクターが攻撃活動の実行主体として明記されている。攻撃期間は一次資料中の明示値を別途確認できていないためunknownとし、記事公開日はreported_atとして分離する。 根拠: - 攻撃者は中国系APT31（別名Altaire/Judgement Panda/Violet Typhoon等）、目的は政治・経済・軍事情報の収集。
