original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 18, ""sheet"": ""Middle East""}",Group WITRE,"Group WITRE WIRTE people from the Palestinian authority and UAE 1. Rar file with a geo-political name in Arabic, usually conerns the Palestinian Authority and Gaza 2. VBS/SCR with the same name. 3. Decoy Doc contains copied conten"
APT Groups and Operations.xlsx,"{""row"": 18, ""sheet"": ""Middle East""}",WIRTE,"Group WITRE WIRTE people from the Palestinian authority and UAE 1. Rar file with a geo-political name in Arabic, usually conerns the Palestinian Authority and Gaza 2. VBS/SCR with the same name. 3. Decoy Doc contains copied content that"
APT Groups and Operations.xlsx,"{""row"": 18, ""sheet"": ""Middle East""}",wirte,c contains copied content that was published by media outlet (modified content) 4. Backdoor https://blog.talosintelligence.com/2018/02/targeted-attacks-in-middle-east.html https://www.securityartwork.es/2019/01/18/grupo-wirte-atacando-a-oriente-medio/ https://twitter.com/ClearskySec/status/1085160222233112577 https://twitter.com/ItsReallyNick/status/1033413803470467072 https://twitter.com/jeFF0Falltrades/status/1085247772582912003 https://
APT Groups and Operations.xlsx,"{""row"": 18, ""sheet"": ""Middle East""}",wirte,//twitter.com/ClearskySec/status/1085160222233112577 https://twitter.com/ItsReallyNick/status/1033413803470467072 https://twitter.com/jeFF0Falltrades/status/1085247772582912003 https://www.securityartwork.es/2019/01/25/wirte-group-attacking-the-middle-east/ https://lab52.io/blog/wirte-group-attacking-the-middle-east/ https://securelist.com/wirtes-campaign-in-the-middle-east-living-off-the-land-since-at-least-2019/105044/
APT Groups and Operations.xlsx,"{""row"": 18, ""sheet"": ""Middle East""}",wirte,/twitter.com/ItsReallyNick/status/1033413803470467072 https://twitter.com/jeFF0Falltrades/status/1085247772582912003 https://www.securityartwork.es/2019/01/25/wirte-group-attacking-the-middle-east/ https://lab52.io/blog/wirte-group-attacking-the-middle-east/ https://securelist.com/wirtes-campaign-in-the-middle-east-living-off-the-land-since-at-least-2019/105044/
Threat_Group_Cards_v2.0.pdf,"{""page"": 371}",WIRTE,Threat Group Cards: A Threat Actor Encyclopedia 371 WIRTE Group Names WIRTE Group (LAB52) Country [Middle East] Motivation Information theft and espionage First seen 2018 Description (LAB52) The DFIR (Digital Forensics and Incident Response) team of S2 Grupo first identi
Threat_Group_Cards_v2.0.pdf,"{""page"": 371}",WIRTE,Threat Group Cards: A Threat Actor Encyclopedia 371 WIRTE Group Names WIRTE Group (LAB52) Country [Middle East] Motivation Information theft and espionage First seen 2018 Description (LAB52) The DFIR (Digital Forensics and Incident Response) team of S2 Grupo first identified this actor in
Threat_Group_Cards_v2.0.pdf,"{""page"": 371}",wirte,"th different themes. Observed Sectors: Defense, Government and diplomats. Countries: Middle East. Tools used EmpireProject, H-Worm and several VBScript, PowerShell and VBA scripts. Information <https://lab52.io/blog/wirte-group-attacking-the-middle-east/> <https://blog.talosintelligence.com/2018/02/targeted-attacks-in-middle-east.html> MITRE ATT&CK <https://attack.mitre.org/groups/G0090/>"
Threat_Group_Cards_v2.0.pdf,"{""page"": 9}",WIRTE,............................... 367 WindShift ....................................................................................................................................................................... 370 WIRTE Group ............................................................................................................................................................... 371 xHunt ..........................................
summary/2023/2022-year-in-retrospect-report.pdf,"{""page"": 36}",WIRTE,"13 was likely attempting to compromise individuals or organisations for espionage purposes. Learn more in our Talent Need Not Apply talk at BlackHat USA 2022 WIRTING about White Dev 21 In 2022, White Dev 21 (a.k.a. WIRTE) continued to target a variety of victims throughout the Middle East, including Jordan, Palestine, Syria and Lebanon. A particular cluster of activity in September 2022 revealed that White Dev 21 relied heavily on geo"
summary/2023/2022-year-in-retrospect-report.pdf,"{""page"": 75}",WIRTE,"rolX, Earth Lusca, Aquatic Panda) - pg. 2, 21- 22 • Red Vulture (a.k.a. APT15, APT25, Ke3chang) - pg. 23 • White Apep (a.k.a. DarkSide, BlackMatter) - pg. 16 • White Baku (a.k.a. Cuba) - pg. 62-64 • White Dev 21 (a.k.a. WIRTE) - pg. 35 • White Dev 101 (a.k.a. ALPHV-ng, BlackCat) - pg. 17, 43, 45 • White Dev 111 (a.k.a. LAPSUS$ Group) - pg. 2, 49, 58 • White Dev 115 (a.k.a. BlackBasta): A ransomware brand tied to Blue Cronus. - pg. 43, 46 • W"
summary/2023/2022cyberComprehensiveSituationObservationManual.pdf,"{""page"": 19}",WIRTE,伊朗、以色列，及其周边地区，如阿 联酋、黎巴嫩、科威特、叙利亚。活跃的APT组织包括APT35、AridViper、MuddyWater、Charming Kitten 等，针对的目标主要是与政府、国防、学术行业相关的人员及实体。 猎影实验室今年在中东地区的威胁狩猎中发现了两个新的威胁组织，分别为Cunning Kitten（APT-LY-1002） 和OceanDoge（APT-LY-1003）。除此之外，在中东地区今年也捕获到了来自WIRTE、ARIDVIPER等组 织的攻击情况。 鱼龙混杂的中东地区 ·美国网络司令部披露：MuddyWater组织与伊朗情报机构有关 ·Molerats APT组织针对中东国家展开间谍活动 2022.01 ·PowerLess：Phosphorus组织使用的新后门 ·StrifeWater RAT：伊朗Moses Staff组织使用的新木马 ·Arid Viper APT组织攻击巴勒斯坦实体和活动家 ·伊朗TunnelVision组织利用Lo
