original_source_path,original_source_location,matched_name,context_excerpt
International Strategic/Russia/Russia’s Cyber Tactics Lessons Learned 2022.pdf,"{""page"": 20}",UAC-0082,20 Cases: 43 Most active Actors: UAC-0109 Cases: 19 (including 7 Transportation cases) Most active Actors: UAC-0082/Sandworm Telecom and IT Logistics & Transportation Enemy objective: Lack of connectivity (cellphones and internet) can cause disorganization and panic across the civilian population. It directly impacts response t
International Strategic/Russia/Russia’s Cyber Tactics Lessons Learned 2022.pdf,"{""page"": 21}",UAC-0082,"have to support combat units. Related Incidents include attacks on local governments in the Lviv and Odesa regions, which often are entry points for the Western weapon systems supply. Cases: 29 Most active Actors: UAC-0082/Sandworm Media Enemy objective: In H1 2022, we recorded attempts of active exploitation of private media companies’ information systems, with attempts to psychologically manipulate the public to destabilize the go"
International Strategic/Russia/Russia’s Cyber Tactics Lessons Learned 2022.pdf,"{""page"": 21}",UAC-0082,"or injecting their message. In H2, we faced around 10 serious cases with the primary objective to disrupt business — disruption, wipe, and ransomware. With moderate confidence, we track this malicious campaign as UAC-0082, and attribute the activity to the russia-linked Sandworm advanced persistent threat group. After penetration and recon, they went after backups, hunting for NAS devices and servers and live broadcasting systems/"
International Strategic/Russia/Russia’s Cyber Tactics Lessons Learned 2022.pdf,"{""page"": 22}",UAC-0082,"22 Cases: 29 Most active Actors: GRU/Sandworm/UAC-0082 (3 cases), UAC-0133 (1 case), UAC-0107 (1 case) Cases: 12 (registered by CERT-UA, while the majority is processed by CSIRT NBU) Most active Actors: UAC-0084, UAC-0056, UAC-0100, UAC-0107 Energy secto"
International Strategic/Russia/Russia’s Cyber Tactics Lessons Learned 2022.pdf,"{""page"": 9}",UAC-0082,"ctive group based on the incidents we registered in H2 2022. They are exfiltrating data and conducting a large amount of espionage operations. We should also mention the GRU associated Unit 74455 known as Sandworm (UAC-0082) — they were especially active with disruptive ops and uses of wipers in H2 (Sandworm is a well-known “old” enemy, famous as the group behind the BlackEnergy & NotPetya attacks). …was happening in H2 2022"
International Strategic/Ukraine/Ukraine-Report-Q1_2023.pdf,"{""page"": 22}",UAC-0082,"tform #Ukraine. Available at: cyberconflicts. cyberpeaceinstitute.org (Accessed: 7 April 2023) 2 Alternative identifiers used by other organizations related to the activities of this threat actor: BlackEnergy, Iridium, UAC-0082, Voodoo Bear, Sandworm Team, CTG-7263, Quedagh, TEMP.Noble, ATK 14, BE2. 3 United States District Court (2020) ‘United States of America vs Yuriy Sergeyevich Andrenko, Sergey Vladimirovich Detistov, Pavel Valeryevich F"
summary/2023/Secureworks_NC3_2022StateoftheThreat.pdf,"{""page"": 69}",UAC-0082,"7/28/22. https:/ /www.gov.uk/government/news/russia-behind-cyber- attack-with-europe-wide-impact-an-hour-before-ukraine- invasion 77 News, CERT-UA. https:/ /cert.gov.ua/articles 78 Cyber attack of the Sandworm group (UAC-0082) on the energy facilities of Ukraine using malicious programs INDUSTROYER2 and CADDYWIPER (CERT- UA#4435), CERT-UA, accessed 7/28/22. https:/ /cert.gov.ua/article/39518 79 Mass distribution of the JesterStealer malw"
summary/2024/RussianCyber.pdf,"{""page"": 14}",UAC-0082,28 (APT28) UAC-0056 (Сadet Blizzard) UAC-0057 (GhostWriter) FSB GRU Ministry of Defense of Belarus Armageddon UAC- 0010 Zarya UAC-0109 Cadet Blizzard UAC-0056 DaVinci UAC-0050 APT28 UAC-0028 UAC-0006 UAC-0150 Sandworm UAC-0082 UAC-0100 UAC-0041 Sandworm UAC-0165 UAC-0099 Sandworm UAC-0002 GhostWriter UAC-0057 102 94 41 1 27 0 24 96 23 15 19 210 16 25 13 1 9 0 5 9 4 16 3 9 1 29 0 10 H1 H2
summary/2024/RussianCyber.pdf,"{""page"": 15}",UAC-0082,"proach to work in small groups. This, CERT-UA analysts believe, may indicate the competitiveness of Russian hacking groups in the implementation of Effect operations. Cadet Blizzard UAC-0056 APT28 UAC-0028 Sandworm UAC-0082 Armageddon UAC-0010 Zarya UAC-0109 CyberArmyofRussia UAC-0107 Sandworm UAC-0165 UAC-0006 InvisiMole UAC-0035 Sandworm UAC-0002 GhostWriter UAC-0057 Turla UAC-0003 UAC-0099 DaVinci UAC-0050 26 14 5 10 10 9 8 7"
summary/2024/threat actor list from cs.csv,"{""row"": 70}",UAC-0082,"SANDFISH, ELECTRUM, Quedagh, IRON VIKING, Blue Echidna, Telebots, Sunglow Blizzard, IRIDIUM, Seashell Blizzard, Sandworm, Hades, BlackEnergy Group, FROZENBARENTS, UAC-0082, DEV-0665 Mar 2024 Active Russian Federation 8 10 Targeted State-Sponsored"
