original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 43, ""sheet"": ""Unknown""}",Worok,"Worok Proxy Shell, CVE-2021-34523 Central & SE Asia, Middle East, South Africa Inconclusive: Chinese actor. Partial overlap with TA428 and LuckyMouse https://www.welivesecurity.com/2022/09/06/worok-big-picture/"
APT Groups and Operations.xlsx,"{""row"": 43, ""sheet"": ""Unknown""}",worok,"Worok Proxy Shell, CVE-2021-34523 Central & SE Asia, Middle East, South Africa Inconclusive: Chinese actor. Partial overlap with TA428 and LuckyMouse https://www.welivesecurity.com/2022/09/06/worok-big-picture/"
summary/2023/Global APT 2022 Annual Report-qianxin.pdf,"{""page"": 66}",worok,teRAT，钓鱼网站伪装成也门联合国儿童 基金会网站，声称提供移动端应用程序以进行载荷投递，攻击样本存放在钓鱼网站中。该钓鱼网站从 2021 年 7 月开始投入使用，至 2022 年仍然活跃 [191] 。 组织名称 最早活动时间 公开披露时间 组织简介 UNC3890 2020 2022 该攻击组织疑似来自中东，主要针对以色列的航运、政府、能 源和医疗保健目标等进行攻击活动。其攻击后投递 SUGARUSH/ SUGARUSH 后门。 worok 2020 2022 疑似来自中东地区的 APT 组织，主要针对亚洲、非洲的政府、能 源目标等进行攻击活动。其攻击后投递 CLRLoad/PowHeartBeat/ PNGLoad 三种类型的攻击样本。 Metador 2021 2022 主要针对中东，非洲的电信、互联网服务提供商和大学目标等进行 攻击活动。其攻击后投递 metaMain/Mafalda 攻击样本。 UNC4034 2022 2022 疑似来自东亚地区，主要发布虚假工作
summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,"{""page"": 118}",WOROK,ИЮНЬ DUQU АВГ . ОКТ. STUXNET ИЮНЬ ИЮНЬ APT33 ИЮНЬ НОЯБ. LAZARUS АПР. ИЮЛЬ DRAGONFL Y ФЕВР. ИЮЛЬ BLACKENERGY МАЙ АПР. XENOTIME LEAFMINER APT41 СЕНТ. ИЮНЬ ORANGEWORM POETRAT POWERPOOL APT-C-36 DARK HALO IRONTIGER HAFNIUM WOROK APT40 TAG-38 Lorec53 APT10 CHERNOVITE ChamelGang
summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,"{""page"": 129}",WOROK,28 MUDDYWATER СЕНТ. ДЕК. THRIP APT33 ИЮНЬ НОЯБ. CHAFER ИЮЛЬ ЯНВ. LAZARUS МАРТ НОЯБ. HEXANE АПР. ОКТ. MOLERATS MIKROCEEN MUSTANG PANDA DARK HALO IRONTIGER АПР. АВГ . LEBANESE CEDAR PATCHWORK ОКТ. ДЕК. NAIKON OWL TRAITOR WOROK Red Menshen Aoqin Dragon ИЮНЬ ИЮНЬ APT40 МАРТ ИЮНЬ Moshen Dragon GhostEmperor Harvester MalKamak
summary/2023/kaspersky-ics-cert-apt-attacks-on-industrial-organizations-in-h2-2022-en.pdf,"{""page"": 12}",Worok,"APT ATTACKS ON INDUSTRIAL ORGANIZATIONS IN H2 2022 11 © 2023 AO KASPERSKY LAB Worok attacks ESET researchers have discovered targeted attacks against high-profile companies and local government bodies, mostly in Asia but also in the Middle East and Africa. The attacks were conducted by a previously"
summary/2023/kaspersky-ics-cert-apt-attacks-on-industrial-organizations-in-h2-2022-en.pdf,"{""page"": 12}",Worok,"file companies and local government bodies, mostly in Asia but also in the Middle East and Africa. The attacks were conducted by a previously unknown cyberespionage group, active since at least 2020, that they named “Worok”. Targets included companies from the telecoms, banking, maritime, energy, government and public sectors. In some cases, Worok exploited the infamous ProxyShell vulnerabilities to gain initial access. Once access had"
summary/2023/kaspersky-ics-cert-apt-attacks-on-industrial-organizations-in-h2-2022-en.pdf,"{""page"": 12}",Worok,"y a previously unknown cyberespionage group, active since at least 2020, that they named “Worok”. Targets included companies from the telecoms, banking, maritime, energy, government and public sectors. In some cases, Worok exploited the infamous ProxyShell vulnerabilities to gain initial access. Once access had been acquired, the operators deployed multiple publicly available tools for reconnaissance, including Mimikatz, EarthWorm, ReG"
summary/2023/kaspersky-ics-cert-apt-attacks-on-industrial-organizations-in-h2-2022-en.pdf,"{""page"": 2}",Worok,............. 10 Woody Rat attacks ................................................................................................................................................................................... 10 Worok attacks ................................................................................................................................................................................................ 11 CISA alerts...
summary/2025/eset-apt-activity-report-q4-2024-q1-2025.pdf,"{""page"": 2}",Worok,H 2025 | 2 Contents Executive summary 3 Attackers and targets 5 China-aligned groups 6 China-aligned threat landscape in Europe 7 Boarding pass to cyberespionage: UnsolicitedBooker’s phishing campaign 8 Some news from Worok 9 Iran-aligned groups 11 Clomping around the riverbank 12 Loading up on reverse tunnels 13 What’s old is new again 13 Can you hear me now? 13 Interesting C&C communications channels 13 CyberToufan 14 North Korea-aligne
