original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 100, ""sheet"": ""China""}",Microcin,"SixLittleMonkeys Microcin Microcin, BYEBY, Mikroceen Central Asia, Russian military, Belarussia, Mongolia, Link to Vicious Panda https://securelist.com/steganography-in-contemporary-cyberattacks/79276/ https://media.kasperskycontenthub.com/wp-co"
APT Groups and Operations.xlsx,"{""row"": 100, ""sheet"": ""China""}",Microcin,"SixLittleMonkeys Microcin Microcin, BYEBY, Mikroceen Central Asia, Russian military, Belarussia, Mongolia, Link to Vicious Panda https://securelist.com/steganography-in-contemporary-cyberattacks/79276/ https://media.kasperskycontenthub.com/wp-content/upl"
APT Groups and Operations.xlsx,"{""row"": 100, ""sheet"": ""China""}",Microcin,", Russian military, Belarussia, Mongolia, Link to Vicious Panda https://securelist.com/steganography-in-contemporary-cyberattacks/79276/ https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/07170759/Microcin_Technical_4PDF_eng_final_s.pdf https://www.welivesecurity.com/2020/05/14/mikroceen-spying-backdoor-high-profile-networks-central-asia/ https://securelist.com/microcin-is-here/97353/ https://securelist.com/apt-trends-rep"
APT Groups and Operations.xlsx,"{""row"": 100, ""sheet"": ""China""}",SixLittleMonkeys,"SixLittleMonkeys Microcin Microcin, BYEBY, Mikroceen Central Asia, Russian military, Belarussia, Mongolia, Link to Vicious Panda https://securelist.com/steganography-in-contemporary-cyberattacks/79276/ https://media.kasperskycontenthub."
APT Groups and Operations.xlsx,"{""row"": 100, ""sheet"": ""China""}",microcin,hub.com/wp-content/uploads/sites/43/2018/03/07170759/Microcin_Technical_4PDF_eng_final_s.pdf https://www.welivesecurity.com/2020/05/14/mikroceen-spying-backdoor-high-profile-networks-central-asia/ https://securelist.com/microcin-is-here/97353/ https://securelist.com/apt-trends-report-q2-2019/91897/
Threat_Group_Cards_v2.0.pdf,"{""page"": 199}",Microcin,"were several important companies in the telecommunications and gas industries, and governmental entities. Moreover, we connect the dots between the latest campaign and three previously published reports: Kaspersky’s Microcin against Russian military personnel, Palo Alto Networks’ BYEBY against the Belarussian government and Checkpoint’s Vicious Panda against the Mongolian public sector. Also, we discuss other malware that was typically a"
Threat_Group_Cards_v2.0.pdf,"{""page"": 199}",Microcin,"to have at least phonemic agreement. Observed Sectors: Defense, Government, Oil and gas and Telecommunications. Countries: Belarus, Mongolia, Russia and Central Asia. Tools used Gh0st RAT, logon.dll, logsupport.dll, Microcin, Mimikatz, pcaudit.bat and sqllauncher.dll Information <https://www.welivesecurity.com/2020/05/14/mikroceen-spying-backdoor-high- profile-networks-central-asia/> <https://decoded.avast.io/luigicamastra/apt-group-plan"
Threat_Group_Cards_v2.0.pdf,"{""page"": 199}",SixLittleMonkeys,"Threat Group Cards: A Threat Actor Encyclopedia 199 Mikroceen Names Mikroceen (ESET) SixLittleMonkeys (Kaspersky) Country China Motivation Information theft and espionage First seen 2017 Description (ESET) In this joint blogpost with fellow researchers from Avast, we provide a technical analysis of a constantly dev"
Threat_Group_Cards_v2.0.pdf,"{""page"": 199}",microcin,2020/05/14/mikroceen-spying-backdoor-high- profile-networks-central-asia/> <https://decoded.avast.io/luigicamastra/apt-group-planted-backdoors-targeting- high-profile-networks-in-central-asia/> <https://securelist.com/microcin-is-here/97353/>
summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf,"{""page"": 310}",Microcin,victims of all groups APT41 Aliases: • Blackfly (Symantec) • Wicked Panda (CrowdStrike) • Winnti Group (Kaspersky) • Barium (Microsoft) Egypt Russia Iran India US 16% 12% 11% 7% 4% 13% Vicious Panda Aliases: • Microcin • SixLittleMonkeys • Bronze Dudley (SecureWorks) Russia Kazakhstan China Kyrgyzstan Tajikistan 38% 16% 14% 4% 3% 12% Lotus Panda Aliases: • Naikon (Kaspersky) • Hellsing (Kaspersky) • ITG06 (IBM) Vietnam China
summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf,"{""page"": 310}",SixLittleMonkeys,all groups APT41 Aliases: • Blackfly (Symantec) • Wicked Panda (CrowdStrike) • Winnti Group (Kaspersky) • Barium (Microsoft) Egypt Russia Iran India US 16% 12% 11% 7% 4% 13% Vicious Panda Aliases: • Microcin • SixLittleMonkeys • Bronze Dudley (SecureWorks) Russia Kazakhstan China Kyrgyzstan Tajikistan 38% 16% 14% 4% 3% 12% Lotus Panda Aliases: • Naikon (Kaspersky) • Hellsing (Kaspersky) • ITG06 (IBM) Vietnam China Myanmar Russia I
