original_source_path,original_source_location,matched_name,context_excerpt
summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf,"{""page"": 51}",ToddyCat,"ident description In February of 2023, our SOC team was alerted about a potential security breach observed in the telemetry of one of our customers. Further investigation revealed that the well-known APT group known as ToddyCat was probably responsible for the attack. Details of the incident, including the event history, and the TTPs used by the group are described below. Detailed description During SOC monitoring, our analysts detected mali"
summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf,"{""page"": 51}",ToddyCat,"for the attack. Details of the incident, including the event history, and the TTPs used by the group are described below. Detailed description During SOC monitoring, our analysts detected malicious activity pointing to ToddyCat. When investigating the alert, we focused on a suspicious DLL that was run as a Windows service (Create or Modify System Process: Windows Service T1543.003). The ToddyCat alert was triggered by their typical pattern o"
summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf,"{""page"": 51}",ToddyCat,"alysts detected malicious activity pointing to ToddyCat. When investigating the alert, we focused on a suspicious DLL that was run as a Windows service (Create or Modify System Process: Windows Service T1543.003). The ToddyCat alert was triggered by their typical pattern of implementing the LZSS algorithm in the memory of a process that was detected by Kaspersky Endpoint Security (KES): Victim summary Industry Government Countries affected"
summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf,"{""page"": 51}",ToddyCat,red by their typical pattern of implementing the LZSS algorithm in the memory of a process that was detected by Kaspersky Endpoint Security (KES): Victim summary Industry Government Countries affected Malaysia Threat ToddyCat The DLL file of the Windows service was found in the following registry key: CommandLine: С:\Windows\system32\svchost.exe -k fontcsvc Registry key: HKLM\System\ControlSet001\Services\FontCacheSvc\Parameters\ServiceDll
summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf,"{""page"": 52}",ToddyCat,"Protocol: Web Protocols T1071.001 The service process mentioned above connected to 154.202.56[.]211:443 and made a POST request: hxxps:/ /154.202.56[.]211/collector/3.0/. This URL matches the URL path structure used by ToddyCat. Ingress Tool Transfer T1105 Several scripts and executable files were downloaded from this C2 server to the target host. Interestingly, PowerShell scripts were downloaded several times but with different MD5 hashes. Th"
summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,"{""page"": 113}",ToddyCat,"альных и исследовательских организациях Пакистана и Бангладеша. В атаках используются инструменты для незаметной эксфильтрации файлов, а инфраструктура в основном состоит из легитимных сервисов и облачных технологий. ToddyCat Регион Начало операции TOP Mitre АТР, Европа, Россия и СНГ Декабрь 2020 • Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder (T1547.001) • Phishing: Spearphishing Attachment (T1566.001) • Command an"
summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,"{""page"": 113}",ToddyCat,"tup Folder (T1547.001) • Phishing: Spearphishing Attachment (T1566.001) • Command and Scripting Interpreter: Windows Command Shell (T1059.003) • Modify Registry (T1112) • System Network Configuration Discovery (T1016) ToddyCat – относительно новая APT-группировка, ответственная за многочисленные атаки, обнаруженные с декабря 2020 года, на высо - копоставленные организации в Европе и Азии. Затронутые органи- зации, как правительственные, так"
summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,"{""page"": 92}",ToddyCat,MalKamak • DEV-0343 • APT35 • APT31 • Lazarus • MuddyWater • DarkHalo • Ghostwriter • Earth Lusca • Mustang Panda • APT27 • Moses Staff • TEMP_Heretic • White Tur • APT41 • Turla • LazyScripter • LuoYu • ToddyCat • APT10 • TA410 АТР • ChamelGang • Harvester • Kimsuky • SideCopy • Lazarus • APT37 • BlackTech • GreenSpot • SideWinder • MuddyWater • APT41 • BITTER • Earth Lusca • Tropic Trooper • Patchwork • Don
summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,"{""page"": 92}",ToddyCat,• APT10 • APT-C-40 • Transparent Tribe • Exforel • VajraEleph • Sharp Panda • Red Menshen • Aoqin Dragon • APT40 • TA428 • Naikon • Earth Berberoka • Aggah • DarkOxide • APT-C-61 • DriftingCloud • LuoYu • ToddyCat • TA413 • TA410 • DarkHotel Ближний Восток и Африка • MalKamak • DEV-0343 • HEXANE • DEV-0056 • AridViper • Lazarus • WIRTE • MuddyWater • Earth Lusca • Gaza Cybergang • DarkHalo • Mustang Panda • Moses Sta
summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,"{""page"": 93}",ToddyCat,"ddyWater • Scarab • Lorec53 • Mustang Panda • Turla • Ghostwriter • InvisiMole • BlackEnergy • Twisted Panda • APT28 • Tonto Team • Callisto • APT10 • TridentCrow • Moshen Dragon • APT31 • APT37 • LuoYu • ToddyCat • Space Pirates • Lazarus Страна Количество % Украина 42 12,17 Россия 27 7,83 Индия 25 7,25 Пакистан 24 6,96 США 21 6,09 Китай 15 4,35 Тайвань 15 4,35 Южная Корея 13 3,77 Израиль 12 3,48 Вьетнам 10 2,90 Гер"
summary/2026/CERTFR-2026-CTI-003.pdf,"{""page"": 57}",TODDYCAT,ENACE INFORMATIQUE SUR LES ÉQUIPEMENTS MOBILES. 26 11 2025. https://cyber.gouv.fr/actualites/etat- de-la-menace-informatique-sur-les- equipements-mobiles/ [90] CYBERDICO. https://cyber.gouv.fr/cyberdico/#S [91] APT TODDYCAT. 21 06 2022. Unveiling an unknown APT actor attacking high-profile entities in Europe and Asia. https://securelist.com/ toddycat/106799/ [92] SHARPPANDA: CHINESE APT GROUP TARGETS SOUTHEAST ASIAN GOVERNMENT WITH
summary/2026/CERTFR-2026-CTI-003.pdf,"{""page"": 57}",toddycat,les- equipements-mobiles/ [90] CYBERDICO. https://cyber.gouv.fr/cyberdico/#S [91] APT TODDYCAT. 21 06 2022. Unveiling an unknown APT actor attacking high-profile entities in Europe and Asia. https://securelist.com/ toddycat/106799/ [92] SHARPPANDA: CHINESE APT GROUP TARGETS SOUTHEAST ASIAN GOVERNMENT WITH PREVIOUSLY UNKNOWN BACKDOOR. 03 06 2021. https://research.checkpoint. com/2021/chinese-apt-group- targets-southeast-asian-governmen
