original_source_path,original_source_location,matched_name,context_excerpt
microsoft-threat-actor-list.xlsx,"{""row"": 27, ""sheet"": ""alphabetical""}",Cotton Sandstorm,"NEPTUNIUM Cotton Sandstorm Iran Vice Leaker DEV-0950 Lace Tempest Financially motivated FIN11, TA505"
microsoft-threat-actor-list.xlsx,"{""row"": 27, ""sheet"": ""alphabetical""}",NEPTUNIUM,"NEPTUNIUM Cotton Sandstorm Iran Vice Leaker DEV-0950 Lace Tempest Financially motivated FIN11, TA505"
microsoft-threat-actor-list.xlsx,"{""row"": 6, ""sheet"": ""alphabetical""}",Cotton Sandstorm,BARIUM Brass Typhoon China APT41 DEV-0198 (NEPTUNIUM) Cotton Sandstorm Iran Vice Leaker
microsoft-threat-actor-list.xlsx,"{""row"": 6, ""sheet"": ""alphabetical""}",DEV-0198 (NEPTUNIUM),BARIUM Brass Typhoon China APT41 DEV-0198 (NEPTUNIUM) Cotton Sandstorm Iran Vice Leaker
microsoft-threat-actor-list.xlsx,"{""row"": 6, ""sheet"": ""alphabetical""}",Vice Leaker,BARIUM Brass Typhoon China APT41 DEV-0198 (NEPTUNIUM) Cotton Sandstorm Iran Vice Leaker
summary/2023/MDDR_FINAL_2023_1004.pdf,"{""page"": 129}",neptunium,"ue-targets/ 67 25 https://www.reuters.com/world/middle-east/ hackers-breach-iran-rail-network-disrupt- service-2021-07-09/ 68 26 https://blogs.microsoft.com/on-the- issues/2023/02/03/dtac-charlie-hebdo-hack- iran-neptunium/ 68 27 https://www.microsoft.com/en-us/security/ blog/2022/09/08/microsoft-investigates- iranian-attacks-against-the-albanian- government/ 69 28 We conducted an in-depth review of the reports, which did not reveal"
summary/2023/MDDR_FINAL_2023_1004.pdf,"{""page"": 12}",Cotton Sandstorm,558 Storm-0257 Storm-1099 Storm-1133 Financially motivated Strawberry Tempest Lebanon Plaid Rain Russia Seashell Blizzard Midnight Blizzard Star Blizzard Aqua Blizzard Cadet Blizzard Iran Mango Sandstorm Cotton Sandstorm Peach Sandstorm Mint Sandstorm Pumpkin Sandstorm China Volt Typhoon Raspberry Typhoon Flax Typhoon Circle Typhoon Mulberry Typhoon North K orea Jade Sleet Diamond Sleet Citrine Sleet Emerald Sleet Sapphir
summary/2023/MDDR_FINAL_2023_1004.pdf,"{""page"": 50}",Cotton Sandstorm,"49 Microsoft Digital Defense Report 2023 Navigating evolving threats continued Actors associated with the Iranian government have also conducted fewer destructive cyberattacks. Groups like Cotton Sandstorm adopted a new tactic of cyber-enabled influence operations ( see page 68), often using less time- and resource-intensive disruptive defacements and DDoS attacks. Since June 2022, we have observed an increased pace i"
summary/2024/CERTFR-2024-CTI-002.pdf,"{""page"": 42}",neptunium,ntre-eux-dans-charlie- hebdo-explique-riss_5577969.html [28] MICROSOFT Iran responsible for Charlie Hebdo attacks. 3 February 2023. https://blogs.microsoft.com/ on-the-issues/2023/02/03/ dtac-charlie-hebdo-hack-iran-neptunium/ [29] FBI Context and Recommendations to Protect Against Malicious Activity by Iranian Cyber Group Emennet Pasargad. 26 January 2022. https://www.ic3.gov/Media/ News/2022/220126.pdf [30] U.S. DEPARTMENT OF THE TREAS
summary/2024/Microsoft Digital Defense Report 2024.pdf,"{""page"": 18}",Cotton Sandstorm,"e attacks that were designed to appear financially motivated were actually destructive attacks. 7 For example, a cyber-enabled influence operation run by an Islamic Revolutionary Guard Corps (IRGC) group we track as Cotton Sandstorm (also known as Emennet Pasargad) marketed stolen Israeli dating website data through two of its cyber personas between September 2023 and February 2024. The personas also offered to remove specific individual profi"
summary/2024/Microsoft Digital Defense Report 2024.pdf,"{""page"": 20}",Cotton Sandstorm,"r organizations on security Early insights: AI’s impact on cybersecurity Appendix The evolving cyber threat landscape Iranian threat actors also began impersonating partners after the war started. Microsoft assesses Cotton Sandstorm used the name and logo of Hamas’s military wing, the al-Qassam Brigades, to spread false messaging about the hostages in Gaza and send Israelis threatening messages. Another Telegram channel that we assess was run"
summary/2024/Microsoft Digital Defense Report 2024.pdf,"{""page"": 93}",Cotton Sandstorm,"far employed AI more sparingly. Nevertheless, they are gradually increasing use of AI-generated or enhanced images and videos as key components of their messaging campaigns, particularly against Israel. We observed Cotton Sandstorm disrupting streaming television services in the UAE and elsewhere in December 2023 under the guise of a persona called “For Humanity.” For Humanity published videos on Telegram showing the group hacking into three"
summary/2024/threat actor list from cs.csv,"{""row"": 47}",NEPTUNIUM,"kalin3t, Holy Souls, Black Magic, AMC239, Atlas Group, Hackers of Savior, Sangkancil, Yooz E Cybery, Yare Gomnam Cyber Team, Deus, NEPTUNIUM, Generous Thief, Al-Toufan May 2024 Active Iran 9 3 Targeted State-Sponsored"
summary/2024/tool-of-first-resort-israel-hamas-war-cyber.pdf,"{""page"": 7}",COTTOn sAndsTOrm,ed States Middle East Europe — — — — — — — Government Healthcare and Pharmaceuticals High Tech and Telecom Education News Media NGOs and Civil Society MARNANBRIDGE Aliases emenneT PAsArGAd COTTOn sAndsTOrm Israel United States Middle East Europe — — — — — — — Government Energy Financial High Tech and Telecom NGOs and Civil Society Shipping and Rail MYSTICDOME Aliases UnC1530 ChrOnO KiTTen
summary/2026/CyberProof_2026_Global_Threat_Intelligence_Report.pdf,"{""page"": 6}",Cotton Sandstorm,"es because it allowed unauthenticated remote code execution on SAP NetWeaver systems embedded in financial, human resources, supply chain, and operational processes. Multiple Chinese threat actors—including Chaya004 and Cotton Sandstorm—weaponized the flaw rapidly, deploying malware and web shells, harvesting credentials, and enumerating connected systems before pivoting deeper into core ERP environments. The campaign affected dozens of organizations g"
