original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 45, ""sheet"": ""China""}",Aquatic Panda,Aquatic Panda G0143 https://www.crowdstrike.com/blog/overwatch-exposes-aquatic-panda-in-possession-of-log-4-shell-exploit-tools/
parse-daily/.cache/tech-memo/daily-news/news/2024_01-03/20240215.md,"{""line"": 182}",Aquatic Panda,- Charcoal Typhoon(別名 Aquatic Panda): さまざまな企業や脆弱性を調査しスクリプトを生成、フィッシングキャンペーンで使用される可能性のあるコンテンツを作成、侵害後の動作のテクニックを特定
parse-daily/.cache/tech-memo/daily-news/news/2025_01-03/20250322.md,"{""line"": 129}",Aquatic Panda,#### 中国関連のAPT「Aquatic Panda」、10ヶ月にわたるスパイ活動で7つの国際組織を標的に
parse-daily/.cache/tech-memo/daily-news/news/2025_01-03/20250322.md,"{""line"": 133}",Aquatic Panda,- 中国のAPTグループ「Aquatic Panda」は、2022年1月から10月にかけて、7つの組織を標的としたスパイ活動を行った。
parse-daily/.cache/tech-memo/daily-news/news/2025_01-03/20250322.md,"{""line"": 136}",Aquatic Panda,- Aquatic Pandaは、少なくとも2019年から活動している中国のサイバースパイ集団で、Winntiグループの一部とされる。
parse-daily/.cache/tech-memo/daily-news/news/2025_01-03/20250322.md,"{""line"": 144}",Aquatic Panda,- 攻撃者のAquatic Pandaは中国に関連し、サイバースパイ活動を行っている。
parse-daily/review-decisions.json,"{""json_path"": ""$.aquatic-panda|https://thehackernews.com/2025/03/china-linked-apt-aquatic-panda-10-month.html.review_notes""}",Aquatic Panda,tech-memo全履歴再監査: 記事タイトルで当該アクターが攻撃活動の実行主体として明記されている。攻撃期間は一次資料中の明示値を別途確認できていないためunknownとし、記事公開日はreported_atとして分離する。 根拠: 中国関連のAPT「Aquatic Panda」、10ヶ月にわたるスパイ活動で7つの国際組織を標的に
summary/2022/2022 Global Threat Report.pdf,"{""page"": 19}",AQUATIC PANDA,"eCrime-focused actors — including affiliates of DOPPEL SPIDER and WIZARD SPIDER — adopted Log4Shell as an access vector to enable ransomware operations. Additionally, state-nexus actors, including NEMESIS KITTEN and AQUATIC PANDA, were also affiliated with probable Log4Shell exploitation before the end of 2021. 2021 Themes"
summary/2022/2022 Global Threat Report.pdf,"{""page"": 20}",AQUATIC PANDA,"n (RCE) via CVE-2021-44228 on various impacted platforms potentially requires the actor to tailor the Log4Shell exploit for a specific target. While this adds effort, this tailoring has not prevented actors such as AQUATIC PANDA from leveraging more specific versions of CVE-2021-44228 exploits. In particular, CrowdStrike Intelligence and industry sources linked Log4Shell exploitation to the compromise of VMware products. Due to the widesprea"
summary/2023/2022-year-in-retrospect-report.pdf,"{""page"": 22}",Aquatic Panda,"21 | Cyber Threats 2022: A Year in Retrospect Red Scylla, a Winnti-linked global threat In August 2022, we assigned Red Scylla (a.k.a. CHROMIUM, ControlX, Earth Lusca, Aquatic Panda) to the activity we previously tracked as Red Dev 10,78 largely due to our identification of a distinctive set of infrastructure and techniques.79 Red Scylla was arguably the most prominent and prolific China-based th"
