original_source_path,original_source_location,matched_name,context_excerpt
microsoft-threat-actor-list.xlsx,"{""row"": 26, ""sheet"": ""alphabetical""}",DEV-0832,"MERCURY Mango Sandstorm Iran MuddyWater, SeedWorm, Static Kitten, TEMP.Zagros DEV-0832 Vanilla Tempest Financially motivated"
microsoft-threat-actor-list.xlsx,"{""row"": 26, ""sheet"": ""alphabetical""}",Vanilla Tempest,"MERCURY Mango Sandstorm Iran MuddyWater, SeedWorm, Static Kitten, TEMP.Zagros DEV-0832 Vanilla Tempest Financially motivated"
parse-daily/.cache/tech-memo/daily-news/news/2024_07-09/20240919.md,"{""line"": 55}",Vanilla Tempest,#### Microsoft：Vanilla Tempestが医療機関をINCランサムウェアで攻撃
parse-daily/.cache/tech-memo/daily-news/news/2024_07-09/20240919.md,"{""line"": 59}",DEV-0832,- Vanilla Tempest(別名:DEV-0832、Vice Society)は米国の医療機関にINCランサムウェアを使用した攻撃を実施。
parse-daily/.cache/tech-memo/daily-news/news/2024_07-09/20240919.md,"{""line"": 59}",Vanilla Tempest,- Vanilla Tempest(別名:DEV-0832、Vice Society)は米国の医療機関にINCランサムウェアを使用した攻撃を実施。
parse-daily/.cache/tech-memo/daily-news/news/2024_07-09/20240919.md,"{""line"": 62}",Vanilla Tempest,- Vanilla Tempestはランサムウェアのアフィリエイトであり、BlackCat、Quantum Locker、Zeppelin、Rhysidaなどのさまざまなランサムウェアを使用。
parse-daily/.cache/tech-memo/daily-news/news/2024_07-09/20240919.md,"{""line"": 63}",Vanilla Tempest,- Vanilla Tempestは他にも教育、製造業、IT分野を標的にしている。
parse-daily/.cache/tech-memo/daily-news/news/2025_10-12/20251017.md,"{""line"": 87}",Vanilla Tempest,- 攻撃者Vanilla Tempest（Vice Society/VICE SPIDER）はteams-install[.]top等の偽サイトでOysterバックドアを配布した。
parse-daily/.cache/tech-memo/daily-news/news/2025_10-12/20251017.md,"{""line"": 99}",Vanilla Tempest,- 攻撃者はVanilla Tempest（別名Vice Society/VICE SPIDER）。金銭目的で活動しRhysida等のランサムを用いる。
parse-daily/.cache/tech-memo/daily-news/news/2025_10-12/20251107.md,"{""line"": 104}",Vanilla Tempest,- 最終的にSupper SOCKS5バックドアを投下し、Vanilla Tempest関与の身代金攻撃へ短時間で横展開。
parse-daily/.cache/tech-memo/daily-news/news/2025_10-12/20251107.md,"{""line"": 112}",Vanilla Tempest,- Gootloaderから展開されるSupper SOCKS5は、Vanilla Tempestと関連し、このグループはINC/BlackCat/Quantum Locker/Zeppelin/Rhysidaなどのアフィリエイトであった歴史を持つ。
parse-daily/.cache/tech-memo/daily-news/news/2026_04-06/20260521.md,"{""line"": 174}",Vanilla Tempest,- 攻撃者は金銭目的のFox Tempestで、Vanilla Tempest、Storm-0501、Storm-2561、Storm-0249などが署名済みマルウェアを使用したと記載されている。
parse-daily/review-decisions.json,"{""json_path"": ""$.vanilla-tempest|https://www.bleepingcomputer.com/news/microsoft/microsoft-disrupts-ransomware-attacks-targeting-teams-users/.review_notes""}",Vanilla Tempest,tech-memo全履歴再監査: 記事要約の同一文で当該アクターが攻撃活動の実行主体として明記されている。攻撃期間は一次資料中の明示値を別途確認できていないためunknownとし、記事公開日はreported_atとして分離する。 根拠: - 攻撃者Vanilla Tempest（Vice Society/VICE SPIDER）はteams-install[.
parse-daily/review-decisions.json,"{""json_path"": ""$.vanilla-tempest|https://www.bleepingcomputer.com/news/microsoft/microsoft-vanilla-tempest-hit-healthcare-with-inc-ransomware/.review_notes""}",Vanilla Tempest,tech-memo全履歴再監査: 記事タイトルで当該アクターが攻撃活動の実行主体として明記されている。攻撃期間は一次資料中の明示値を別途確認できていないためunknownとし、記事公開日はreported_atとして分離する。 根拠: Microsoft：Vanilla Tempestが医療機関をINCランサムウェアで攻撃
parse-daily/review-decisions.json,"{""json_path"": ""$.vanilla-tempest|https://www.microsoft.com/en-us/security/blog/2026/05/19/exposing-fox-tempest-a-malware-signing-service-operation/.review_notes""}",Vanilla Tempest,tech-memo全履歴再監査: 記事要約の同一文で当該アクターが攻撃活動の実行主体として明記されている。攻撃期間は一次資料中の明示値を別途確認できていないためunknownとし、記事公開日はreported_atとして分離する。 根拠: - 攻撃者は金銭目的のFox Tempestで、Vanilla Tempest、Storm-0501、Storm-2561、Storm-0249などが署名済みマルウェアを使用したと記載されている。
parse-daily/review-decisions.json,"{""json_path"": ""$.vice-society|https://www.bleepingcomputer.com/news/microsoft/microsoft-disrupts-ransomware-attacks-targeting-teams-users/.review_notes""}",Vanilla Tempest,tech-memo全履歴再監査: 記事要約の同一文で当該アクターが攻撃活動の実行主体として明記されている。攻撃期間は一次資料中の明示値を別途確認できていないためunknownとし、記事公開日はreported_atとして分離する。 根拠: - 攻撃者Vanilla Tempest（Vice Society/VICE SPIDER）はteams-install[.
parse-daily/review-decisions.json,"{""json_path"": ""$.vice-society|https://www.bleepingcomputer.com/news/microsoft/microsoft-vanilla-tempest-hit-healthcare-with-inc-ransomware/.review_notes""}",Vanilla Tempest,tech-memo全履歴再監査: 記事要約の同一文で当該アクターが攻撃活動の実行主体として明記されている。攻撃期間は一次資料中の明示値を別途確認できていないためunknownとし、記事公開日はreported_atとして分離する。 根拠: - Vanilla Tempest(別名:DEV-0832、Vice Society)は米国の医療機関にINCランサムウェアを使用した攻撃を実施。
summary/2024/threat actor list from cs.csv,"{""row"": 12}",DEV-0832,"Vice Society, DEV-0832, Vanilla Tempest, Rhysida Jun 2024 Active Unknown 25 41 eCrime Criminal"
summary/2024/threat actor list from cs.csv,"{""row"": 12}",Vanilla Tempest,"Vice Society, DEV-0832, Vanilla Tempest, Rhysida Jun 2024 Active Unknown 25 41 eCrime Criminal"
ui/api/v1/search.json,"{""json_path"": ""$.entities[651].aliases[0]""}",DEV-0832,DEV-0832
ui/api/v1/search.json,"{""json_path"": ""$.entities[651].attrs.概要""}",Vanilla Tempest,Vanilla Tempestの標準化プロファイル。リポジトリ内の専用資料1件とMITRE ATT&CK、アクターマッピング表を基礎情報としている。
ui/api/v1/search.json,"{""json_path"": ""$.entities[651].label""}",Vanilla Tempest,Vanilla Tempest
