original_source_path,original_source_location,matched_name,context_excerpt
parse-daily/.cache/tech-memo/daily-news/iocs/2026_07-09/20260725.csv,"{""row"": 133}",TAG-195,domain aurekh.com 2026-05-14 phishing-site TAG-195 (Golden Chickens / Venom Spider) cybercrime TinyEgg backdoor https://www.recordedfuture.com/research/tag-195-evolves-maas-ecosystem AI generated. ClickFix lure domain used to trigger delivery of TinyEgg. AI agent medium
parse-daily/.cache/tech-memo/daily-news/iocs/2026_07-09/20260725.csv,"{""row"": 133}",tag-195,domain aurekh.com 2026-05-14 phishing-site TAG-195 (Golden Chickens / Venom Spider) cybercrime TinyEgg backdoor https://www.recordedfuture.com/research/tag-195-evolves-maas-ecosystem AI generated. ClickFix lure domain used to trigger delivery of TinyEgg. AI agent medium
parse-daily/.cache/tech-memo/daily-news/iocs/2026_07-09/20260725.csv,"{""row"": 134}",TAG-195,domain ahdaratlegalservices.com 2026-05-14 phishing-site TAG-195 (Golden Chickens / Venom Spider) cybercrime TinyEgg backdoor https://www.recordedfuture.com/research/tag-195-evolves-maas-ecosystem AI generated. ClickFix lure domain used to trigger delivery of TinyEgg. AI agent medium
parse-daily/.cache/tech-memo/daily-news/iocs/2026_07-09/20260725.csv,"{""row"": 134}",tag-195,domain ahdaratlegalservices.com 2026-05-14 phishing-site TAG-195 (Golden Chickens / Venom Spider) cybercrime TinyEgg backdoor https://www.recordedfuture.com/research/tag-195-evolves-maas-ecosystem AI generated. ClickFix lure domain used to trigger delivery of TinyEgg. AI agent medium
parse-daily/.cache/tech-memo/daily-news/iocs/2026_07-09/20260725.csv,"{""row"": 135}",TAG-195,domain screenly.cam 2026-05-14 phishing-site TAG-195 (Golden Chickens / Venom Spider) cybercrime TinyEgg backdoor https://www.recordedfuture.com/research/tag-195-evolves-maas-ecosystem AI generated. ClickFix lure domain displaying a fake CAPTCHA to trigger TinyEgg deliver
parse-daily/.cache/tech-memo/daily-news/iocs/2026_07-09/20260725.md,"{""line"": 31}",TAG-195,| 14 | TAG-195、モジュール型ツールでMaaSエコシステムを強化 | recordedfuture.com（記事自体が一次ソース） | **IOCあり**（news本文の domain/ip に加え、本文未記載だったhash 31件を新たに確認） |
parse-daily/.cache/tech-memo/daily-news/iocs/2026_07-09/20260725.md,"{""line"": 60}",TAG-195,- 記事14（TAG-195/Recorded Future）はnews本文に記載のなかったファイルハッシュ31件（ChromEggscalator/TinyEgg/ChonkyChicken/Modular ChonkyChicken）を一次ソースで新たに確認し、収集した。ChonkyChickenとModular ChonkyChickenで共有される1件のハッシュは重複排除ルールに従い1行にまとめた。
parse-daily/.cache/tech-memo/daily-news/news/2026_07-09/20260725.md,"{""line"": 340}",TAG-195,#### TAG-195、モジュール型ツールでMaaSエコシステムを強化
parse-daily/.cache/tech-memo/daily-news/news/2026_07-09/20260725.md,"{""line"": 341}",tag-195,https://www.recordedfuture.com/research/tag-195-evolves-maas-ecosystem
parse-daily/.cache/tech-memo/daily-news/news/2026_07-09/20260725.md,"{""line"": 344}",TAG-195,- Insikt Groupは、TAG-195のMaaS基盤でTinyEgg、ChonkyChicken、モジュール版ChonkyChicken、ChromEggscalatorの4種類を特定した。
parse-daily/.cache/tech-memo/daily-news/news/2026_07-09/20260725.md,"{""line"": 365}",TAG-195,- TAG-195はGolden ChickensまたはVenom Spiderとも呼ばれる金銭目的のMaaS開発者で、FIN6、Cobalt Group、Evilnumなどとの関連が報告されている。
ui/api/v1/search.json,"{""json_path"": ""$.entities[495].attrs.概要""}",TAG-195,TAG-195の標準化プロファイル。リポジトリ内の専用資料1件とMITRE ATT&CK、アクターマッピング表を基礎情報としている。
ui/api/v1/search.json,"{""json_path"": ""$.entities[495].detail""}",tag-195,tag-195
ui/api/v1/search.json,"{""json_path"": ""$.entities[495].id""}",tag-195,actor:tag-195
ui/api/v1/search.json,"{""json_path"": ""$.entities[495].label""}",TAG-195,TAG-195
ui/api/v1/search.json,"{""json_path"": ""$.entities[7049].refs[1].target""}",tag-195,actor:tag-195
