original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 33, ""sheet"": ""Unknown""}",HEXANE,"LYCEUM HEXANE Siamesekitten DanBot, DanDrop, Invoke-Obfuscation, PowerShell, PoshC2 Middle East, Kuwait, South Africa Most likely Iranian group https://www.secureworks.com/blog/lyceum-takes-center-stage-in-middle-east-campaign https:"
APT Groups and Operations.xlsx,"{""row"": 33, ""sheet"": ""Unknown""}",LYCEUM,"LYCEUM HEXANE Siamesekitten DanBot, DanDrop, Invoke-Obfuscation, PowerShell, PoshC2 Middle East, Kuwait, South Africa Most likely Iranian group https://www.secureworks.com/blog/lyceum-takes-center-stage-in-middle-east-campaign"
APT Groups and Operations.xlsx,"{""row"": 33, ""sheet"": ""Unknown""}",Siamesekitten,"LYCEUM HEXANE Siamesekitten DanBot, DanDrop, Invoke-Obfuscation, PowerShell, PoshC2 Middle East, Kuwait, South Africa Most likely Iranian group https://www.secureworks.com/blog/lyceum-takes-center-stage-in-middle-east-campaign https://dragos.com/r"
APT Groups and Operations.xlsx,"{""row"": 33, ""sheet"": ""Unknown""}",hexane,"DanDrop, Invoke-Obfuscation, PowerShell, PoshC2 Middle East, Kuwait, South Africa Most likely Iranian group https://www.secureworks.com/blog/lyceum-takes-center-stage-in-middle-east-campaign https://dragos.com/resource/hexane/ https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf https://research.checkpoint.com/2022/state-sponsored-attack-groups-capitalise-on-russia-ukraine-war-for-cyber-espionage/"
APT Groups and Operations.xlsx,"{""row"": 33, ""sheet"": ""Unknown""}",lyceum,"LYCEUM HEXANE Siamesekitten DanBot, DanDrop, Invoke-Obfuscation, PowerShell, PoshC2 Middle East, Kuwait, South Africa Most likely Iranian group https://www.secureworks.com/blog/lyceum-takes-center-stage-in-middle-east-campaign https://dragos.com/resource/hexane/ https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf https://research.checkpoint.com/2022/state-sponsored-attack-groups-"
International Strategic/Iran/Raport-analize-Teknikat-Taktikat-Procedurat-per-sulmuesit-Iraniane.pdf,"{""page"": 32}",LYCEUM,"telites Bot, Cryptolocker, DanBot, Disdain Exploit Kit, Dustman, DustySky, ELVENDOOR, Executioner Ransomware, FastPOS, GozNym, Gugi Botnet, Infy, Ismdoor, ISMInjector, Ixeshe, Jaku, Karkoff, Kronos, LokiBot (Android), LYCEUM malware, MegalodonHTTP, Mingloa, Mordor Ransomware, NANHAISHU, NemeS1S, njRAT, Petya, POWRUNER, QUADAGENT, ROADSWEEP, Shamoon 2, Sigma Ransomware, SmokeLoader, StuxnetTidePool, TRISISTVSPY, UnransXKEYSCORE, Zemra, Z"
Threat_Group_Cards_v2.0.pdf,"{""page"": 152}",Hexane,Threat Group Cards: A Threat Actor Encyclopedia 152 Hexane Names Hexane (Dragos) Lyceum (SecureWorks) ATK 120 (Thales) Country [Unknown] Motivation Information theft and espionage First seen 2017 Description (Dragos) Dragos identified a new activity group targeting indus
Threat_Group_Cards_v2.0.pdf,"{""page"": 152}",Hexane,Threat Group Cards: A Threat Actor Encyclopedia 152 Hexane Names Hexane (Dragos) Lyceum (SecureWorks) ATK 120 (Thales) Country [Unknown] Motivation Information theft and espionage First seen 2017 Description (Dragos) Dragos identified a new activity group targeting industrial control
Threat_Group_Cards_v2.0.pdf,"{""page"": 152}",Hexane,"ATK 120 (Thales) Country [Unknown] Motivation Information theft and espionage First seen 2017 Description (Dragos) Dragos identified a new activity group targeting industrial control systems (ICS) related entities: Hexane. Dragos observed this group targeting oil and gas companies in the Middle East, including Kuwait as a primary operating region. Additionally, and unlike other activity groups Dragos tracks, Hexane also targeted telec"
Threat_Group_Cards_v2.0.pdf,"{""page"": 152}",Lyceum,Threat Group Cards: A Threat Actor Encyclopedia 152 Hexane Names Hexane (Dragos) Lyceum (SecureWorks) ATK 120 (Thales) Country [Unknown] Motivation Information theft and espionage First seen 2017 Description (Dragos) Dragos identified a new activity group targeting industrial control systems (ICS) re
