original_source_path,original_source_location,matched_name,context_excerpt
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 132}",Sharpshooter,"ack-seeks-to-steal-data- worldwide/> Aug 2018 Operation “AppleJeus” Target: Cryptocurrency exchange. Method: Fake installer and macOS malware. <https://securelist.com/operation-applejeus/87553/> Oct 2018 Operation “Sharpshooter” Target: 87 organizations in many different sectors (majority Government and Defense) across the globe, predominantly in the United States. Method: Rising Sun implant to gather intelligence. <https://securingtomorr"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 132}",sharpshooter,"tors (majority Government and Defense) across the globe, predominantly in the United States. Method: Rising Sun implant to gather intelligence. <https://securingtomorrow.mcafee.com/other-blogs/mcafee- labs/operation-sharpshooter-targets-global-defense-critical- infrastructure/> Nov 2018 More Attacks on Cryptocurrency Businesses Target: Some of the documents (for instance one entitled “sample document for business plan evaluation of venture c"
Threat Group Cards.pdf,"{""page"": 132}",Sharpshooter,"ack-seeks-to-steal-data- worldwide/> Aug 2018 Operation “AppleJeus” Target: Cryptocurrency exchange. Method: Fake installer and macOS malware. <https://securelist.com/operation-applejeus/87553/> Oct 2018 Operation “Sharpshooter” Target: 87 organizations in many different sectors (majority Government and Defense) across the globe, predominantly in the United States. Method: Rising Sun implant to gather intelligence. <https://securingtomorr"
Threat Group Cards.pdf,"{""page"": 132}",sharpshooter,"tors (majority Government and Defense) across the globe, predominantly in the United States. Method: Rising Sun implant to gather intelligence. <https://securingtomorrow.mcafee.com/other-blogs/mcafee- labs/operation-sharpshooter-targets-global-defense-critical- infrastructure/> Nov 2018 More Attacks on Cryptocurrency Businesses Target: Some of the documents (for instance one entitled “sample document for business plan evaluation of venture c"
Threat_Group_Cards_v2.0.pdf,"{""page"": 175}",Sharpshooter,"he malware was designed to be planted on the victim’s ATMs, where it could read and store the data of cards that were inserted into the machines. <https://securelist.com/my-name-is-dtrack/93338/> Oct 2018 Operation “Sharpshooter” Target: 87 organizations in many different sectors (majority Government and Defense) across the globe, predominantly in the United States. Method: Rising Sun implant to gather intelligence. <https://securingtomorr"
Threat_Group_Cards_v2.0.pdf,"{""page"": 175}",sharpshooter,"tors (majority Government and Defense) across the globe, predominantly in the United States. Method: Rising Sun implant to gather intelligence. <https://securingtomorrow.mcafee.com/other-blogs/mcafee- labs/operation-sharpshooter-targets-global-defense-critical- infrastructure/> Nov 2018 More Attacks on Cryptocurrency Businesses Target: Some of the documents (for instance one entitled “sample document for business plan evaluation of venture c"
lazarus/Dream-Job-Campaign.pdf,"{""page"": 38}",Sharpshooter,"ncial institutions such as cryptocurrency exchan ges. In the last two years, the group has also been attacking companies affiliated with defense and aviation sectors. Lazarus is also the group behind the ‘Operation Sharpshooter’, a global campaign which targeted nuclear, defense, energy, and financial companies. According to McAfee, attack methods like those found during our investigation has been observed in use by the group in 2017 and 201"
lazarus/Dream-Job-Campaign.pdf,"{""page"": 7}",Sharpshooter,"r revealed some similarity between the source code of the malware that we have found, and known Lazarus samples, specifically those identified in another campaign, from 2018. The campaign analyzed and named “Operation Sharpshooter”11 by McAfee, had targeted 87 organizations in 24 countries in the defense, communications, and energy (also nuclear) sectors. That campaign’s scenario was different from the one we have found, but code similarity and"
lazarus/Dream-Job-Campaign.pdf,"{""page"": 7}",sharpshooter,"ters from international companies in the defense and aerospace sectors. The copycat profiles sent job offers to the targets, and if those showed interest, a 11 mcafee.com/enterprise/en-us/assets/reports/rp-operation-sharpshooter.pdf 12 welivesecurity.com/2020/06/17/operation-interception-aerospace-military-companies-cyberspies/"
lazarus/The_Lazarus_Constellation.pdf,"{""page"": 30}",sharpshooter,manrights bitcoin apt37 fastcash blockbuster_sequel golddragon redbanc kimsuky_shark2 keymarble sony darkhotel redgambler apt37_rocketman typeframe safebank troydarkseoul fallchill kimsuky electricfish dtrack hermesryuk sharpshooter ratankba intezer apt37_evilnewyear bangladesh_swift volgmer backswap wipall wannacry hiddencobra duuzer kimsuky_mysterybaby deltacharlie Malware family andariel_rifle apt38_dyepack sony_sierraalfa ghostsecret apt38 bloc
