original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 15, ""sheet"": ""Iran""}",APT33,"Magic Hound Timberworm MAGNALLIUM Elfin Refined Kitten Holmium APT33 G0059 Stonedrill/ Shamoon2.0 Shamoon, POWERTON, Ruler, PUPYRAT, POSHC2 (.NET backdoor), TURNEDUP, AutoIt backdoor, Gpppassword, LaZagne, Quasar RAT, Remcos, SniffPass, DarkComet, AutoIt FTP tool, .NET FTP tool, PowerShe"
APT Groups and Operations.xlsx,"{""row"": 15, ""sheet"": ""Iran""}",Holmium,"Magic Hound Timberworm MAGNALLIUM Elfin Refined Kitten Holmium APT33 G0059 Stonedrill/ Shamoon2.0 Shamoon, POWERTON, Ruler, PUPYRAT, POSHC2 (.NET backdoor), TURNEDUP, AutoIt backdoor, Gpppassword, LaZagne, Quasar RAT, Remcos, SniffPass, DarkComet, AutoIt FTP tool, .NET FTP tool, Po"
APT Groups and Operations.xlsx,"{""row"": 15, ""sheet"": ""Iran""}",Refined Kitten,"Magic Hound Timberworm MAGNALLIUM Elfin Refined Kitten Holmium APT33 G0059 Stonedrill/ Shamoon2.0 Shamoon, POWERTON, Ruler, PUPYRAT, POSHC2 (.NET backdoor), TURNEDUP, AutoIt backdoor, Gpppassword, LaZagne, Quasar RAT, Remcos, SniffPass, DarkComet, AutoIt FTP tool, .NET FTP"
APT Groups and Operations.xlsx,"{""row"": 15, ""sheet"": ""Iran""}",apt33,https://gallery.logrhythm.com/threat-intelligence-reports/shamoon-2-malware-analysis-logrhythm-labs-threat-intelligence-report.pdf https://blog.trendmicro.com/trendlabs-security-intelligence/more-than-a-dozen-obfuscated-apt33-botnets-used-for-extreme-narrow-targeting/ https://www.fireeye.com/blog/threat-research/2018/12/overruled-containing-a-potentially-destructive-adversary.html https://www.symantec.com/blogs/threat-intelligence/elfin-apt3
APT Groups and Operations.xlsx,"{""row"": 15, ""sheet"": ""Russia""}",APT33,"FSB 16th & 18th Centers Gamaredon Group BlueAlpha Shuckworm ACTINIUM Primitive Bear Trident Ursa Iron Tilden OP Armageddon Op Gamework Pterodo, QuietSieve, DessertDown, DinoTrain Hijack infrastructure of Iranian APT33, APT35 & Muddywater, overlap to Callisto https://lookingglasscyber.com/wp-content/uploads/2015/08/Operation_Armageddon_FINAL.pdf http://researchcenter.paloaltonetworks.com/2017/02/unit-42-title-gamaredon-group-toolset-e"
APT-hunting/Automating APT Campaign and Group Attribution.pdf,"{""page"": 4}",APT33,"ocess included addressing the following issues: Consistency of Existing Labels: Aliases. Numerous samples are tagged with aliases representing the same APT group, e.g., ‘Refined Kitten’ and ‘Elfin, ’ which correspond to APT33. We standardize these aliases following classifications by Malpedia and MITRE. Consistency of Existing Labels: Umbrella Names. We eliminate text-based variations and adopt a consistent naming convention of APTXX, FINXX,"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 2}",APT 33,"................................................... 27 APT 32, OceanLotus, SeaLotus .................................................................................................................................. 29 APT 33, Elfin ................................................................................................................................................................... 33 Axiom, Group 72 ............................"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 33}",APT33,"track – to target organizations in the Persian Gulf. However, over the past few years, we have been tracking a separate, less widely known suspected Iranian group with potential destructive capabilities, whom we call APT33. Our analysis reveals that APT33 is a capable group that has carried out cyber espionage operations since at least 2013. We assess APT33 works at the behest of the Iranian government. APT33 has targeted organizations"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 33}",APT33,"n the Persian Gulf. However, over the past few years, we have been tracking a separate, less widely known suspected Iranian group with potential destructive capabilities, whom we call APT33. Our analysis reveals that APT33 is a capable group that has carried out cyber espionage operations since at least 2013. We assess APT33 works at the behest of the Iranian government. APT33 has targeted organizations – spanning multiple industries –"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 33}",APT33,"wn suspected Iranian group with potential destructive capabilities, whom we call APT33. Our analysis reveals that APT33 is a capable group that has carried out cyber espionage operations since at least 2013. We assess APT33 works at the behest of the Iranian government. APT33 has targeted organizations – spanning multiple industries – headquartered in the United States, Saudi Arabia and South Korea. APT33 has shown particular interest"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 33}",APT33,"apabilities, whom we call APT33. Our analysis reveals that APT33 is a capable group that has carried out cyber espionage operations since at least 2013. We assess APT33 works at the behest of the Iranian government. APT33 has targeted organizations – spanning multiple industries – headquartered in the United States, Saudi Arabia and South Korea. APT33 has shown particular interest in organizations in the aviation sector involved in bot"
Agrius/evol-agrius.pdf,"{""page"": 23}",APT33,"also resolved to Iranian domains in the past. 4. The usage of the DEADWOOD wiper Agrius utilized the DEADWOOD wiper, which was previously attributed to an Iranian-nexus actor. Some of the reports tie this wiper to APT33 3 , although not a lot of information was made public regarding this attribution, and we cannot independently corroborate it. The ties between Agrius and the threat actor who originally deployed DEADWOOD remain unclea"
International Strategic/Iran/ClearSky-Fox-Kitten-Campaign-v1.pdf,"{""page"": 2}",APT33,"gh probability, between this campaign’s infrastructure and the activity of an Iranian offensive group APT34-OilRig. Additionally, we have identified, with medium probability, a connection between this campaign and the APT33 -Elfin and APT39-Chafer groups. The campaign was first revealed by Dragos, named “Parisite” and attributed to APT33; we call the comprehensive campaign revealed in this report “Fox Kitten”. We assess with medium prob"
International Strategic/Iran/ClearSky-Fox-Kitten-Campaign-v1.pdf,"{""page"": 2}",APT33,"dditionally, we have identified, with medium probability, a connection between this campaign and the APT33 -Elfin and APT39-Chafer groups. The campaign was first revealed by Dragos, named “Parisite” and attributed to APT33; we call the comprehensive campaign revealed in this report “Fox Kitten”. We assess with medium probability that the Iranian offensive groups (APT34 and APT33) have been working together since 2017, though the infrast"
International Strategic/Iran/ClearSky-Fox-Kitten-Campaign-v1.pdf,"{""page"": 2}",APT33,"rst revealed by Dragos, named “Parisite” and attributed to APT33; we call the comprehensive campaign revealed in this report “Fox Kitten”. We assess with medium probability that the Iranian offensive groups (APT34 and APT33) have been working together since 2017, though the infrastructure that we reveal, vis-à-vis a large number of companies in Israel and around the world. The campaign infrastructure was used to: • Develop and maintain"
International Strategic/Iran/ClearSky-Fox-Kitten-Campaign-v1.pdf,"{""page"": 3}",APT33,"k. As a result, identifying and closing one access point does not necessarily deny the capability to carry on operations inside the network. • We assess with medium -high probability that Iranian APT groups (APT34 and APT33) share attack infrastructures. Furthermore, it can be one group that was artificially marked in recent years as two or three separate APT groups. • The time needed to identify an attacker on a compromise network is l"
International Strategic/Iran/ClearSky-Fox-Kitten-Campaign-v1.pdf,"{""page"": 7}",APT33,"iltration, after the campaign has ensured its foothold on the target. The table presents an overlap between techniques and tools identified during the Fox Kitten campaign, and those of three Iranian offensive groups: APT33 and APT34, the campaign’s main groups, and APT 39, a sub-group of APT34 to which we have found matchings in several characteristics of the Fox Kitten campaign2. Malicious offensive tools are highlighted in red. Known"
International Strategic/Iran/README.MD,"{""line"": 74}",APT33,## APT33 (AKA Refined Kitten/Elfin)
International Strategic/Iran/README.MD,"{""line"": 74}",Refined Kitten,## APT33 (AKA Refined Kitten/Elfin)
International Strategic/Iran/README.MD,"{""line"": 78}",APT33,APT33 is a threat group thought to have strong interest in the aeronautics and energy sectors. They use spear-phishing attacks with a domain masquerading technique to make the links in their emails appear legitimate. They are
International Strategic/Iran/README.MD,"{""line"": 81}",apt33,https://www.fireeye.com/blog/threat-research/2017/09/apt33-insights-into-iranian-cyber-espionage.html
International Strategic/Iran/README.MD,"{""line"": 83}",apt33,https://blog.trendmicro.com/trendlabs-security-intelligence/more-than-a-dozen-obfuscated-apt33-botnets-used-for-extreme-narrow-targeting/
Threat Group Cards.pdf,"{""page"": 2}",APT 33,"............................................................................. 27 APT 32, OceanLotus, SeaLotus ........................................................................................................ 29 APT 33, Elfin ......................................................................................................................................... 33 Axiom, Group 72......................................................."
Threat Group Cards.pdf,"{""page"": 33}",APT33,"track – to target organizations in the Persian Gulf. However, over the past few years, we have been tracking a separate, less widely known suspected Iranian group with potential destructive capabilities, whom we call APT33. Our analysis reveals that APT33 is a capable group that has carried out cyber espionage operations since at least 2013. We assess APT33 works at the behest of the Iranian government. APT33 has targeted organizations"
Threat Group Cards.pdf,"{""page"": 33}",APT33,"n the Persian Gulf. However, over the past few years, we have been tracking a separate, less widely known suspected Iranian group with potential destructive capabilities, whom we call APT33. Our analysis reveals that APT33 is a capable group that has carried out cyber espionage operations since at least 2013. We assess APT33 works at the behest of the Iranian government. APT33 has targeted organizations – spanning multiple industries –"
Threat Group Cards.pdf,"{""page"": 33}",APT33,"wn suspected Iranian group with potential destructive capabilities, whom we call APT33. Our analysis reveals that APT33 is a capable group that has carried out cyber espionage operations since at least 2013. We assess APT33 works at the behest of the Iranian government. APT33 has targeted organizations – spanning multiple industries – headquartered in the United States, Saudi Arabia and South Korea. APT33 has shown particular interest"
Threat Group Cards.pdf,"{""page"": 33}",APT33,"apabilities, whom we call APT33. Our analysis reveals that APT33 is a capable group that has carried out cyber espionage operations since at least 2013. We assess APT33 works at the behest of the Iranian government. APT33 has targeted organizations – spanning multiple industries – headquartered in the United States, Saudi Arabia and South Korea. APT33 has shown particular interest in organizations in the aviation sector involved in bot"
Threat_Group_Cards_v2.0.pdf,"{""page"": 2}",APT 33,"................................................... 42 APT 32, OceanLotus, SeaLotus .................................................................................................................................. 43 APT 33, Elfin, Magnallium ............................................................................................................................................. 48 APT 41 ..............................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 48}",APT33,"track – to target organizations in the Persian Gulf. However, over the past few years, we have been tracking a separate, less widely known suspected Iranian group with potential destructive capabilities, whom we call APT33. Our analysis reveals that APT33 is a capable group that has carried out cyber espionage operations since at least 2013. We assess APT33 works at the behest of the Iranian government. APT33 has targeted organizations"
Threat_Group_Cards_v2.0.pdf,"{""page"": 48}",APT33,"n the Persian Gulf. However, over the past few years, we have been tracking a separate, less widely known suspected Iranian group with potential destructive capabilities, whom we call APT33. Our analysis reveals that APT33 is a capable group that has carried out cyber espionage operations since at least 2013. We assess APT33 works at the behest of the Iranian government. APT33 has targeted organizations – spanning multiple industries –"
Threat_Group_Cards_v2.0.pdf,"{""page"": 48}",Holmium,"Threat Group Cards: A Threat Actor Encyclopedia 48 APT 33, Elfin, Magnallium Names APT 33 (Mandiant) Elfin (Symantec) Magnallium (Dragos) Holmium (Microsoft) ATK 35 (Thales) Refined Kitten (CrowdStrike) TA451 (Proofpoint) Country Iran Sponsor State-sponsored Motivation Information theft and espionage, Sabotage and destruction First seen 2013 Description ("
Threat_Group_Cards_v2.0.pdf,"{""page"": 48}",Refined Kitten,"Threat Group Cards: A Threat Actor Encyclopedia 48 APT 33, Elfin, Magnallium Names APT 33 (Mandiant) Elfin (Symantec) Magnallium (Dragos) Holmium (Microsoft) ATK 35 (Thales) Refined Kitten (CrowdStrike) TA451 (Proofpoint) Country Iran Sponsor State-sponsored Motivation Information theft and espionage, Sabotage and destruction First seen 2013 Description (FireEye) When discussing suspected Middle Eas"
cybercrime/2025/Virtual-Routes-Pharos-Report-Series-No.-3.pdf,"{""page"": 31}",APT33,"ly Behind Disruptive Cyberattacks Against Albanian Government,’ Hacker News , August 5, 2022, https:// thehackernews.com/2022/08/iranian-hackers-likely-behind.html 2012 Malware Type: Wiper Malware: Shamoon Attribution: APT33 Target Geography: Saudi Arabia 2018 Malware Type: Ransomware Malware: SamSam Attribution: Two Iranian individuals with alleged ties to IRGC Target Geography: United States 2016-2017 Malware Type: Wiper Malware: Sham"
cybercrime/2025/Virtual-Routes-Pharos-Report-Series-No.-3.pdf,"{""page"": 31}",APT33,"018 Malware Type: Ransomware Malware: SamSam Attribution: Two Iranian individuals with alleged ties to IRGC Target Geography: United States 2016-2017 Malware Type: Wiper Malware: Shamoon 2.0, StoneDrill Attribution: APT33 Target Geography: Saudi Arabia 2018-2019 Malware Type: Wiper Malware: Shamoon 3.0 Attribution: APT33 Target Geography: Saudi Arabia"
cybercrime/2025/Virtual-Routes-Pharos-Report-Series-No.-3.pdf,"{""page"": 31}",APT33,"to IRGC Target Geography: United States 2016-2017 Malware Type: Wiper Malware: Shamoon 2.0, StoneDrill Attribution: APT33 Target Geography: Saudi Arabia 2018-2019 Malware Type: Wiper Malware: Shamoon 3.0 Attribution: APT33 Target Geography: Saudi Arabia"
lazarus/Dream-Job-Campaign.pdf,"{""page"": 9}",APT33,"ocial engineering. Since the beginning of 2020, Lazarus also operates a campaign the focuses on enticing job seekers with attractive places. However, North Korea is not the only state that uses this tactic: Iran – and APT33 in particular – operates a widespread campaign that focuses on recruiters’ impersonation too14. The use of this method of reaching out to the target with a tempting offer gives the attackers several advantages: 1."
lazarus/Dream-Job-Campaign.pdf,"{""page"": 9}",apt33,of crisis and adds to the attackers’ ability to “press on sensitive spots” of their targets and persuade them to continue with the infection. Working remotely is another 14 fireeye.com/blog/threat-research/2017/09/apt33-insights-into-iranian-cyber-espionage.html
microsoft-threat-actor-list.xlsx,"{""row"": 21, ""sheet"": ""alphabetical""}",APT33,"HOLMIUM Peach Sandstorm Iran APT33, Refined Kitten DEV-0537 Strawberry Tempest Financially motivated LAPSUS$"
microsoft-threat-actor-list.xlsx,"{""row"": 21, ""sheet"": ""alphabetical""}",HOLMIUM,"HOLMIUM Peach Sandstorm Iran APT33, Refined Kitten DEV-0537 Strawberry Tempest Financially motivated LAPSUS$"
microsoft-threat-actor-list.xlsx,"{""row"": 21, ""sheet"": ""alphabetical""}",Peach Sandstorm,"HOLMIUM Peach Sandstorm Iran APT33, Refined Kitten DEV-0537 Strawberry Tempest Financially motivated LAPSUS$"
microsoft-threat-actor-list.xlsx,"{""row"": 21, ""sheet"": ""alphabetical""}",Refined Kitten,"HOLMIUM Peach Sandstorm Iran APT33, Refined Kitten DEV-0537 Strawberry Tempest Financially motivated LAPSUS$"
summary/2020/PWC-cyber-threats-2019-retrospect.pdf,"{""page"": 26}",apt33,"actors attempted to polarise the debate. Sowing chaos 89 ‘Elfin: Relentless espionage gr oup targets multiple organisations in Saudi Arabia and US’, Symantec, https://www.symantec.com/blogs/threat-intelligence/elfin- apt33-espionage (27th March 2019) 90 ‘US gover nment warns of data wipers used in Iranian cyberattacks’, Bleeping Computer, https://www.bleepingcomputer.com/news/security/us-government-warns- of-data-wipers-used-in-iranian-c"
summary/2021/APT group activities under the shadow of the epidemic(2020).pdf,"{""page"": 17}",APT33,可能是为 了躲避相关执法机构调查。部分 APT 组织在攻击方向 同样存在重合部分，例如今年 9 月，美国财政部外国 资产控制办公室（OFAC）对伊朗网络威胁组织 Chafer （AP T39）实施了制裁，认为其长期监视持有不同政 见者以及伊朗邻国学术和电信行业 。这与 R a m p a n t Kitten APT 组织攻击目标一致，Rampant Kitten 同样 长期针对伊朗侨民和不同政见者。同月被美国政府起诉 的三名疑似 APT33 的伊朗成员攻击航空航天行业，窃 取商业信息和个人数据。而今年 5 月份 MuddyWater 同样被披露利用 LinkedIn 社交媒体平台伪装 HR 人员 对航空航天行业进行攻击，诱导受害者下载恶意诱饵 文件。 在众多中东 A P T组织活动中 ，其中A P T 3 5 、 MuddyWater 和双尾蝎 APT 组织的攻击活动在攻击目 标、攻击手法以及活跃度等方面较为突出。 1. APT35 Phosphorus( 又 名 A
summary/2021/Adversary Infrastructure Report 2020.pdf,"{""page"": 3}",APT33,"14 Table 6: Top hosting providers for each RAT. Top 10 Observed Offensive Security Tools Family Notable Users Cobalt Strike APT41 , Mustang Panda, Ocean Lotus , FIN7 Metasploit JointWorm (EVILNUM ), Turla PupyRAT APT33 , COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (UNC1878 ) 1 Octopus C2 Unnamed Chinese APT Sliver N/A Responder APT28 , APT40"
summary/2021/rpt-mtrends-2021-fireeye.pdf,"{""page"": 26}",APT33,"mpire also allows actors to run various types of post-exploitation modules and make adaptable communications while evading detection. Mandiant experts track 90 threat groups that have utilized EMPIRE including APT19, APT33, FIN10, FIN11 and 86 UNC Groups. • MAZE is a ransomware family that encrypts files stored locally and on network shares. MAZE can be configured to infect remote and removable drives as well as send basic system inform"
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 162}",APT33,UNC757， Fox Kitten，PIONEER KITTEN 历史目标 北美，以色列，中东 目标行业 政府，国防，医疗保健 发现时间 2016-10-14 最近活跃 2020-12-17 动机 信息窃取 描述 PIONEER KITTEN 是总部位于伊朗的 APT 组织， 自2017 年以来一直活跃， 并涉嫌与伊朗政府有联系。 该 APT 组织似乎主要集中在获取和保持伊朗政府感兴趣的实体访问权， 并提供给其他伊朗黑客组织如 ： APT33（Shamoon）、Oilrig（APT34）、Chafer。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 3 67 14 48 5 最近发布报告 2020-12-17 PIONEER KITTEN 发起的 Pay2Key 攻击活动 clearsky 2020-08-31 Who Is PIONEER KITTEN? crowdstrike APT 组织画像
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 192}",APT33,APT 组织情报研究年鉴 184 6.2.50 MAGNALLIUM 组织名 MAGNALLIUM 中文名 无 组织地理 伊朗 别名 APT33 历史目标 沙特阿拉伯，美国，韩国 目标行业 能源，航空，航天 发现时间 2018-12-23 最近活跃 2020-02-13 动机 间谍活动 描述 自 2013 年以来，MAGNALLIUM 就瞄准了石化制造商和其他工业组织，该小组缺乏攻击 ICS 的能力， 目前仅专注于信息收集。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 21 835 506 319 10 最近发布报告 2020-02-13
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 192}",APT33,，韩国 目标行业 能源，航空，航天 发现时间 2018-12-23 最近活跃 2020-02-13 动机 间谍活动 描述 自 2013 年以来，MAGNALLIUM 就瞄准了石化制造商和其他工业组织，该小组缺乏攻击 ICS 的能力， 目前仅专注于信息收集。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 21 835 506 319 10 最近发布报告 2020-02-13 PowerBand the APT33 Variant alienvault 2020-02-12 MEETING POWERBAND: THE APT33 .NET POWERTON VARIANT alienvault 2020-01-06 APT33 - Iranian Cyber Espionage targeting Aerospace and Energy Sectors alienvault 2019-11-17 More than a Dozen Obfus
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 192}",APT33,述 自 2013 年以来，MAGNALLIUM 就瞄准了石化制造商和其他工业组织，该小组缺乏攻击 ICS 的能力， 目前仅专注于信息收集。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 21 835 506 319 10 最近发布报告 2020-02-13 PowerBand the APT33 Variant alienvault 2020-02-12 MEETING POWERBAND: THE APT33 .NET POWERTON VARIANT alienvault 2020-01-06 APT33 - Iranian Cyber Espionage targeting Aerospace and Energy Sectors alienvault 2019-11-17 More than a Dozen Obfuscated APT33 Botnets Used for Extreme Narrow Targeting alie
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 192}",APT33,CS 的能力， 目前仅专注于信息收集。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 21 835 506 319 10 最近发布报告 2020-02-13 PowerBand the APT33 Variant alienvault 2020-02-12 MEETING POWERBAND: THE APT33 .NET POWERTON VARIANT alienvault 2020-01-06 APT33 - Iranian Cyber Espionage targeting Aerospace and Energy Sectors alienvault 2019-11-17 More than a Dozen Obfuscated APT33 Botnets Used for Extreme Narrow Targeting alienvault 2019-11-13 Career-themed campaign possible
summary/2022/Global APT Mid-2022 Report-qianxin.pdf,"{""page"": 48}",APT33,由于动荡不安的政治局势，中东地区的网络攻击活动十分频繁，涉及的 APT 组织众多，攻击目标也极具 复杂性，不仅针对特定行业，也会对人权活动家、立法者、官员甚至总统等个人目标进行攻击。 中东地区的组织与行动 Middle East 中东 APT 组织 攻击能力 MuddyWater APT34/ OilRig APT33 FruityArmor SandCat 黄金鼠 利刃鹰 诺崇狮 双尾蝎 + ++ ++ ++ ++ + + + + 第五章 地缘下的 APT 组织、活动和趋势 / 全球高级持续性威胁（APT）2022 年中报告
summary/2022/Global APT Mid-2022 Report-qianxin.pdf,"{""page"": 49}",APT33,邮箱：ti_support@qianxin.com 电话：95015 官网：https://ti.qianxin.com 42 2013 2017 2016 2015 2018 20172016 2016 2019 月光鼠 MuddyWater APT34 PROMETHIUM Lyceum 双尾蝎 军刀狮 APT33黄金鼠 最早活动时间：2012 公开披露时间：2013 最早活动时间：2017 公开披露时间：2017 最早活动时间：2014 公开披露时间：2016 最早活动时间：2012 公开披露时间：2016 最早活动时间：2018 公开披露时间：2019 最早活动时间：2011 公开披露时间：2015 最早活动时间：2015 公开披露时间：2018 最早活动时间：2013 公开披露时间：2017 最早活动时间：2014 公开披露时间：2016
summary/2022/Global APT Mid-2022 Report-qianxin.pdf,"{""page"": 49}",APT33,和 Android 双 平台采取鱼叉或水坑等攻击方式配合 社会工程学手段进行渗透，向政府、 金融、媒体、能源、军事等特定目标 人群进行攻击 Z o o P a r k （军刀狮）组织最早是由 Kaspersky 于 2018 披 露 并 命 名 的 组 织，该组织自 2015 开始活跃，主要 攻击目标为伊朗、约旦、埃及、黎巴 嫩等中东地区国家，其攻击武器共包 含四个迭代版本的 Android 端 RAT， 且版本间代码复杂度提升极大 APT33 是 FireEye 披露的 APT 组织， 攻击目标包括美国、沙特阿拉伯和韩 国，主要针对航空和能源领域实施攻 击活动 黄金鼠是一个最早由奇安信披露的 APT 组织。 该组织在叙利亚地区活跃， 其具备 Windows 和 Android 平台的 恶意攻击能力
summary/2023/2022 APT Activity Analysis Report threatbook.pdf,"{""page"": 43}",APT33,正 的稳定。美国与伊朗之间深层次的矛盾仍然存在，伊核 谈判也迟迟未能取得实质性进展。尽管中东地区的局势 表面上看起来有所缓和，但实际上这只是各方出于利益 驱动而集体行动的结果。只有当各方完全放弃意识形态 斗争和地缘政治对抗，才能为中东地区建立长久的和平 基础。然而，这一过程将是艰难而漫长的。因此，中东 局势很可能会愈加极化和脆弱，所以今年中东网络攻击 活动仍然频繁，攻击方式和武器库也层出不穷，例如 APT35、 双 尾 蝎、APT34、APT33 和 Muddywater 等 所熟悉的中东 APT 组织。 1. APT35 A P T 3 5是疑似伊朗国家支持的A P T组织 ，又名 Charming Kitten、TA453 或 Phosphorus，已经活跃 了近 10 年，以欧洲、中东、美国和其他国家 / 地区的 能源、政府和技术部门的组织为目标，曾涉嫌参与干涉 美国总统大选、针对北美和中东的组织官员的网络攻击 活动。在披露核弹级漏洞 Log4j 仅四天，就被研究人员
summary/2023/Global APT 2022 Annual Report-qianxin.pdf,"{""page"": 61}",APT33,治局势，中东地区的网络攻 击活动十分频繁，涉及的 APT 组织众多，攻击目标也极具复杂性。地区主要强国激烈地争夺地缘资本、 经济利益和权力地位，使该地区充满了各种疑似政府背景的情报监控和网络间谍活动。奇安信威胁情报 中心通过对中东地区复杂的网络攻击活动进行长期追踪和挖掘，率先披露过该地区的多个 APT 组织。 中东地区的组织与行动 Middle East 中东 APT 组织 攻击能力 MuddyWater APT34/ OilRig APT33 FruityArmor SandCat 黄金鼠 利刃鹰 诺崇狮 双尾蝎 + ++ ++ ++ ++ + + + +
summary/2023/Global APT 2022 Annual Report-qianxin.pdf,"{""page"": 62}",APT33,全球高级持续性威胁（APT）2022 年度报告 57 第三章 地缘下的 APT 组织、活动和趋势 / 全球高级持续性威胁（APT）2022 年度报告 表 3.14 2022 年中东地区活跃 APT 组织 2013 2018 2017 2015 2019 20172016 2016 月光鼠 APT35 APT33 PROMETHIUM 双尾蝎 Lyceum MuddyWaterAPT34 最早活动时间：2012 公开披露时间：2013 最早活动时间：2014 公开披露时间：2018 最早活动时间：2013 公开披露时间：2017 最早活动时间：2012 公开披露时间：2016 最早活动时间：2011 公开披露时间：2015 最早活动时间：2018 公开披露时间：2019 最早活动时间：2017 公开披露时间：2017 最早活动时间：2014 公
