original_source_path,original_source_location,matched_name,context_excerpt
parse-daily/.cache/tech-memo/daily-news/iocs/2026_04-06/20260616.csv,"{""row"": 2}",Storm-2657,2755 cybercrime N/A N/A https://sra.io/wp-content/uploads/2026/06/TB20260611-Payroll-Pirates.pdf AI generated. Attacker infrastructure IP observed in AiTM phishing campaign targeting payroll and HR personnel (Storm-2755/Storm-2657). AI agent medium
parse-daily/.cache/tech-memo/daily-news/iocs/2026_04-06/20260616.csv,"{""row"": 3}",Storm-2657,2755 cybercrime N/A N/A https://sra.io/wp-content/uploads/2026/06/TB20260611-Payroll-Pirates.pdf AI generated. Attacker infrastructure IP observed in AiTM phishing campaign targeting payroll and HR personnel (Storm-2755/Storm-2657). AI agent medium
parse-daily/.cache/tech-memo/daily-news/iocs/2026_04-06/20260616.csv,"{""row"": 4}",Storm-2657,2755 cybercrime N/A N/A https://sra.io/wp-content/uploads/2026/06/TB20260611-Payroll-Pirates.pdf AI generated. Attacker infrastructure IP observed in AiTM phishing campaign targeting payroll and HR personnel (Storm-2755/Storm-2657). AI agent medium
parse-daily/.cache/tech-memo/daily-news/iocs/2026_04-06/20260616.csv,"{""row"": 5}",Storm-2657,2755 cybercrime N/A N/A https://sra.io/wp-content/uploads/2026/06/TB20260611-Payroll-Pirates.pdf AI generated. Attacker infrastructure IP observed in AiTM phishing campaign targeting payroll and HR personnel (Storm-2755/Storm-2657). AI agent medium
parse-daily/.cache/tech-memo/daily-news/iocs/2026_04-06/20260616.csv,"{""row"": 6}",Storm-2657,2755 cybercrime N/A N/A https://sra.io/wp-content/uploads/2026/06/TB20260611-Payroll-Pirates.pdf AI generated. Attacker infrastructure IP observed in AiTM phishing campaign targeting payroll and HR personnel (Storm-2755/Storm-2657). AI agent medium
parse-daily/.cache/tech-memo/daily-news/news/2025_10-12/20251010.md,"{""line"": 21}",Storm-2657,- Microsoftは、Storm-2657が米国大学の職員を狙い、給与口座乗っ取りを目的とする攻撃を2025年3月以降展開と報告。
parse-daily/.cache/tech-memo/daily-news/news/2025_10-12/20251010.md,"{""line"": 33}",Storm-2657,- 脅威グループはStorm-2657で、金銭目的のBEC系手口（「Payroll Pirate」）と位置付けられる。
parse-daily/.cache/tech-memo/daily-news/news/2026_04-06/20260616.md,"{""line"": 183}",Storm-2657,- この活動はMicrosoftがStorm-2755およびStorm-2657として追跡するクラスターに関連し、医療、食品サービス、製造業で観測された。
parse-daily/.cache/tech-memo/daily-news/news/2026_04-06/20260616.md,"{""line"": 209}",Storm-2657,- 攻撃者はStorm-2755およびStorm-2657に関連し、動機は従業員給与の振込先変更による金銭窃取。
ui/api/v1/search.json,"{""json_path"": ""$.entities[424].attrs.概要""}",Storm-2657,Storm-2657の標準化プロファイル。リポジトリ内の専用資料1件とMITRE ATT&CK、アクターマッピング表を基礎情報としている。
ui/api/v1/search.json,"{""json_path"": ""$.entities[424].detail""}",storm-2657,storm-2657
ui/api/v1/search.json,"{""json_path"": ""$.entities[424].id""}",storm-2657,actor:storm-2657
ui/api/v1/search.json,"{""json_path"": ""$.entities[424].label""}",Storm-2657,Storm-2657
ui/api/v1/search.json,"{""json_path"": ""$.entities[5428].refs[0].target""}",storm-2657,actor:storm-2657
