original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 112, ""sheet"": ""China""}",BackdoorDiplomacy,"BackdoorDiplomacy CloudComputating G0135 Quarian, Turian, Follina Kaspersky = CloudComputating = Chinese in 2Q2017 APT summary, CloudComputating = BackdoorDiplomacy in 3Q2021 APT summary, ESET CloudComputating = BackdoorDiplomacy using"
APT Groups and Operations.xlsx,"{""row"": 112, ""sheet"": ""China""}",BackdoorDiplomacy,"BackdoorDiplomacy CloudComputating G0135 Quarian, Turian, Follina Kaspersky = CloudComputating = Chinese in 2Q2017 APT summary, CloudComputating = BackdoorDiplomacy in 3Q2021 APT summary, ESET CloudComputating = BackdoorDiplomacy using Turian & Quarian https://www.welivesecurity.com/2021/06/10/backdoordiplomacy-upgrading-quarian-turian/ https://securelist.com/?s=CloudComputating ht"
APT Groups and Operations.xlsx,"{""row"": 112, ""sheet"": ""China""}",BackdoorDiplomacy,"BackdoorDiplomacy CloudComputating G0135 Quarian, Turian, Follina Kaspersky = CloudComputating = Chinese in 2Q2017 APT summary, CloudComputating = BackdoorDiplomacy in 3Q2021 APT summary, ESET CloudComputating = BackdoorDiplomacy using Turian & Quarian https://www.welivesecurity.com/2021/06/10/backdoordiplomacy-upgrading-quarian-turian/ https://securelist.com/?s=CloudComputating https://www.fortinet.com/blog/threat-research/analysis-of-follina-z"
APT Groups and Operations.xlsx,"{""row"": 112, ""sheet"": ""China""}",CloudComputating,"BackdoorDiplomacy CloudComputating G0135 Quarian, Turian, Follina Kaspersky = CloudComputating = Chinese in 2Q2017 APT summary, CloudComputating = BackdoorDiplomacy in 3Q2021 APT summary, ESET CloudComputating = BackdoorDiplomacy using Turian & Quarian"
APT Groups and Operations.xlsx,"{""row"": 112, ""sheet"": ""China""}",CloudComputating,"BackdoorDiplomacy CloudComputating G0135 Quarian, Turian, Follina Kaspersky = CloudComputating = Chinese in 2Q2017 APT summary, CloudComputating = BackdoorDiplomacy in 3Q2021 APT summary, ESET CloudComputating = BackdoorDiplomacy using Turian & Quarian https://www.welivesecurity.com/2021/06/10/backdoordiplomacy-u"
APT Groups and Operations.xlsx,"{""row"": 112, ""sheet"": ""China""}",CloudComputating,"BackdoorDiplomacy CloudComputating G0135 Quarian, Turian, Follina Kaspersky = CloudComputating = Chinese in 2Q2017 APT summary, CloudComputating = BackdoorDiplomacy in 3Q2021 APT summary, ESET CloudComputating = BackdoorDiplomacy using Turian & Quarian https://www.welivesecurity.com/2021/06/10/backdoordiplomacy-upgrading-quarian-turian/ https://securelist.com/?s"
APT Groups and Operations.xlsx,"{""row"": 112, ""sheet"": ""China""}",Quarian,"BackdoorDiplomacy CloudComputating G0135 Quarian, Turian, Follina Kaspersky = CloudComputating = Chinese in 2Q2017 APT summary, CloudComputating = BackdoorDiplomacy in 3Q2021 APT summary, ESET CloudComputating = BackdoorDiplomacy using Turian & Quarian https://www.wel"
APT Groups and Operations.xlsx,"{""row"": 17, ""sheet"": ""China""}",BackdoorDiplomacy,"Mirage Vixen Panda Ke3Chang Playful Dragon GREF APT15 Social Network Team Mirage Team, Lurid, Social Network Team, Royal APT, Metushy, Winnti Umbrella, NICKEL, Playful Taurus, BackdoorDiplomacy G0004 Mirage, (Nvidia program side-loading) PlugX, XSLCmd, TidePool, BS2005, RoyalCli, iWebRat, Russian-language decoy document, ENFAL, ENDCMD, QUICKHEAL, SOGU, CYFREE, MIRAGE, NOISEMAKER, QUICKHEAL, SWALLOWFLY, Turian"
International Strategic/China/Charting China’s Climb as a Leading Global Cyber Power.pdf,"{""page"": 10}",BackdoorDiplomacy,"typesof projects,throughfinancial assistanceandother development activities. Of note, inSeptember 2023, weidentifiedthelikelycompromiseof abranchof thegovernment of AngolabythesuspectedChinesestate-sponsoredgroupTAG 68 BackdoorDiplomacy, CloudComputating, Playful Taurus). Thetargetingof Angola’sgovernment isinlinewithhistorical activityattributedtothisgroup, whichhasreportedlyfocusedongaininginformationonBRI debt owedtoChina, includingfromother African"
International Strategic/China/Charting China’s Climb as a Leading Global Cyber Power.pdf,"{""page"": 10}",CloudComputating,"hroughfinancial assistanceandother development activities. Of note, inSeptember 2023, weidentifiedthelikelycompromiseof abranchof thegovernment of AngolabythesuspectedChinesestate-sponsoredgroupTAG 68 BackdoorDiplomacy, CloudComputating, Playful Taurus). Thetargetingof Angola’sgovernment isinlinewithhistorical activityattributedtothisgroup, whichhasreportedlyfocusedongaininginformationonBRI debt owedtoChina, includingfromother AfricannationssuchasKenya"
