original_source_path,original_source_location,matched_name,context_excerpt
parse-daily/.cache/tech-memo/daily-news/news/2023_07-09/20230811.md,"{""line"": 65}",MoustachedBouncer,### MoustachedBouncerハッカー、外交官を監視するためのAITM攻撃を使用
parse-daily/.cache/tech-memo/daily-news/news/2023_07-09/20230811.md,"{""line"": 66}",moustachedbouncer,https://www.bleepingcomputer.com/news/security/moustachedbouncer-hackers-use-aitm-attacks-to-spy-on-diplomats/
parse-daily/.cache/tech-memo/daily-news/news/2023_07-09/20230811.md,"{""line"": 69}",MoustachedBouncer,- MoustachedBouncerというハッカーグループが活動
parse-daily/.cache/tech-memo/daily-news/news/2023_07-09/20230811.md,"{""line"": 83}",MoustachedBouncer,- 攻撃者はMoustachedBouncer。属性情報は不明
summary/2024/2024_Trustwave_Public_Sector_Threat_Landscape.pdf,"{""page"": 48}",MoustachedBouncer,"s it is managed by the Sri Lankan government, but this highlights the potential risks of shared IT providers affecting multiple organizations. FOREIGN EMBASSIES IN BELARUS AND ISPS (AUGUST 2023) A threat group called ""MoustachedBouncer"" targeted foreign embassies in Belarus at the ISP level. According to third-party researchers, the group is said to have engaged in intercepting and redirecting network traffic to compromise data through “adversary-i"
ui/api/v1/search.json,"{""json_path"": ""$.entities[253].attrs.概要""}",MoustachedBouncer,MoustachedBouncerの標準化プロファイル。リポジトリ内の専用資料1件とMITRE ATT&CK、アクターマッピング表を基礎情報としている。
ui/api/v1/search.json,"{""json_path"": ""$.entities[253].detail""}",moustachedbouncer,moustachedbouncer
ui/api/v1/search.json,"{""json_path"": ""$.entities[253].id""}",moustachedbouncer,actor:moustachedbouncer
ui/api/v1/search.json,"{""json_path"": ""$.entities[253].label""}",MoustachedBouncer,MoustachedBouncer
ui/api/v1/search.json,"{""json_path"": ""$.entities[931].refs[0].target""}",moustachedbouncer,actor:moustachedbouncer
