original_source_path,original_source_location,matched_name,context_excerpt
0day _In the Wild_.xlsx,"{""row"": 103, ""sheet"": ""All""}",HURRICANE PANDA,ndleMenuMessages ??? 2014-10-14 00:00:00 https://docs.microsoft.com/en-us/security-updates/securitybulletins/2014/ms14-058 https://www.fireeye.com/blog/threat-research/2014/10/two-targeted-attacks-two-new-zero-days.html HURRICANE PANDA https://www.crowdstrike.com/blog/crowdstrike-discovers-use-64-bit-zero-day-privilege-escalation-exploit-cve-2014-4113-hurricane-panda/
0day _In the Wild_.xlsx,"{""row"": 4, ""sheet"": ""2014""}",HURRICANE PANDA,ndleMenuMessages ??? 2014-10-14 00:00:00 https://docs.microsoft.com/en-us/security-updates/securitybulletins/2014/ms14-058 https://www.fireeye.com/blog/threat-research/2014/10/two-targeted-attacks-two-new-zero-days.html HURRICANE PANDA https://www.crowdstrike.com/blog/crowdstrike-discovers-use-64-bit-zero-day-privilege-escalation-exploit-cve-2014-4113-hurricane-panda/
APT Groups and Operations.xlsx,"{""row"": 54, ""sheet"": ""China""}",BRONZE VINEWOOD,"Hurricane Panda Hurricane Panda BRONZE VINEWOOD APT31 Black Vine TEMP.Avengers Zirconium, TA412 Op. Poisoned Hurricane China Chopper Webshell, PlugX, Mimikatz, Sakula Aerospace, Healthcare, Energy (gas & electric turbine manufacturing), Military and defense, Finance,"
APT Groups and Operations.xlsx,"{""row"": 54, ""sheet"": ""China""}",Hurricane Panda,"Hurricane Panda Hurricane Panda BRONZE VINEWOOD APT31 Black Vine TEMP.Avengers Zirconium, TA412 Op. Poisoned Hurricane China Chopper Webshell, PlugX, Mimikatz, Sakula Aerospace, Healthcare, Energy (gas & electric turbine manufacturing)"
APT Groups and Operations.xlsx,"{""row"": 54, ""sheet"": ""China""}",Hurricane Panda,"Hurricane Panda Hurricane Panda BRONZE VINEWOOD APT31 Black Vine TEMP.Avengers Zirconium, TA412 Op. Poisoned Hurricane China Chopper Webshell, PlugX, Mimikatz, Sakula Aerospace, Healthcare, Energy (gas & electric turbine manufacturing), Military and d"
APT Groups and Operations.xlsx,"{""row"": 54, ""sheet"": ""China""}",TA412,"Hurricane Panda Hurricane Panda BRONZE VINEWOOD APT31 Black Vine TEMP.Avengers Zirconium, TA412 Op. Poisoned Hurricane China Chopper Webshell, PlugX, Mimikatz, Sakula Aerospace, Healthcare, Energy (gas & electric turbine manufacturing), Military and defense, Finance, Agriculture, Technology, Japan, United States,"
APT Groups and Operations.xlsx,"{""row"": 54, ""sheet"": ""China""}",TEMP.Avengers,"Hurricane Panda Hurricane Panda BRONZE VINEWOOD APT31 Black Vine TEMP.Avengers Zirconium, TA412 Op. Poisoned Hurricane China Chopper Webshell, PlugX, Mimikatz, Sakula Aerospace, Healthcare, Energy (gas & electric turbine manufacturing), Military and defense, Finance, Agriculture, Technology, Japan"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 118}",Hurricane Panda,"Threat Group Cards: A Threat Actor Encyclopedia 118 Hurricane Panda, Zirconium, APT 31 Names Hurricane Panda (CrowdStrike) Zirconium (Microsoft) APT 31 (Mandiant) TEMP.Avengers (Symantec) Country China Motivation Information theft and espionage Description (CrowdStrike) We have i"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 118}",Hurricane Panda,"Threat Group Cards: A Threat Actor Encyclopedia 118 Hurricane Panda, Zirconium, APT 31 Names Hurricane Panda (CrowdStrike) Zirconium (Microsoft) APT 31 (Mandiant) TEMP.Avengers (Symantec) Country China Motivation Information theft and espionage Description (CrowdStrike) We have investigated their intrusions since 2013 an"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 118}",Hurricane Panda,"have been battling them nonstop over the last year at several large telecommunications and technology companies. The determination of this China-based adversary is truly impressive: they are like a dog with a bone. Hurricane Panda’s preferred initial vector of compromise and persistence is a China Chopper webshell – a tiny and easily obfuscated 70 byte text file that consists of an ‘eval()’ command, which is then used to provide full command ex"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 118}",TEMP.Avengers,"Threat Group Cards: A Threat Actor Encyclopedia 118 Hurricane Panda, Zirconium, APT 31 Names Hurricane Panda (CrowdStrike) Zirconium (Microsoft) APT 31 (Mandiant) TEMP.Avengers (Symantec) Country China Motivation Information theft and espionage Description (CrowdStrike) We have investigated their intrusions since 2013 and have been battling them nonstop over the last year at several large"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 4}",Hurricane Panda,"................................. 115 Honeybee ...................................................................................................................................................................... 117 Hurricane Panda, Zirconium, APT 31 ....................................................................................................................... 118 Icefog, Dagger Panda ......................................................"
International Strategic/China/china-cyber-report.pdf,"{""page"": 23}",Hurricane Panda,"period is a strong indicator of the adversary being either a state actor or an enlisted top-tier criminal organization, rather than common patriotic hacktivists. It is unknown if these DDoS attacks were conducted by Hurricane Panda, the adversary who conducted even larger DDoS attacks against Apple Daily later in 2014, which are described in the proceeding section.  The developers of the imitation polling sites may have been from mainland Chi"
International Strategic/China/china-cyber-report.pdf,"{""page"": 24}",Hurricane Panda,"f DDoS attacks into November.222 Attribution Several threat intelligence firms linked the DDoS attacks to the PRC-aligned Poisoned Hurricane activity cluster. The threat actor behind the cluster, most widely known as Hurricane Panda, primarily engaged in espionage and intellectual property theft in East Asia and the U.S. 223 224 Based on overlapping tools and infrastructure, at least some of the domestic security surveillance operations in Hong"
International Strategic/China/china-cyber-report.pdf,"{""page"": 3}",HURRICANE PANDA,.S. Pivot to Asia (2011–2013) 30 Attempting to Intimidate Resistant Politicians in Taiwan (May 2020) 31 Disputing the Border with India (2020–2022) 32 CONCLUSION 35 APPENDIX A: THREAT ACTORS AND ACTIVITY CLUSTERS 36 HURRICANE PANDA 36 1937CN TEAM/GOBLIN PANDA 39 CHENGDU-BASED INDIVIDUALS 41 TONTO TEAM 44 TICK 45 REDECHO 45 APT1 46 ENDNOTES 47 This report is based solely on open source research and analysis and was completed for researc
International Strategic/China/china-cyber-report.pdf,"{""page"": 40}",HURRICANE PANDA,"their own interchangeable and affiliated groups. This appendix generally does not attempt to significantly deconflict or exclude stated threat actor aliases, except when asserted clustering was very likely erroneous. HURRICANE PANDA Hurricane Panda is a PRC-aligned threat actor that conducted the mid-to-late 2014 DDoS attacks against Hong Kong pro- democracy entities, as well as espionage and intellectual property theft in East Asia and the U.S. c"
International Strategic/China/china-cyber-report.pdf,"{""page"": 40}",Hurricane Panda,"hangeable and affiliated groups. This appendix generally does not attempt to significantly deconflict or exclude stated threat actor aliases, except when asserted clustering was very likely erroneous. HURRICANE PANDA Hurricane Panda is a PRC-aligned threat actor that conducted the mid-to-late 2014 DDoS attacks against Hong Kong pro- democracy entities, as well as espionage and intellectual property theft in East Asia and the U.S. circa 2013–2015."
Threat Group Cards.pdf,"{""page"": 118}",Hurricane Panda,"Threat Group Cards: A Threat Actor Encyclopedia 118 Hurricane Panda, Zirconium, APT 31 Names Hurricane Panda (CrowdStrike) Zirconium (Confiant) APT 31 (Mandiant) TEMP.Avengers (Symantec) Country China Motivation Information theft and espionage Description (CrowdStrike) We have in"
Threat Group Cards.pdf,"{""page"": 118}",Hurricane Panda,"Threat Group Cards: A Threat Actor Encyclopedia 118 Hurricane Panda, Zirconium, APT 31 Names Hurricane Panda (CrowdStrike) Zirconium (Confiant) APT 31 (Mandiant) TEMP.Avengers (Symantec) Country China Motivation Information theft and espionage Description (CrowdStrike) We have investigated their intrusions since 2013 and"
Threat Group Cards.pdf,"{""page"": 118}",Hurricane Panda,"have been battling them nonstop over the last year at several large telecommunications and technology companies. The determination of this China-based adversary is truly impressive: they are like a dog with a bone. Hurricane Panda’s preferred initial vector of compromise and persistence is a China Chopper webshell – a tiny and easily obfuscated 70 byte text file that consists of an ‘eval()’ command, which is then used to provide full command ex"
Threat Group Cards.pdf,"{""page"": 118}",TEMP.Avengers,"Threat Group Cards: A Threat Actor Encyclopedia 118 Hurricane Panda, Zirconium, APT 31 Names Hurricane Panda (CrowdStrike) Zirconium (Confiant) APT 31 (Mandiant) TEMP.Avengers (Symantec) Country China Motivation Information theft and espionage Description (CrowdStrike) We have investigated their intrusions since 2013 and have been battling them nonstop over the last year at several large"
