original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 41, ""sheet"": ""Unknown""}",FreakOut,"Keksec FreakOut Necro Kek Security EnemyBot VMware Workspace ONE, Adobe ColdFusion, WordPress, PHP Scriptcase, IoT, Android cybercriminal https://research.checkpoint.com/2021/freakout-leveraging-newest-vulnerabilities-for-creating-a-bo"
APT Groups and Operations.xlsx,"{""row"": 41, ""sheet"": ""Unknown""}",Kek Security,"Keksec FreakOut Necro Kek Security EnemyBot VMware Workspace ONE, Adobe ColdFusion, WordPress, PHP Scriptcase, IoT, Android cybercriminal https://research.checkpoint.com/2021/freakout-leveraging-newest-vulnerabilities-for-creating-a-botnet/ https://blog."
APT Groups and Operations.xlsx,"{""row"": 41, ""sheet"": ""Unknown""}",Keksec,"Keksec FreakOut Necro Kek Security EnemyBot VMware Workspace ONE, Adobe ColdFusion, WordPress, PHP Scriptcase, IoT, Android cybercriminal https://research.checkpoint.com/2021/freakout-leveraging-newest-vulnerabilities-for-crea"
APT Groups and Operations.xlsx,"{""row"": 41, ""sheet"": ""Unknown""}",Necro,"Keksec FreakOut Necro Kek Security EnemyBot VMware Workspace ONE, Adobe ColdFusion, WordPress, PHP Scriptcase, IoT, Android cybercriminal https://research.checkpoint.com/2021/freakout-leveraging-newest-vulnerabilities-for-creating-a-botnet/"
APT Groups and Operations.xlsx,"{""row"": 41, ""sheet"": ""Unknown""}",freakout,"Keksec FreakOut Necro Kek Security EnemyBot VMware Workspace ONE, Adobe ColdFusion, WordPress, PHP Scriptcase, IoT, Android cybercriminal https://research.checkpoint.com/2021/freakout-leveraging-newest-vulnerabilities-for-creating-a-botnet/ https://blog.netlab.360.com/not-really-new-pyhton-ddos-bot-n3cr0m0rph-necromorph/ https://blog.netlab.360.com/necro-shi-yong-tor-dong-tai-yu-ming-dga-shuang-sha-w"
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 56}",KEKSEC,"击活动中较少开发自研的组件，而是使用已知的生成工具构建攻击流程， 这在一定程度上反映了其实际技术水平。此外，如果上述同 IP 域中发现的漏洞扫描活动与本 次事件归属同样的攻击者，则可以说明针对特定目标的信息窃取活动只是该攻击者诸多业务 中的一部分。 由此推测，近期出现的此类钓鱼攻击事件的攻击者，有可能是受雇于更高级威胁组织 的俄罗斯黑客团体。为方便跟踪和分析，通过关联木马文件的 pdb 信息，将该组织命名为 Lorec53。 5.2 KEKSEC 组织运营网络再添新成员 ：LOLFME 僵尸网络 5.2.1 概述 从 2021 年 5 月底开始，绿盟科技伏影实验室不间断地捕获到一些特征及行为相似的 ELF 样本，通过对这批样本持续的跟踪与分析，最终确认这些样本隶属于一个新的 botnet 家族， 依据样本运行时特点，我们将它命名为 lolfme。lolfme 在 5,6,7,8 这四个月里有过多次版本的 更迭，与此同时，我们也见证了它从最初的测试版本到功能趋于完善的发展过程。"
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 56}",Keksec,"特征及行为相似的 ELF 样本，通过对这批样本持续的跟踪与分析，最终确认这些样本隶属于一个新的 botnet 家族， 依据样本运行时特点，我们将它命名为 lolfme。lolfme 在 5,6,7,8 这四个月里有过多次版本的 更迭，与此同时，我们也见证了它从最初的测试版本到功能趋于完善的发展过程。 lolfme 开发初期的样本运行时输出：“md5hashguys botnet testing ”，通过溯源分析， 我们发现类似的名称在 Keksec 往期攻击活动中也曾使用过，但在 lolfme 后期的版本中逐渐 消除了这些信息。 lolfme 的代码由 Gafgyt 修改而来，但与传统的 Gafgyt 相比又有许多新的变化，最新版 本的 lolfme 主要有以下特点："
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 58}",Keksec,APT 组织情报研究年鉴 50 5.2.1.2 组织关联 lolfme 开发初期的样本运行时输出信息如下： 该样本在运行时会输出“md5hashguys botnet testing ”，通过溯源分析，我们发现类似 的名称在 Keksec 往期攻击活动中也曾使用过。今年六月初的时候，我们在“ Keksec 团伙运 营网络新增三个僵尸网络家族”一文中披露过该组织新增成员 ur0a，直至今日，我们依然可 以从 Youtube 上找到相关的视频，视频由名为“itz UR0A”的用户创建。 Youtube 视频中包含“UR0A”的 Discord 账号信息，当然，对于这一点我们习以为常， Keksec 组织素来高调，他们习惯在被攻陷机器感染日志中留下组织签名及联络方式， UR0
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 58}",Keksec,APT 组织情报研究年鉴 50 5.2.1.2 组织关联 lolfme 开发初期的样本运行时输出信息如下： 该样本在运行时会输出“md5hashguys botnet testing ”，通过溯源分析，我们发现类似 的名称在 Keksec 往期攻击活动中也曾使用过。今年六月初的时候，我们在“ Keksec 团伙运 营网络新增三个僵尸网络家族”一文中披露过该组织新增成员 ur0a，直至今日，我们依然可 以从 Youtube 上找到相关的视频，视频由名为“itz UR0A”的用户创建。 Youtube 视频中包含“UR0A”的 Discord 账号信息，当然，对于这一点我们习以为常， Keksec 组织素来高调，他们习惯在被攻陷机器感染日志中留下组织签名及联络方式， UR0A 在 Ryuk Botnet、Samael Botnet（Keks
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 8}",KEKSEC,05 侦察 Reconnaissance 篇 041 5.1 LOREC53 APT 组织发动对格鲁吉亚政府钓鱼文件攻击 042 5.2 KEKSEC 组织运营网络再添新成员：LOLFME 僵尸网络 048 5.3 APT 组织 FIN7 利用 WINDOWS11 话题诱饵的 鱼叉攻击活动 056 5.4 APT 组织 PATCHWORK 伪装巴基斯坦联邦税务局的 鱼叉攻击活动 064 06 2021 年 APT 组织情报图鉴 071 6.1 情报新增 APT 组织 072 6.2 活跃监控 APT 组织 135
