original_source_path,original_source_location,matched_name,context_excerpt
APT43/APT43 Report.pdf,"{""page"": 9}",Cerium,".Hermit, suggests some level of cross-pollination occurred during coordinated operations in 2020. • These apparent cross-group operations were publicly reported as “Bureau 325” and also matched activity reported as “Cerium”. • Additional uncategorized clusters have been identified leveraging some of the same tools as APT43. A cluster using PENCILDOWN, for example, compromised an Android mobile wallet app to steal cryptocurrency. • C"
CyberMerceNary/ITWorker/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 15}",Ruby Sleet,"this with APT45, where APT managers seemed to have communication or oversight of IT teams. Figure 6. DPRK APT groups over the years. 2009-10 Lazarus Group 2020-21 • TEMP.Hermit • APT37 • APT43 • APT45 • Konni • ITW • Ruby Sleet • CryptoCore • TraderTraitor • AppleJeus • Front Companies Program Development 2025 • TEMP.Hermit • APT37 • APT43 • APT45 • Konni • ITW • Ruby Sleet • Gwisin Gang • Malicious ITW • Moonstone Sleet • AI Unit227 • Crypto"
CyberMerceNary/ITWorker/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 15}",Ruby Sleet,us Group 2020-21 • TEMP.Hermit • APT37 • APT43 • APT45 • Konni • ITW • Ruby Sleet • CryptoCore • TraderTraitor • AppleJeus • Front Companies Program Development 2025 • TEMP.Hermit • APT37 • APT43 • APT45 • Konni • ITW • Ruby Sleet • Gwisin Gang • Malicious ITW • Moonstone Sleet • AI Unit227 • CryptoCore • TraderTraitor • AppleJeus • Crypto Crime • Front Companies ASSESSMENT : Original Hackers Then to Now 2014-15 • TEMP.Hermit • APT37 • APT38 •
CyberMerceNary/ITWorker/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 21}",Ruby Sleet,"nd AI technologies in modernizing the armed forces. To further the point of blended operations and how each part plays into the larger system, trusted partners and investigations noted APT groups such as TEMP.Hermit, Ruby Sleet, and likely APT45 elements had drone-specific targeting and interests. From a timeline perspective, this activity was done concurrently as IT workers associated with Kim Chaek University of Technology conducted detai"
CyberMerceNary/ITWorker/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 8}",Ruby Sleet,PT37 Poss Legacy Lab 110 GSD Espionage + Legacy 970th Espionage DPRK Cyber to Physical Organization Assessment Groups with Unknown Subordination Kim Jong-Un Ministry of State Security APT43 APT45 Crypto Crime Konni Ruby Sleet Reconnaissance General Bureau Front Companies 313TH 3RD BUREAU 5TH BUREAU KWP = Workers' Party of Korea MID = Munitions Industry Dept MND = Ministry of National Defense CHINYONG = Chinyong Information Technology C
International Strategic/Korea/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 15}",Ruby Sleet,"this with APT45, where APT managers seemed to have communication or oversight of IT teams. Figure 6. DPRK APT groups over the years. 2009-10 Lazarus Group 2020-21 • TEMP.Hermit • APT37 • APT43 • APT45 • Konni • ITW • Ruby Sleet • CryptoCore • TraderTraitor • AppleJeus • Front Companies Program Development 2025 • TEMP.Hermit • APT37 • APT43 • APT45 • Konni • ITW • Ruby Sleet • Gwisin Gang • Malicious ITW • Moonstone Sleet • AI Unit227 • Crypto"
International Strategic/Korea/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 15}",Ruby Sleet,us Group 2020-21 • TEMP.Hermit • APT37 • APT43 • APT45 • Konni • ITW • Ruby Sleet • CryptoCore • TraderTraitor • AppleJeus • Front Companies Program Development 2025 • TEMP.Hermit • APT37 • APT43 • APT45 • Konni • ITW • Ruby Sleet • Gwisin Gang • Malicious ITW • Moonstone Sleet • AI Unit227 • CryptoCore • TraderTraitor • AppleJeus • Crypto Crime • Front Companies ASSESSMENT : Original Hackers Then to Now 2014-15 • TEMP.Hermit • APT37 • APT38 •
International Strategic/Korea/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 21}",Ruby Sleet,"nd AI technologies in modernizing the armed forces. To further the point of blended operations and how each part plays into the larger system, trusted partners and investigations noted APT groups such as TEMP.Hermit, Ruby Sleet, and likely APT45 elements had drone-specific targeting and interests. From a timeline perspective, this activity was done concurrently as IT workers associated with Kim Chaek University of Technology conducted detai"
International Strategic/Korea/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 8}",Ruby Sleet,PT37 Poss Legacy Lab 110 GSD Espionage + Legacy 970th Espionage DPRK Cyber to Physical Organization Assessment Groups with Unknown Subordination Kim Jong-Un Ministry of State Security APT43 APT45 Crypto Crime Konni Ruby Sleet Reconnaissance General Bureau Front Companies 313TH 3RD BUREAU 5TH BUREAU KWP = Workers' Party of Korea MID = Munitions Industry Dept MND = Ministry of National Defense CHINYONG = Chinyong Information Technology C
International Strategic/Korea/The DPRK’s Violation and Evasion of UN Sanctions through Cyber and Information Technology Worker Activities.pdf,"{""page"": 18}",Cerium,"tates and private sector partners have identified at least three distinct APTs linked to malicious cyber activity associated with the 63 Research Center , namely, Kimsuky (also known as APT43), TA408 (also known as Cerium), and Konni (also known as TA406).26 Kimsuky is a cyber espionage group t hat employs social engineering t hrough spear phishing to collect intelligence on geopolitical events, foreign policy strategies of other gove"
lazarus/WithSecure-Lazarus-No-Pineapple-Threat-Intelligence-Report-2023.pdf,"{""page"": 30}",CERIUM,"arious private and public industry & research verticals. The targeting of the victims and the overlap between toolsets from Lazarus & Kimsuky also aligns with Mandiant’s assessment of threat actor “Bureau 325” or “CERIUM”. Bureau 325 is believed to be comprised of individuals from previously tracked clusters includ- ing TEMP.Hermit (Lazarus) and Kimsuky . DPRK Groups of Note • Kimsuky – Attributed in open source to the 5th Bureau, In"
microsoft-threat-actor-list.xlsx,"{""row"": 10, ""sheet"": ""alphabetical""}",CERIUM,CERIUM Ruby Sleet North Korea DEV-0228 Cuboid Sandstorm Iran
microsoft-threat-actor-list.xlsx,"{""row"": 10, ""sheet"": ""alphabetical""}",Ruby Sleet,CERIUM Ruby Sleet North Korea DEV-0228 Cuboid Sandstorm Iran
summary/2021/2021(APT) Microsoft Digital Defense Report.pdf,"{""page"": 55}",CERIUM,"was responsible for 92% of the notifications to customers about Russia-based threat activity. The outsized proportion of attacks coming from North Korea is a result of the strategy taken by threat actors THALLIUM and CERIUM. These groups rely on large quantities of attacks. While these attacks have a low percentage of success, because of the high number of attempts, the groups still manage to successfully infect some victims. Attacks by"
summary/2021/2021(APT) Microsoft Digital Defense Report.pdf,"{""page"": 66}",CERIUM,"blicly available diplomatic or geopolitical intelligence. North Korean groups THALLIUM and ZINC continued to create much of the targeting Microsoft observed, but they were joined by other groups, such as OSMIUM and CERIUM. Together, these groups focused on diplomatic officials, academics, and think tank members from around the world. Most of those targeted were in three countries: South Korea, the United States, and Japan. However, N"
summary/2021/2021(APT) Microsoft Digital Defense Report.pdf,"{""page"": 66}",CERIUM,"dustries targeted ZINC Lazarus Labyrinth Chollima North Korea Utilities, private companies, think tanks, security researchers THALLIUM Kimsuky Velvet Chollima North Korea Think tanks, diplomatic officials, academics CERIUM Kimsuky North Korea Think tanks, diplomatic officials, academics, defense and aerospace OSMIUM Konni North Korea Diplomatic officials, think tanks North Korea"
summary/2021/2021(APT) Microsoft Digital Defense Report.pdf,"{""page"": 67}",CERIUM,"r 2021 Global pandemic creates a new type of cyberattack COVID-19 also drove another North Korean focus in the last year: the targeting of pharmaceutical companies. As Microsoft reported in November 2020,56 ZINC and CERIUM targeted pharmaceutical companies and vaccine researchers in several countries, probably to speed up its own vaccine research or to gain intelligence on the state of research in the rest of the world. North Korea:"
summary/2022/Microsoft Digital Defense Report 2022.pdf,"{""page"": 35}",CERIUM,"Government, defense, energy, aerospace Ce CERIUM Media, human rights activists, politicians, and US transportation and energy Charming Kitten P PHOSPHORUS Government, education, defense Ra RADIUM IT, government, think tanks, higher education APT29 No NOBELIUM"
