original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 11, ""sheet"": ""China""}",LEAD,"Winnti Group Wicked Panda BRONZE ATLAS APT41 Winnti Umbrella, BARIUM, LEAD, RedEcho, Vanadinite, TAG-22 G0044 Winnti, AceHash, PlugX, Webshells, ZxShell, ShadowPad ThyssenKrupp, Gameforge, Valve, Teamviewer,Siemens, Sumitomo, BASF, Covestro, Shin-Etsu, Bayer, Roche Deep Panda, Wicked Spider ht"
APT Groups and Operations.xlsx,"{""row"": 42, ""sheet"": ""China""}",LEAD,"LEAD Winnti Umbrella Winnti Rootkit malware Multinational, multi-industry companies, textiles, chemicals, electronics, pharmaceutical companies, manufacturing Winnti https://cloudblogs.microsoft.com/microsoftsecure/2017/01/2"
lazarus/Dream-Job-Campaign.pdf,"{""page"": 43}",LEAD,68 BGS_SrMS-1.docx - Initial file 0be6e64e2310e9a4f5782b9e98cdaf72 183ad96b931733ad37bb627a958837db Boeing_PMS.docx Israel Initial File De991e1dc8de2510127dcf9919f58f8a de991e1dc8de2510127dcf9919f58d8a BEA_DEFENSE_LEAD.docx Israel Initial File 306310e0d2c0a497d968be1120b05143 BAE_ECS_EPM.docx - Initial file 9ea365c1714eb500e5f4a749a3ed0fe7 Boeing_DSS_SE.docx - Initial file e7aa0237fc3db67a96ebd877806a2c88 Boeing_AERO_GS.docx - Ini
summary/2020/Estonian-Foreign-Intelligence-raport-2020-en.pdf,"{""page"": 78}",LEAD,"l Partners, which is a possible investor in the T allinn-Helsinki tunnel project . According to a report dated 31 October 2019, the company’s assets SLOWING ECONOMIC GROWTH MAY CAUSE DISSATISFACTION IN CHINA AND LEAD THE CENTRAL GOVERNMENT TO LOOK FOR ENEMIES ABROAD . 76 CHINA’S MORE ACTIVE ROLE IN THE WORLD"
summary/2021/2021-Threat-Detection-Report.pdf,"{""page"": 15}",LEAD,"to manage security operations for a national financial services firm, where he built and led the team responsible for continuous monitoring, threat analysis, and incident response. Frank McClain C I R T TRAINING LEAD Obfuscation Once decoded (from Base64), you may encounter compressed code, more Base64 blobs, and decimal, ordinal, and obfuscated commands. Obfuscation (whether inside or outside the encoding) breaks up detection"
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 151}",LEAD,143 2021 年 APT 组织情报图鉴 6.2.9 Axiom 组织名 Axiom 中文名 无 组织地理 大中华地区 别名 Winnti Umbrella，Winnti Group，APT41， APT 41，Group72，Group 72，Blackfly， LEAD，WICKED SPIDER，WICKED PANDA， BARIUM，BRONZE ATLAS，BRONZE EXPORT，Red Kelpie 历史目标 美国，荷兰，意大利，日本，英国，比利时， 俄罗斯，印尼，德国，瑞士，中国 目标行业 游戏，媒体 发现时间 2016-05-17 最近活跃 2021-10-08 动机 网络犯罪 描述 Axiom 组织自 2009 年以来一直在攻击在线视频游戏行业的公司。该组织的目标是窃取合法软件供
summary/2022/WEF_Global_Cybersecurity_Outlook_2022.pdf,"{""page"": 32}",LEAD,"Contributors World Economic Forum LEAD AUTHOR Algirde Pipikaite Lead, Strategic Initiatives, Centre for Cybersecurity Gretchen Bueermann Research and Analysis Specialist, Centre for Cybersecurity Akshay Joshi Acting Deputy Head, Centre for Cybersecurity Jer"
summary/2024/threat actor list from cs.csv,"{""row"": 208}",LEAD,"APT-22, Winnti, LEAD Jul 2016 Retired China 1 8 eCrime State-Sponsored, Criminal"
summary/2024/threat actor list from cs.csv,"{""row"": 48}",LEAD,"GREF, TG-2633, BRONZE ATLAS, Brass Typhoon, Winnti, Group 72, BARIUM, LEAD, APT41 May 2024 Active China 22 9 Targeted State-Sponsored"
summary/2026/Cloudflare-2026-threat-report.pdf,"{""page"": 23}",LEAD,"of defensive indicators Global financial espionage and LotX stealth operations Aliases / AKAs: APT41, Amoeba, BARIUM, BRONZE ATLAS, BRONZE EXPORT, Blackfly, Brass Typhoon, Earth Baku, G0044, G0096, Grayfly, HOODOO, LEAD, Red Kelpie, TA415, WICKED PANDA, WICKED SPIDER Threat actor profile FrumpyToad Global financial sector and SaaS providers TOUGHPROGRESS, KEYPLUG, ShadowPad, DUSTTRAP, DUSTPAN, and Google Calendar-based C2 mecha"
summary/2026/eset-apt-activity-report-q4-2025-q1-2026.pdf,"{""page"": 16}",LEAD,"members as well as other open-source maintainers. ======================================================================== COMMUNITY BROKER NETWORK (CBN) NZ - INTERNAL DOCUMENT ROLE SPECIFICATION: SENIOR DIGITAL ASSET LEAD (AUCKLAND HUB) REF: NZ-2026-CRYPTO-088 ======================================================================== [OFFICE LOCATION] Auckland, New Zealand (Relocation Package Available) Remote flexibility: 2 days/week [OVE"
ui/api/v1/search.json,"{""json_path"": ""$.entities[240].attrs.概要""}",LEAD,LEADの標準化プロファイル。リポジトリ内の専用資料1件とMITRE ATT&CK、アクターマッピング表を基礎情報としている。
ui/api/v1/search.json,"{""json_path"": ""$.entities[240].label""}",LEAD,LEAD
