original_source_path,original_source_location,matched_name,context_excerpt
microsoft-threat-actor-list.xlsx,"{""row"": 27, ""sheet"": ""alphabetical""}",DEV-0950,"NEPTUNIUM Cotton Sandstorm Iran Vice Leaker DEV-0950 Lace Tempest Financially motivated FIN11, TA505"
microsoft-threat-actor-list.xlsx,"{""row"": 27, ""sheet"": ""alphabetical""}",Lace Tempest,"NEPTUNIUM Cotton Sandstorm Iran Vice Leaker DEV-0950 Lace Tempest Financially motivated FIN11, TA505"
parse-daily/.cache/tech-memo/daily-news/news/2023_10-12/20231110.md,"{""line"": 96}",Lace Tempest,- ランサムウェアグループClop及びそのアフィリエイトのLace Tempestも攻撃に関与している
parse-daily/unknown-clusters.json,"{""json_path"": ""$.clusters[9].related_profiles[0].basis""}",DEV-0950,公式MITRE ATT&CKはClopをマルウェア S0611 として登録し、これを使用するグループとして TA505 (G0092) のみを挙げている。ただしATT&CKのモデルではClopはアクター名ではなくマルウェア名であり、本キャンペーンの運用者がTA505本体であることを示す一次資料は確認できていない。profiles/ta505 は FIN11・Lace Tempest・DEV-0950・Indrik Spider・Evil Corp をいずれも scope: overlapping のaliasとして保持しており、Clop/Cl0p はaliasに含まれていない。
parse-daily/unknown-clusters.json,"{""json_path"": ""$.clusters[9].related_profiles[0].basis""}",Lace Tempest,公式MITRE ATT&CKはClopをマルウェア S0611 として登録し、これを使用するグループとして TA505 (G0092) のみを挙げている。ただしATT&CKのモデルではClopはアクター名ではなくマルウェア名であり、本キャンペーンの運用者がTA505本体であることを示す一次資料は確認できていない。profiles/ta505 は FIN11・Lace Tempest・DEV-0950・Indrik Spider・Evil Corp をいずれも scope: overlapping のaliasとして保持しており、Clop/Cl0p はaliasに含まれていない。
parse-daily/unknown-clusters.json,"{""json_path"": ""$.clusters[9].unresolved_questions[0]""}",DEV-0950,"Cl0p を独立プロファイルへ昇格させるか、profiles/ta505 のaliasとして scope を明示して扱うかが未決である。証拠は三方向に分かれる: (1) 公式ATT&CKとMalpediaはClopをマルウェア(S0611 / Clop (Windows), Clop (ELF))としてモデル化し、アクターはTA505とする。(2) ETDAとMISPは恐喝運用者をFIN11（別名 DEV-0950, Lace Tempest, Chubby Scorpius）として記録する。(3) 業界報道とtech-memoはCl0pを恐喝グループ名として扱う。AGENT.mdは新規プロファイル作成を別のレビュー対象と定めているため、本判断は保留し利用者の指示を待つ。"
parse-daily/unknown-clusters.json,"{""json_path"": ""$.clusters[9].unresolved_questions[0]""}",Lace Tempest,"Cl0p を独立プロファイルへ昇格させるか、profiles/ta505 のaliasとして scope を明示して扱うかが未決である。証拠は三方向に分かれる: (1) 公式ATT&CKとMalpediaはClopをマルウェア(S0611 / Clop (Windows), Clop (ELF))としてモデル化し、アクターはTA505とする。(2) ETDAとMISPは恐喝運用者をFIN11（別名 DEV-0950, Lace Tempest, Chubby Scorpius）として記録する。(3) 業界報道とtech-memoはCl0pを恐喝グループ名として扱う。AGENT.mdは新規プロファイル作成を別のレビュー対象と定めているため、本判断は保留し利用者の指示を待つ。"
summary/2024/Symantec_Ransomware_Threat_Landscape_2024.pdf,"{""page"": 19}",Lace Tempest,"The 2024 Ransomware Threat Landscape | WHITE PAPER | 19 Snakefly • Aliases: Clop, Graceful Spider, Lace Tempest, UNC4857, FIN11, TA505 • Ransomware Families: Clop (Ransom.Clop) • Active Since: 2019 • Ransomware-as-a-Service: Yes Snakefly has been active since 2019 and is known for developing the Clop ransomware. The group was"
ui/api/v1/search.json,"{""json_path"": ""$.entities[235].attrs.概要""}",Lace Tempest,Lace Tempestの標準化プロファイル。リポジトリ内の専用資料1件とMITRE ATT&CK、アクターマッピング表を基礎情報としている。
ui/api/v1/search.json,"{""json_path"": ""$.entities[235].label""}",Lace Tempest,Lace Tempest
