original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 116, ""sheet"": ""China""}",DragonSpark,DragonSpark https://www.sentinelone.com/labs/dragonspark-attacks-evade-detection-with-sparkrat-and-golang-source-code-interpretation/
APT Groups and Operations.xlsx,"{""row"": 116, ""sheet"": ""China""}",dragonspark,DragonSpark https://www.sentinelone.com/labs/dragonspark-attacks-evade-detection-with-sparkrat-and-golang-source-code-interpretation/
summary/2023/mid-year-2023-cyber-threat-report.pdf,"{""page"": 5}",DragonSpark,"• Politically motivated attacks have targeted journalists, government officials and activists in Latin America . • Several campaigns targeting Asian countries have been identified, including DownEx , FluHorse and DragonSpark . • Emotet malware is back in full force, and SonicWall has observed a huge spike in Emotet attacks spreading via massive Microsoft Office docs. 600M 400M 200M 0 Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec 492,99"
summary/2024/MacMalware_2023.pdf,"{""page"": 70}",DragonSpark,"ub repo SparkRAT is “a web-based, cross-platform and full-featured RemoteAdministration Tool (RAT) written in Go” Download: SparkRAT (password: infect3d) SentinelOne researchers observed it being used by they track as “DragonSpark”. Though its unclear if the DragonSpark attackers targetmacOS systems, their use of SparkRAT (which is cross platform), warrants discussion here. Writeups: “DragonSpark | Attacks Evade Detection with SparkRAT and Golan"
summary/2024/MacMalware_2023.pdf,"{""page"": 70}",DragonSpark,"platform and full-featured RemoteAdministration Tool (RAT) written in Go” Download: SparkRAT (password: infect3d) SentinelOne researchers observed it being used by they track as “DragonSpark”. Though its unclear if the DragonSpark attackers targetmacOS systems, their use of SparkRAT (which is cross platform), warrants discussion here. Writeups: “DragonSpark | Attacks Evade Detection with SparkRAT and Golang Source Code Interpretation” Infection"
summary/2024/MacMalware_2023.pdf,"{""page"": 70}",DragonSpark,"earchers observed it being used by they track as “DragonSpark”. Though its unclear if the DragonSpark attackers targetmacOS systems, their use of SparkRAT (which is cross platform), warrants discussion here. Writeups: “DragonSpark | Attacks Evade Detection with SparkRAT and Golang Source Code Interpretation” Infection Vector: Unknown SparkRAT itself is “just” an open-source RAT. As such it doesn’t have a speciﬁc infection mechanism per se. Moreo"
summary/2024/MacMalware_2023.pdf,"{""page"": 70}",DragonSpark,"e Code Interpretation” Infection Vector: Unknown SparkRAT itself is “just” an open-source RAT. As such it doesn’t have a speciﬁc infection mechanism per se. Moreover, in SentinelOne’sreport, there was no mention of the DragonSpark actors infecting macOS systems."
ui/api/v1/search.json,"{""json_path"": ""$.entities[147].attrs.概要""}",DragonSpark,DragonSparkの標準化プロファイル。リポジトリ内の専用資料1件とMITRE ATT&CK、アクターマッピング表を基礎情報としている。
ui/api/v1/search.json,"{""json_path"": ""$.entities[147].detail""}",dragonspark,dragonspark
ui/api/v1/search.json,"{""json_path"": ""$.entities[147].id""}",dragonspark,actor:dragonspark
ui/api/v1/search.json,"{""json_path"": ""$.entities[147].label""}",DragonSpark,DragonSpark
