original_source_path,original_source_location,matched_name,context_excerpt
International Strategic/Canada/national-cyber-threat-assessment-2025-2026-e.pdf,"{""page"": 49}",Akira,"/Media/ News/2023/230928.pdf. 123 SC Media, Remote ransomware: What is and how to stop it, 12 January 2024. https://www.scmagazine.com/resource/remote- ransomware-what-is-and-how-to-stop-it. 124 Alexander Culafi, “CISA: Akira ransomware extorted $42M from 250+ victims,” TechTarget, 19 April 2024. https://www. techtarget.com/searchsecurity/news/366581522/CISA-Akira-ransomware-extorted-42M-from-250-plus-victims; Recorded Future, Ransomware Ex"
International Strategic/Canada/national-cyber-threat-assessment-2025-2026-e.pdf,"{""page"": 49}",Akira,"ce/remote- ransomware-what-is-and-how-to-stop-it. 124 Alexander Culafi, “CISA: Akira ransomware extorted $42M from 250+ victims,” TechTarget, 19 April 2024. https://www. techtarget.com/searchsecurity/news/366581522/CISA-Akira-ransomware-extorted-42M-from-250-plus-victims; Recorded Future, Ransomware Examples. https://www.recordedfuture.com/threat-intelligence-101/cyber-threats/ransomware-examples; Trend Micro, What is Ransomware?, https://"
International Strategic/Korea/The DPRK’s Violation and Evasion of UN Sanctions through Cyber and Information Technology Worker Activities.pdf,"{""page"": 138}",Akira,Annex 18: Payoneer Accounts Used by Argentinian Facilitator331 Email mitliza1@gmail.com julianseewald123@gmail.com stiegliz06@gmail.com kinchevaali@gmail.com sunsui2023@outlook.com kopytina111@outlook.com Akira.Ito0116@outlook.com Eddan_jiang@outlook.com elmakha224ar@outlook.com sebastian.93.e@hotmail.com nicolas.ju915@gmail.com sobaka1525@outlook.com Vanesapaula81@outlook.com joaopebasso12@outlook.fr Rodrigonahuelsanc
International Strategic/USA/2025/CGCYBER 2024 CTIME.pdf,"{""page"": 33}",Akira,"xploitation activities within the Marine Transportation System (MTS) via National Response Center (NRC) reports, Cyber Protection Team (CPT) missions, or publicly available incident response activities. Organizations Akira Since it was first observed in 2023, Akira ransomware has compromised over 250 organizations with an estimated impact of approximately $42 million (USD).49 In 2024, Akira compromised user accounts at a U.S. port and a"
International Strategic/USA/2025/CGCYBER 2024 CTIME.pdf,"{""page"": 33}",Akira,"ransportation System (MTS) via National Response Center (NRC) reports, Cyber Protection Team (CPT) missions, or publicly available incident response activities. Organizations Akira Since it was first observed in 2023, Akira ransomware has compromised over 250 organizations with an estimated impact of approximately $42 million (USD).49 In 2024, Akira compromised user accounts at a U.S. port and at multiple contracting organizations that w"
International Strategic/USA/2025/CGCYBER 2024 CTIME.pdf,"{""page"": 33}",Akira,"le incident response activities. Organizations Akira Since it was first observed in 2023, Akira ransomware has compromised over 250 organizations with an estimated impact of approximately $42 million (USD).49 In 2024, Akira compromised user accounts at a U.S. port and at multiple contracting organizations that work closely with MTS organizations. Hunters International Hunters International is a Ransomware-as-a-Service (RaaS) group that e"
International Strategic/USA/2025/CGCYBER 2024 CTIME.pdf,"{""page"": 33}",Akira,early 2023 with primary targets being wealthy North American and European organizations. Their normal methodology is initial access approximately one (1) week before delivering effects.52 49 Source: #StopRansomware: Akira Ransomware | CISA (https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-109a) 50 Source: Ransomware Spotlight: LockBit | Trend Micro (US) (https://www.trendmicro.com/vinfo/us/security/news/ransomware-spotligh
OT/Dragos-2026-OT-Cybersecurity-Report-A-Year-in-Review.pdf,"{""page"": 67}",Akira,"ss from IABs, lowered the barrier for affiliates to launch opportunistic campaigns against industrial organizations. Fragmentation was also evident in the lineage of several ransomware programs active in 2025. Devman, Akira, BlackSuit, and INC Ransom reflect the continued dispersion of operators and affiliates from the broader Conti ecosystem, re-emerging under new brands while maintaining similar tradecraft and targeting patterns. In pa"
cybercrime/2024/Semiannual+Ransomware+Report+-+H1+2024.pdf,"{""page"": 13}",Akira,"acks against the Professional Services sector. In H2 2023, there were 150 attacks compared to 116 in H1 2024. The top threat actors targeting Professional Services were Play with 19 victims, LockBit with 18 victims, Akira with 11 victims, and Black Basta with 9 victims. Play and Akira appear to be very interested in the Professional Services industry, with 15% and 11% of their total attacks targeting this sector, respectively. Man"
cybercrime/2024/Semiannual+Ransomware+Report+-+H1+2024.pdf,"{""page"": 13}",Akira,"e were 150 attacks compared to 116 in H1 2024. The top threat actors targeting Professional Services were Play with 19 victims, LockBit with 18 victims, Akira with 11 victims, and Black Basta with 9 victims. Play and Akira appear to be very interested in the Professional Services industry, with 15% and 11% of their total attacks targeting this sector, respectively. Manufacturing Sector: The threat of ransomware to the global manufa"
