original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 40, ""sheet"": ""Unknown""}",White Tur,White Tur https://www.pwc.com/gx/en/issues/cybersecurity/cyber-threat-intelligence/threat-actor-of-in-tur-est.html
summary/2023/2022-year-in-retrospect-report.pdf,"{""page"": 36}",White Tur,"Balkans region with themes related to Bosnia-Herzegovina and Serbia. We further identified a series of HTML Application (HTA) scripts which were created between January 2022 and April 2022 and indicative of a shift in White Tur’s TTPs. In this series of HTA scripts, the threat actor used the WebDAV protocol to transfer a malicious payload to the victim’s machine. 147 Learn more about White Tur in one our blog posts from 2022 and our Thre"
summary/2023/2022-year-in-retrospect-report.pdf,"{""page"": 36}",White Tur,"22 and April 2022 and indicative of a shift in White Tur’s TTPs. In this series of HTA scripts, the threat actor used the WebDAV protocol to transfer a malicious payload to the victim’s machine. 147 Learn more about White Tur in one our blog posts from 2022 and our Threat Actor of in-Turest talk at SANS CTI Summit 2022 144 CTO-TIB-20220121-02A - Talent need not apply to this career finder 145 CTO-TUS-20221027-01A - Threats under the Spo"
summary/2023/2022-year-in-retrospect-report.pdf,"{""page"": 36}",White Tur,"2022 146 ‘Threat actor of in-Tur-est’, PwC Threat Intelligence, https://www.pwc.com/gx/en/issues/cyber security/cyber- threat-intelligence/threat-actor-of-in-tur-est.html (27th January 2022) 147 CTO-TIB-20221012-03A - White Tur’s WebDAV adventures"
summary/2023/2022-year-in-retrospect-report.pdf,"{""page"": 37}",White Tur,"36 | Cyber Threats 2022: A Year in Retrospect More about White Tur TTPs HTA files are interpreted by mshta.exe, a well known live-off-the-land binary (a.k.a. LOLBin) that is frequently abused by threat actors. As HTA files present an opportunity to launch scripts in HTML without m"
summary/2023/2022-year-in-retrospect-report.pdf,"{""page"": 37}",White Tur,"cript, for example. Detection controls should be focused around the mshta.exe process, for example detecting mshta.exe calling an HTA file from a remote location or writing files with certain extensions to disk. As White Tur copied executables to disk using the WebDAV protocol, they were placed in the Startup folder to ensure their persistent execution. Monitoring all files written to the Startup folder in an enterprise environment is cha"
summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,"{""page"": 111}",White Tur,"ИЕ ↑ в которое хакеры включали ссылку. Если пользователь обращался к этому URL-адресу, он попадал на сайт злоумышленников, где вредо - носный JavaScript-код выполнял XSS-атаку на веб-почту Zimbra в организации жертвы. White Tur Регион Начало операции TOP Mitre Европа 2017 • Command and Scripting Interpreter: PowerShell (T1059.001) • Exfiltration Over C2 Channel (T1041) • Command and Scripting Interpreter: Visual Basic (T1059.005) • XSL Script"
summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,"{""page"": 111}",White Tur,"(T1041) • Command and Scripting Interpreter: Visual Basic (T1059.005) • XSL Script Processing (T1220) • Deobfuscate/Decode Files or Information (T1140) Еще одна обнаруженная в этом периоде группировка получила название White Tur. Использование названия белого цвета говорит о том, что официально местонахождение группировки неизвестно. Уникальной особенностью этого злоумышленника является его виктимология, нацеленная на оборонные, правительств"
summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,"{""page"": 111}",White Tur,"огия, нацеленная на оборонные, правительственные и иссле - довательские организации, базирующиеся в Сербии и Республике Сербской. При отслеживании регистрации доменов и разрешений доменов в инфраструктуре, связанной с White Tur, эксперты заметили, что она является постоянным субъектом угрозы, действовавшим в течение нескольких лет, по крайней мере с 2017 по 2021 год. VajraEleph Регион Начало операции TOP Mitre АТР Июнь 2021 • Foreground Pers"
summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,"{""page"": 92}",White Tur,• Praying Mantis • Cloud Atlas Европа • ChamelGang • MalKamak • DEV-0343 • APT35 • APT31 • Lazarus • MuddyWater • DarkHalo • Ghostwriter • Earth Lusca • Mustang Panda • APT27 • Moses Staff • TEMP_Heretic • White Tur • APT41 • Turla • LazyScripter • LuoYu • ToddyCat • APT10 • TA410 АТР • ChamelGang • Harvester • Kimsuky • SideCopy • Lazarus • APT37 • BlackTech • GreenSpot • SideWinder • MuddyWater • APT41 • BITT
