original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 102, ""sheet"": ""China""}",Luminous Moth,Luminous Moth Luminous Moth South East Asia Mustang Panda https://securelist.com/apt-luminousmoth/103332/
APT Groups and Operations.xlsx,"{""row"": 102, ""sheet"": ""China""}",luminousmoth,Luminous Moth Luminous Moth South East Asia Mustang Panda https://securelist.com/apt-luminousmoth/103332/
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 81}",LuminousMoth,73 2021 年 APT 组织情报图鉴 6.1.2 LuminousMoth 组织名 LuminousMoth 中文名 无 组织地理 未知 别名 无 历史目标 菲律宾、缅甸 目标行业 政府 发现时间 2020-09-30 最近活跃 2021-07-15 动机 潜伏控守 描述 LuminousMoth 是一个针对自菲律宾和缅甸的 APT 组织，APT 组织在利用带有 Dropbox 下载链接的钓 鱼邮件分发恶意软件之后，恶意软件试图通过感染可移动 USB 驱动器来传播。再利用 DLL 修改注册表 实现持久化，在系
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 81}",LuminousMoth,73 2021 年 APT 组织情报图鉴 6.1.2 LuminousMoth 组织名 LuminousMoth 中文名 无 组织地理 未知 别名 无 历史目标 菲律宾、缅甸 目标行业 政府 发现时间 2020-09-30 最近活跃 2021-07-15 动机 潜伏控守 描述 LuminousMoth 是一个针对自菲律宾和缅甸的 APT 组织，APT 组织在利用带有 Dropbox 下载链接的钓 鱼邮件分发恶意软件之后，恶意软件试图通过感染可移动 USB 驱动器来传播。再利用 DLL 修改注册表 实现持久化，在系统自启时运行恶意软件，枚举存储在驱
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 81}",LuminousMoth,73 2021 年 APT 组织情报图鉴 6.1.2 LuminousMoth 组织名 LuminousMoth 中文名 无 组织地理 未知 别名 无 历史目标 菲律宾、缅甸 目标行业 政府 发现时间 2020-09-30 最近活跃 2021-07-15 动机 潜伏控守 描述 LuminousMoth 是一个针对自菲律宾和缅甸的 APT 组织，APT 组织在利用带有 Dropbox 下载链接的钓 鱼邮件分发恶意软件之后，恶意软件试图通过感染可移动 USB 驱动器来传播。再利用 DLL 修改注册表 实现持久化，在系统自启时运行恶意软件，枚举存储在驱动器上的文件，将其保存在名为 udisk.log 的 文件中，传到 C2 服务器。而受害者则无法查看驱动器文件。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 81}",LuminousMoth,opbox 下载链接的钓 鱼邮件分发恶意软件之后，恶意软件试图通过感染可移动 USB 驱动器来传播。再利用 DLL 修改注册表 实现持久化，在系统自启时运行恶意软件，枚举存储在驱动器上的文件，将其保存在名为 udisk.log 的 文件中，传到 C2 服务器。而受害者则无法查看驱动器文件。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 4 149 32 117 0 最近发布报告 2021-07-14 LuminousMoth APT: Sweeping attacks for the chosen few alienvault APT 组织画像
summary/2026/Cloudflare-2026-threat-report.pdf,"{""page"": 20}",LuminousMoth,"pecifically targeting Thai government and police infrastructure. High-frequency regional espionage and long-term compromise of diplomatic entities Aliases / AKAs: BASIN, BRONZE PRESIDENT, Earth Preta, HoneyMyte, LuminousMoth, MUSTANG PANDA, Polaris, Red Lich, Stately Taurus, TA416, TANTALUM, TEMP. HEX, Twill Typhoon Threat actor profile ClumsyToad Southeast Asian governments and European diplomatic entities Spear-phishing, PlugX / Korplu"
ui/api/v1/search.json,"{""json_path"": ""$.entities[247].attrs.概要""}",LuminousMoth,LuminousMothの標準化プロファイル。リポジトリ内の専用資料1件とMITRE ATT&CK、アクターマッピング表を基礎情報としている。
ui/api/v1/search.json,"{""json_path"": ""$.entities[247].detail""}",luminousmoth,luminousmoth
ui/api/v1/search.json,"{""json_path"": ""$.entities[247].id""}",luminousmoth,actor:luminousmoth
ui/api/v1/search.json,"{""json_path"": ""$.entities[247].label""}",LuminousMoth,LuminousMoth
ui/api/v1/search.json,"{""json_path"": ""$.entities[272].aliases[7]""}",LUMINOUS MOTH,LUMINOUS MOTH
