original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 13, ""sheet"": ""China""}",APT30,"Naikon Lotus Panda PLA Unit 78020 Naikon APT30 Thrip, Billbug G0019 Naikon Camera Shy RARSTONE, BACKSPACe, NETEAGLE, XSControl satellite communications operator, Telecoms, and Defense Companies, Hong Kong https://securelist.com/analysis/publications/69953/the-naikon"
APT Groups and Operations.xlsx,"{""row"": 13, ""sheet"": ""China""}",apt30,s://cluster25.io/2022/04/29/lotus-panda-awake-last-strike/ https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/espionage-asia-governments-cert-authority https://www2.fireeye.com/rs/fireye/images/rpt-apt30.pdf
APT Groups and Operations.xlsx,"{""row"": 14, ""sheet"": ""China""}",Lotus Blossom,"Lotus Blossom Spring Dragon Lotus Blossom ST Group, Esile G0030 Elise Backdoor, Lstudio, CVE-2017-11882 https://securelist.com/blog/research/70726/the-spring-dragon-apt/ http://researchcenter.paloaltonetworks.com/2015/06/operation-lo"
APT Groups and Operations.xlsx,"{""row"": 14, ""sheet"": ""China""}",Lotus Blossom,"Lotus Blossom Spring Dragon Lotus Blossom ST Group, Esile G0030 Elise Backdoor, Lstudio, CVE-2017-11882 https://securelist.com/blog/research/70726/the-spring-dragon-apt/ http://researchcenter.paloaltonetworks.com/2015/06/operation-lotus-blossom/ https://securel"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 27}",APT30,"yber espionage operation. The malware revealed a decade-long operation focused on targets—government and commercial—who hold key political, economic, and military information about the region. This group, who we call APT30, stands out not only for their sustained activity and regional focus, but also for their continued success despite maintaining relatively consistent tools, tactics, and infrastructure since at least 2005. Based on o"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 27}",APT30,"only for their sustained activity and regional focus, but also for their continued success despite maintaining relatively consistent tools, tactics, and infrastructure since at least 2005. Based on our knowledge of APT30's targeting activity and tools, their objective appears to be data theft as opposed to financial gain. APT30 has not been observed to target victims or data that can be readily monetized (for example, credit card dat"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 27}",APT30,"ing relatively consistent tools, tactics, and infrastructure since at least 2005. Based on our knowledge of APT30's targeting activity and tools, their objective appears to be data theft as opposed to financial gain. APT30 has not been observed to target victims or data that can be readily monetized (for example, credit card data, personally identifiable information, or bank transfer credentials). Instead, their tools include functiona"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 2}",APT 30,".................................................. 23 APT 29, Cozy Bear, The Dukes ................................................................................................................................... 24 APT 30, Override Panda ............................................................................................................................................... 27 APT 32, OceanLotus, SeaLotus .........................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 4}",Lotus Blossom,"............................................ 139 Longhorn, The Lamberts ............................................................................................................................................. 141 Lotus Blossom, Spring Dragon .................................................................................................................................. 142 Lucky Cat .........................................................."
Threat Group Cards.pdf,"{""page"": 27}",APT30,"yber espionage operation. The malware revealed a decade-long operation focused on targets—government and commercial—who hold key political, economic, and military information about the region. This group, who we call APT30, stands out not only for their sustained activity and regional focus, but also for their continued success despite maintaining relatively consistent tools, tactics, and infrastructure since at least 2005. Based on o"
Threat Group Cards.pdf,"{""page"": 27}",APT30,"only for their sustained activity and regional focus, but also for their continued success despite maintaining relatively consistent tools, tactics, and infrastructure since at least 2005. Based on our knowledge of APT30's targeting activity and tools, their objective appears to be data theft as opposed to financial gain. APT30 has not been observed to target victims or data that can be readily monetized (for example, credit card dat"
Threat Group Cards.pdf,"{""page"": 27}",APT30,"ing relatively consistent tools, tactics, and infrastructure since at least 2005. Based on our knowledge of APT30's targeting activity and tools, their objective appears to be data theft as opposed to financial gain. APT30 has not been observed to target victims or data that can be readily monetized (for example, credit card data, personally identifiable information, or bank transfer credentials). Instead, their tools include functiona"
Threat Group Cards.pdf,"{""page"": 2}",APT 30,"............................................................................ 23 APT 29, Cozy Bear, The Dukes ......................................................................................................... 24 APT 30, Override Panda ..................................................................................................................... 27 APT 32, OceanLotus, SeaLotus ...................................................."
Threat Group Cards.pdf,"{""page"": 4}",Lotus Blossom,"...................................................................... 139 Longhorn, The Lamberts ................................................................................................................... 141 Lotus Blossom, Spring Dragon ........................................................................................................ 142 Lucky Cat ...................................................................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 2}",APT 30,".................................................. 35 APT 29, Cozy Bear, The Dukes ................................................................................................................................... 36 APT 30, Override Panda ............................................................................................................................................... 40 APT 31, Judgment Panda, Zirconium ....................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 40}",APT30,"yber espionage operation. The malware revealed a decade-long operation focused on targets—government and commercial—who hold key political, economic, and military information about the region. This group, who we call APT30, stands out not only for their sustained activity and regional focus, but also for their continued success despite maintaining relatively consistent tools, tactics, and infrastructure since at least 2005. Based on o"
