original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 92, ""sheet"": ""China""}",Taskmasters,"Taskmasters RemShell, 404-Input-shell, Eternal Blue, Scheduled Tasks Military, government, telecommunication, small businesses https://www.ptsecurity.com/ww-en/analytics/operation-taskmasters-2019/ https://www.youtube.com/watch?v=X"
APT Groups and Operations.xlsx,"{""row"": 92, ""sheet"": ""China""}",taskmasters,"Taskmasters RemShell, 404-Input-shell, Eternal Blue, Scheduled Tasks Military, government, telecommunication, small businesses https://www.ptsecurity.com/ww-en/analytics/operation-taskmasters-2019/ https://www.youtube.com/watch?v=XYuclHsoQO4&feature=youtu.be https://blog.group-ib.com/task"
Threat_Group_Cards_v2.0.pdf,"{""page"": 334}",TaskMasters,Threat Group Cards: A Threat Actor Encyclopedia 334 TaskMasters Names TaskMasters (Positive Technologies) Country China Motivation Information theft and espionage First seen 2010 Description (Positive Technologies) The main objective of the group is to steal confidential infor
Threat_Group_Cards_v2.0.pdf,"{""page"": 334}",TaskMasters,Threat Group Cards: A Threat Actor Encyclopedia 334 TaskMasters Names TaskMasters (Positive Technologies) Country China Motivation Information theft and espionage First seen 2010 Description (Positive Technologies) The main objective of the group is to steal confidential information. The attacke
Threat_Group_Cards_v2.0.pdf,"{""page"": 334}",taskmasters,"Utility, gsecdump, HTran, jsp File browser, Mimikatz, nbtscan, PortScan, ProcDump, PsExec, PsList, pwdump, reGeorg, RemShell and RemShell Downloader. Information <https://www.ptsecurity.com/ww-en/analytics/operation-taskmasters-2019/>"
Threat_Group_Cards_v2.0.pdf,"{""page"": 8}",TaskMasters,............................. 332 Taidoor ........................................................................................................................................................................... 333 TaskMasters .................................................................................................................................................................. 334 TeamSpy Crew ......................................
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 141}",TaskMasters,133 2021 年 APT 组织情报图鉴 6.1.62 TaskMasters 组织名 TaskMasters 中文名 无 组织地理 英语地区 别名 无 历史目标 中国 目标行业 工业，制造业，能源，政府，技术，房地产 发现时间 2010-09-14 最近活跃 2016-09-14 动机 间谍活动，信息窃取 描述 TaskMasters 是一个至少可追溯到 2010 年的威胁组织，主要针对的企业与制造业和工业相关，旨在窃 取机密信息，试图长时间探查企业信息系统，并获得对关键服务器、执行工作站和关键业务系统的访
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 141}",TaskMasters,133 2021 年 APT 组织情报图鉴 6.1.62 TaskMasters 组织名 TaskMasters 中文名 无 组织地理 英语地区 别名 无 历史目标 中国 目标行业 工业，制造业，能源，政府，技术，房地产 发现时间 2010-09-14 最近活跃 2016-09-14 动机 间谍活动，信息窃取 描述 TaskMasters 是一个至少可追溯到 2010 年的威胁组织，主要针对的企业与制造业和工业相关，旨在窃 取机密信息，试图长时间探查企业信息系统，并获得对关键服务器、执行工作站和关键业务系统的访 问权限。 知识关联 报告数量 威
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 141}",TaskMasters,133 2021 年 APT 组织情报图鉴 6.1.62 TaskMasters 组织名 TaskMasters 中文名 无 组织地理 英语地区 别名 无 历史目标 中国 目标行业 工业，制造业，能源，政府，技术，房地产 发现时间 2010-09-14 最近活跃 2016-09-14 动机 间谍活动，信息窃取 描述 TaskMasters 是一个至少可追溯到 2010 年的威胁组织，主要针对的企业与制造业和工业相关，旨在窃 取机密信息，试图长时间探查企业信息系统，并获得对关键服务器、执行工作站和关键业务系统的访 问权限。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 2 4 1 3 0 最近发布报告 2019-08-22 Operation TaskMasters: Cyberespionage in the digital econ
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 141}",TaskMasters,14 最近活跃 2016-09-14 动机 间谍活动，信息窃取 描述 TaskMasters 是一个至少可追溯到 2010 年的威胁组织，主要针对的企业与制造业和工业相关，旨在窃 取机密信息，试图长时间探查企业信息系统，并获得对关键服务器、执行工作站和关键业务系统的访 问权限。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 2 4 1 3 0 最近发布报告 2019-08-22 Operation TaskMasters: Cyberespionage in the digital economy age Positive Technologies 2021-03-08 TaskMasters 攻击俄罗斯 group-ib APT 组织画像
summary/2022/APT group Intelligence Research handbook-2022.pdf,"{""page"": 141}",TaskMasters,在窃 取机密信息，试图长时间探查企业信息系统，并获得对关键服务器、执行工作站和关键业务系统的访 问权限。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 2 4 1 3 0 最近发布报告 2019-08-22 Operation TaskMasters: Cyberespionage in the digital economy age Positive Technologies 2021-03-08 TaskMasters 攻击俄罗斯 group-ib APT 组织画像
