original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 11, ""sheet"": ""China""}",BARIUM,"Winnti Group Wicked Panda BRONZE ATLAS APT41 Winnti Umbrella, BARIUM, LEAD, RedEcho, Vanadinite, TAG-22 G0044 Winnti, AceHash, PlugX, Webshells, ZxShell, ShadowPad ThyssenKrupp, Gameforge, Valve, Teamviewer,Siemens, Sumitomo, BASF, Covestro, Shin-Etsu, Bayer, Roche Deep Panda, Wicked Spi"
APT Groups and Operations.xlsx,"{""row"": 41, ""sheet"": ""China""}",BARIUM,"BARIUM TG-2633 Winnti Umbrella, BRONZE ATLAS Winnti Rootkit malware Electronic gaming, multimedia, Internet content industries, technology companies Winnti https://cloudblogs.microsoft.com/microsoftsecure/2017/01/25/detecting-"
APT Groups and Operations.xlsx,"{""row"": 41, ""sheet"": ""China""}",TG-2633,"BARIUM TG-2633 Winnti Umbrella, BRONZE ATLAS Winnti Rootkit malware Electronic gaming, multimedia, Internet content industries, technology companies Winnti https://cloudblogs.microsoft.com/microsoftsecure/2017/01/25/detecting-threat-a"
APT Groups and Operations.xlsx,"{""row"": 87, ""sheet"": ""China""}",BARIUM,"RSHIFT, HIGHNOON, JUMPALL, POISONPLUG, HOTCHAI, LATELUNCH, LIFEBOAT, LOWKEY, NJRAT, PACMAN, PHOTO, POTROAST, ROCKBOOT, SAGEHIRE, SWEETCANDLE, SOGU, TERA, TIDYELF, WIDETONE, WINTERLOVE, XDoor, Xmrig, ZxShell Overlap with BARIUM and Winnti https://www.fireeye.com/blog/threat-research/2019/08/apt41-dual-espionage-and-cyber-crime-operation.html https://www.fireeye.com/blog/threat-research/2019/08/game-over-detecting-and-stopping-an-apt41-operatio"
APT-hunting/hunting-cobaltstrike-beacons-in-the-dark.pdf,"{""page"": 94}",Barium,"apt41 APT41 (aka WINNTI, aka Barium) is a prolifi c Chinese state-sponsored cybercrime group. Active since 2012, and initially performing espionage and fi nancially motivated attacks against prominent targets in the computer game industry, they now re"
APT-hunting/hunting-cobaltstrike-beacons-in-the-dark.pdf,"{""page"": 97}",Barium,"ologies blog and our datasets, there is a strong similarity between naming conventions used: We also discovered that mlcrosoft[.]site and mircosoftdoc[.]com both appear in the Azure-Sentinel de - tection rule for known Barium phishing domains. The IP 144.202.98[.]198 has also been previously associated with APT41/Barium by a Microsoft researcher. Another IP from this cluster, 185.14.29[.]72, was recently providing virtual hosting for severa"
APT-hunting/hunting-cobaltstrike-beacons-in-the-dark.pdf,"{""page"": 97}",Barium,"also discovered that mlcrosoft[.]site and mircosoftdoc[.]com both appear in the Azure-Sentinel de - tection rule for known Barium phishing domains. The IP 144.202.98[.]198 has also been previously associated with APT41/Barium by a Microsoft researcher. Another IP from this cluster, 185.14.29[.]72, was recently providing virtual hosting for several domain names such as: • chaindefend[.]bid • defendchain[.]xyz • assistcustody[.]xyz • www[.]mi"
APT-hunting/hunting-cobaltstrike-beacons-in-the-dark.pdf,"{""page"": 97}",Barium,– Domain similarities GitHub Azure-Sentinel – Detections – MultipleDataSources https://github.com/Azure/Azure-Sentinel/blob/master/Detections/MultipleDataSources/ BariumDomainIOC112020.yaml Ajeet Prakash Hunting for Barium using Azure Sentinel https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure- sentinel/ba-p/1875913 BlackBerry ThreatVector Blog For more a more in-depth look at this threat acto
APT-hunting/hunting-cobaltstrike-beacons-in-the-dark.pdf,"{""page"": 97}",barium,e/Azure-Sentinel/blob/master/Detections/MultipleDataSources/ BariumDomainIOC112020.yaml Ajeet Prakash Hunting for Barium using Azure Sentinel https://techcommunity.microsoft.com/t5/microsoft-sentinel-blog/hunting-for-barium-using-azure- sentinel/ba-p/1875913 BlackBerry ThreatVector Blog For more a more in-depth look at this threat actor and our subsequent findings - make sure to check out our blog: https://blogs.blackberry.com/en/2021/1
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 2}",Barium,"................................ 34 Bahamut........................................................................................................................................................................... 35 Barium .............................................................................................................................................................................. 37 Berserk Bear, Dragonfly 2.0 ............"
